actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-03-23T01:10:57.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-23T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-03-23T01:11:01.1Z,1,REGULAR,jumpball,recovered,[],1630570,,,1610612757,0,0,2023-03-23T01:11:01Z,40000,False,,,0,,Jump Ball J. Nurkic vs. W. Kessler: Tip to T. Watford,"[1630570, 203994, 1631117]",1610612757.0,POR,startperiod,T. Watford,1630570.0,Watford,T. Watford,Nurkic,203994.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-23T01:11:13.2Z,1,REGULAR,3pt,Jump Shot,[],203081,32.40801576872536,21.568627450980394,1610612757,0,0,2023-03-23T01:11:17Z,70000,False,142.0,252.0,1,left,MISS D. Lillard 28' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,28.94,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-03-23T01:11:16.2Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2023-03-23T01:23:58Z,80000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-03-23T01:11:21.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,85.89027595269383,2.450980392156863,1610612762,0,0,2023-03-23T01:11:25Z,90000,False,-238.0,80.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,25.08,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-03-23T01:11:24.1Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,0,2023-03-23T01:11:24Z,100000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Left Corner 3,24+ Left,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M29.00S,2023-03-23T01:11:27.4Z,1,REGULAR,turnover,bad pass,[],1629659,,,1610612762,0,0,2023-03-23T01:11:31Z,110000,False,,,0,,T. Horton-Tucker bad pass TURNOVER (1 TO),"[1629659, 1631101]",1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Sharpe,1631101.0,,,,,,,,,,,
12,PT11M29.00S,2023-03-23T01:11:27.4Z,1,REGULAR,steal,,[],1631101,,,1610612757,0,0,2023-03-23T01:11:29Z,120000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2023-03-23T01:11:33.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1631101,22.683968462549277,74.75490196078431,1610612757,0,0,2023-03-23T01:11:41Z,130000,False,-124.0,161.0,1,left,MISS S. Sharpe 20' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,20.29,Missed,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2023-03-23T01:11:36.5Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2023-03-23T01:11:38Z,140000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:2),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Left Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT11M11.00S,2023-03-23T01:11:45.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,93.38042049934296,95.58823529411765,1610612762,0,0,2023-03-23T01:11:49Z,150000,False,228.0,10.0,1,right,MISS L. Markkanen 3PT - blocked,"[1628374, 1629680]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,22.81,Missed,,,,,,,,Thybulle,1629680.0,,,,,,,,,
16,PT11M11.00S,2023-03-23T01:11:45.4Z,1,REGULAR,block,,[],1629680,,,1610612762,0,0,2023-03-23T01:11:48Z,160000,False,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
17,PT11M08.00S,2023-03-23T01:11:48.4Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,0,0,2023-03-23T01:11:49Z,170000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Right Corner 3,24+ Right,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M55.00S,2023-03-23T01:12:02.1Z,1,REGULAR,3pt,Jump Shot,[],203081,30.56833114323259,63.970588235294116,1610612757,0,0,2023-03-23T01:12:05Z,180000,False,-70.0,235.0,1,left,MISS D. Lillard 24' 3PT,[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,24.5,Missed,,,,,,,,,,,,,,,,,,
