actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2023-04-08T19:41:05.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-08T19:41:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PT12M00.00S,2023-04-08T19:41:30.9Z,1,REGULAR,foul,personal,[],203999,,,0,0,0,2023-04-08T19:42:12Z,30000,False,,,0,,N. Jokic loose ball personal FOUL (1 PF),"[203999, 1628962]",1610612743.0,DEN,loose ball,Above the Break 3,24+ Center,202037.0,1.0,0.0,Jokic,N. Jokic,Azubuike,1628962.0,,,,,,,,,,,,,,,,,,,,,
5,PT12M00.00S,2023-04-08T19:41:51.7Z,1,REGULAR,turnover,inbound,[],1630534,,,1610612762,0,0,2023-04-08T19:42:17Z,50000,False,,,0,,O. Agbaji inbound TURNOVER (1 TO),[1630534],1610612762.0,UTA,,Above the Break 3,24+ Right Center,202037.0,,,Agbaji,O. Agbaji,,,1.0,,,,,,,,,,,,,,,,,,,,
6,PT11M45.00S,2023-04-08T19:42:33.5Z,1,REGULAR,foul,personal,[],1627739,,,1610612743,0,0,2023-04-08T19:42:40Z,60000,False,,,0,,K. Dunn personal FOUL (1 PF),"[1627739, 203932]",1610612762.0,UTA,,Restricted Area,0-8 Center,202037.0,1.0,0.0,Dunn,K. Dunn,Gordon,203932.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-04-08T19:42:55.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,25.837713534822605,18.137254901960784,1610612743,0,0,2023-04-08T19:43:00Z,80000,False,159.0,190.0,1,left,MISS J. Murray 24' 3PT,[1627750],1610612743.0,DEN,,Above the Break 3,24+ Right Center,,,,Murray,J. Murray,,,,24.83,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-04-08T19:42:58.9Z,1,REGULAR,rebound,defensive,[],1628962,,,1610612762,0,0,2023-04-08T19:43:00Z,90000,False,,,0,,U. Azubuike REBOUND (Off:0 Def:1),[1628962],1610612762.0,UTA,,Above the Break 3,24+ Right Center,,,,Azubuike,U. Azubuike,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M25.00S,2023-04-08T19:43:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627739,89.56964520367937,60.78431372549019,1610612762,0,0,2023-04-08T19:43:13Z,100000,False,54.0,46.0,1,right,MISS K. Dunn 7' driving floating bank Shot,[1627739],1610612762.0,UTA,driving floating bank,In The Paint (Non-RA),0-8 Center,,,,Dunn,K. Dunn,,,,7.05,Missed,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2023-04-08T19:43:11.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2023-04-08T19:43:13Z,110000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,In The Paint (Non-RA),0-8 Center,,,,Jokic,N. Jokic,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2023-04-08T19:43:22.3Z,1,REGULAR,2pt,Jump Shot,[],203484,26.888961892247043,58.82352941176471,1610612743,0,0,2023-04-08T19:43:27Z,120000,False,-44.0,200.0,1,left,MISS K. Caldwell-Pope 20' pullup Shot,[203484],1610612743.0,DEN,pullup,Mid-Range,16-24 Center,,,,Caldwell-Pope,K. Caldwell-Pope,,,,20.51,Missed,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2023-04-08T19:43:25.3Z,1,REGULAR,rebound,defensive,[],1627739,,,1610612762,0,0,2023-04-08T19:43:27Z,130000,False,,,0,,K. Dunn REBOUND (Off:0 Def:1),[1627739],1610612762.0,UTA,,Mid-Range,16-24 Center,,,,Dunn,K. Dunn,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2023-04-08T19:43:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630534,66.96780551905388,30.14705882352941,1610612762,0,0,2023-04-08T19:43:41Z,140000,False,-99.0,258.0,1,right,MISS O. Agbaji 27' pullup 3PT,[1630534],1610612762.0,UTA,pullup,Above the Break 3,24+ Left Center,,,,Agbaji,O. Agbaji,,,,27.64,Missed,,,,,,,,,,,,,,,,,,
