actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2022-10-27T01:09:27.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-27T01:09:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-27T01:09:30.6Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-10-27T01:09:30Z,40000,,,0,,Jump Ball J. Smith Jr. vs. K. Olynyk: Tip to K. Porter Jr.,"[1629645, 1631095, 203482]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Smith Jr.,1631095.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-10-27T01:09:38.5Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612745,0,0,2022-10-27T01:10:45Z,70000,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M52.00S,2022-10-27T01:09:40.9Z,1,REGULAR,foul,personal,[],1631095,,,1610612762,0,0,2022-10-27T01:09:48Z,80000,,,0,,J. Smith Jr. loose ball personal FOUL (1 PF),"[1631095, 1629020]",1610612745.0,HOU,loose ball,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,101284.0,1.0,0.0,Vanderbilt,1629020.0,,,,,,,,,,,,,,
10,PT11M37.00S,2022-10-27T01:10:10.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629020,92.32917214191852,55.14705882352941,1610612762,0,0,2022-10-27T01:10:17Z,100000,26.0,20.0,1,right,MISS J. Vanderbilt Layup - blocked,"[1629020, 1629645]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,,3.23,Missed,Porter Jr.,1629645.0,,,,,,,,,,
11,PT11M37.00S,2022-10-27T01:10:10.3Z,1,REGULAR,block,,[],1629645,,,1610612762,0,0,2022-10-27T01:10:12Z,110000,,,0,,K. Porter Jr. BLOCK (1 BLK),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M37.00S,2022-10-27T01:10:10.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2022-10-27T01:10:17Z,120000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,10.0,,,,,,,,,
14,PT11M30.00S,2022-10-27T01:10:33.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201144,91.93495400788436,95.09803921568627,1610612762,3,0,2022-10-27T01:10:37Z,140000,225.0,23.0,1,right,M. Conley 3PT  (3 PTS) (K. Olynyk 1 AST),"[201144, 203482]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,,,,,,,22.67,Made,,,,3.0,K. Olynyk,203482.0,1.0,,,,,
16,PT11M07.00S,2022-10-27T01:10:58.9Z,1,REGULAR,turnover,out-of-bounds,[],1630256,,,1610612745,3,0,2022-10-27T01:11:11Z,160000,,,0,,J. Tate step out-of-bounds TURNOVER (1 TO),[1630256],1610612745.0,HOU,step,,,Tate,J. Tate,,,,,In The Paint (Non-RA),0-8 Center,1.0,1627963.0,,,,,,,,,,,,,,,,,,
17,PT10M57.00S,2022-10-27T01:11:21.8Z,1,REGULAR,turnover,lost ball,[],203482,,,1610612762,3,0,2022-10-27T01:11:27Z,170000,,,0,,K. Olynyk lost ball TURNOVER (1 TO),"[203482, 201569]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,,,,,,Gordon,201569.0,,,
18,PT10M57.00S,2022-10-27T01:11:21.8Z,1,REGULAR,steal,,[],201569,,,1610612745,3,0,2022-10-27T01:11:37Z,180000,,,0,,E. Gordon STEAL (1 STL),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
19,PT10M46.00S,2022-10-27T01:11:31.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631095,11.777266754270697,12.009803921568627,1610612745,3,0,2022-10-27T01:11:37Z,190000,190.0,58.0,1,left,MISS J. Smith Jr. 19' Jump Shot,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right,,,,,,,19.87,Missed,,,,,,,,,,,,
20,PT10M44.00S,2022-10-27T01:11:33.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,3,0,2022-10-27T01:11:37Z,200000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Right,,,,,,,,,,,19.0,,,,,,,1.0,1.0,0.0
