actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-26T02:10:30.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-26T02:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-26T02:10:31.7Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-02-26T02:10:31Z,40000,False,,,0,,Jump Ball W. Kessler vs. Z. Collins: Tip to T. Horton-Tucker,"[1629659, 1631117, 1628380]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-26T02:10:48.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,86.67871222076215,40.931372549019606,1610612762,0,0,2023-02-26T02:11:00Z,70000,False,-45.0,73.0,1,right,MISS L. Markkanen 8' driving Hook,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,8.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-02-26T02:10:50.5Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,0,0,2023-02-26T02:10:53Z,80000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-02-26T02:11:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,8.09789750328515,54.166666666666664,1610612759,0,0,2023-02-26T02:11:49Z,90000,False,-21.0,24.0,1,left,MISS M. Branham driving Layup - blocked,"[1631103, 1629659]",1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,3.15,Missed,,,,,Horton-Tucker,1629659.0,,,,,,,,,,,,
10,PT11M29.00S,2023-02-26T02:11:00.2Z,1,REGULAR,block,,[],1629659,,,1610612759,0,0,2023-02-26T02:12:23Z,100000,False,,,0,,T. Horton-Tucker BLOCK (1 BLK),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2023-02-26T02:11:04.2Z,1,REGULAR,rebound,offensive,[],1631103,,,1610612759,0,0,2023-02-26T02:11:05Z,110000,False,,,0,,M. Branham REBOUND (Off:1 Def:0),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M25.00S,2023-02-26T02:11:04.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631110,31.488173455978973,58.82352941176471,1610612759,0,3,2023-02-26T02:11:09Z,120000,False,-44.0,243.0,1,left,J. Sochan 24' 3PT  (3 PTS) (M. Branham 1 AST),"[1631110, 1631103]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Center,24.75,Made,,,,,,,3.0,M. Branham,1631103.0,1.0,,,,,,,,
14,PT11M08.00S,2023-02-26T02:11:21.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631117,92.9862023653088,47.05882352941176,1610612762,2,3,2023-02-26T02:14:32Z,140000,False,-15.0,13.0,1,right,W. Kessler cutting DUNK (2 PTS) (K. Olynyk 1 AST),"[1631117, 203482]",1610612762.0,UTA,cutting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,,,2.0,K. Olynyk,203482.0,1.0,,,,,,,,
16,PT10M51.00S,2023-02-26T02:11:37.2Z,1,REGULAR,3pt,Jump Shot,[],1628380,29.6484888304862,29.166666666666668,1610612759,2,6,2023-02-26T02:11:41Z,160000,False,104.0,226.0,1,left,Z. Collins 24' 3PT  (3 PTS) (K. Bates-Diop 1 AST),"[1628380, 1628966]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,24.9,Made,,,,,,,3.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,
