actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-25T01:11:02.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-25T01:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-25T01:11:05.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-03-25T01:11:05Z,40000,False,,,0,,Jump Ball B. Lopez vs. W. Kessler: Tip to G. Antetokounmpo,"[203507, 201572, 1631117]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-03-25T01:11:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,92.72339027595268,45.09803921568628,1610612749,0,2,2023-03-25T01:11:23Z,70000,False,-25.0,16.0,1,right,G. Allen reverse Layup (2 PTS) (J. Holiday 1 AST),"[1628960, 201950]",1610612749.0,MIL,reverse,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
9,PT11M31.00S,2023-03-25T01:11:29.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630534,9.674770039421814,34.31372549019608,1610612762,0,2,2023-03-25T01:11:33Z,90000,False,78.0,38.0,1,left,MISS O. Agbaji 8' driving floating Shot - blocked,"[1630534, 201572]",1610612762.0,UTA,driving floating,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),8-16 Right,8.73,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
10,PT11M31.00S,2023-03-25T01:11:29.8Z,1,REGULAR,block,,[],201572,,,1610612762,0,2,2023-03-25T01:11:31Z,100000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2023-03-25T01:11:31.8Z,1,REGULAR,rebound,offensive,[],1629659,,,1610612762,0,2,2023-03-25T01:11:33Z,110000,False,,,0,,T. Horton-Tucker REBOUND (Off:1 Def:0),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,
12,PT11M28.00S,2023-03-25T01:11:34.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630534,10.200394218134035,3.431372549019608,1610612762,0,2,2023-03-25T01:11:46Z,120000,False,233.0,43.0,1,left,MISS O. Agbaji 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Right Corner 3,24+ Right,23.68,Missed,,,,,,,,,,,,,,,,,,
13,PT11M25.00S,2023-03-25T01:11:37.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,0,2,2023-03-25T01:11:46Z,130000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Right Corner 3,24+ Right,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M19.00S,2023-03-25T01:11:42.3Z,1,REGULAR,2pt,Jump Shot,[],203507,79.31997371879106,21.568627450980394,1610612749,0,2,2023-03-25T01:11:49Z,140000,False,-142.0,142.0,1,right,MISS G. Antetokounmpo 20' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,20.09,Missed,,,,,,,,,,,,,,,,,,
15,PT11M16.00S,2023-03-25T01:11:45.3Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,0,2,2023-03-25T01:11:49Z,150000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,16-24 Left Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
