actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-01-27T01:10:14.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-27T01:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-27T01:10:21.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2022-01-27T01:10:21Z,40000,,,0,,Jump Ball N. Vucevic vs. P. Achiuwa: Tip to Team (CHI),"[202696, 1630173]",1610612741.0,CHI,startperiod,Team (CHI),Vucevic,202696.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-27T01:10:43.9Z,1,REGULAR,2pt,Jump Shot,[],201942,21.895532194480946,49.754901960784316,1610612741,2,0,2022-01-27T01:10:49Z,70000,1.0,153.0,1,left,D. DeRozan 15' pullup Jump Shot (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,pullup,,,,,,15.33,Made,2.0,DeRozan,D. DeRozan,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-01-27T01:11:03.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,2,0,2022-01-27T01:11:03Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-01-27T01:11:15.2Z,1,REGULAR,turnover,traveling,[],1627783,,,1610612761,2,0,2022-01-27T01:11:24Z,100000,,,0,,P. Siakam traveling TURNOVER (1 TO),[1627783],1610612761.0,TOR,,,,,,,,,,Siakam,P. Siakam,,,,1146.0,1.0,,,,,,,,,,,,,
11,PT11M03.00S,2022-01-27T01:11:39.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203897,27.151773981603156,77.94117647058823,1610612741,5,0,2022-01-27T01:12:17Z,110000,-140.0,203.0,1,left,Z. LaVine 24' 3PT pullup (3 PTS) (N. Vucevic 2 AST),"[203897, 202696]",1610612741.0,CHI,pullup,,,,,,24.62,Made,3.0,LaVine,Z. LaVine,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,,
13,PT10M46.00S,2022-01-27T01:11:56.2Z,1,REGULAR,2pt,Jump Shot,[],1629018,71.56701708278581,46.07843137254902,1610612761,5,0,2022-01-27T01:12:02Z,130000,-20.0,215.0,1,right,MISS G. Trent Jr. 21' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,,,,21.57,Missed,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,
14,PT10M42.00S,2022-01-27T01:12:00.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,0,2022-01-27T01:12:57Z,140000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M34.00S,2022-01-27T01:12:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,5.863994743758213,47.30392156862745,1610612741,7,0,2022-01-27T01:13:33Z,150000,13.0,3.0,1,left,J. Green cutting Layup (2 PTS) (N. Vucevic 3 AST),"[1629750, 202696]",1610612741.0,CHI,cutting,,,,,,1.37,Made,2.0,Green,J. Green,N. Vucevic,202696.0,3.0,,,,,,,,,,,,,,,
17,PT10M12.00S,2022-01-27T01:12:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630173,95.22010512483574,4.411764705882353,1610612761,7,0,2022-01-27T01:12:35Z,170000,-228.0,-8.0,1,right,MISS P. Achiuwa 3PT,[1630173],1610612761.0,TOR,,,,,,,22.8,Missed,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2022-01-27T01:12:32.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,0,2022-01-27T01:12:35Z,180000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,
