actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-09T01:10:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-09T01:10:12.9Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612751,0,0,2021-11-09T01:10:13Z,40000,,,0,,Jump Ball B. Griffin vs. N. Vucevic: Tip to B. Brown,"[1628971, 201933, 202696]",1610612751.0,BKN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Griffin,201933.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-11-09T01:10:33.7Z,1,REGULAR,3pt,Jump Shot,[],201935,71.17279894875165,20.098039215686274,1610612751,0,0,2021-11-09T01:10:40Z,70000,-150.0,218.0,1,right,MISS J. Harden 26' 3PT,[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2021-11-09T01:10:37.7Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2021-11-09T01:10:40Z,80000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-11-09T01:10:49.2Z,1,REGULAR,3pt,Jump Shot,[],1629750,5.863994743758213,4.166666666666666,1610612741,3,0,2021-11-09T01:10:54Z,90000,229.0,3.0,1,left,J. Green 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,,,,Green,J. Green,,,,,22.92,Made,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
11,PT11M01.00S,2021-11-09T01:11:07.7Z,1,REGULAR,3pt,Jump Shot,[],201142,68.9388961892247,28.431372549019606,1610612751,3,3,2021-11-09T01:11:14Z,110000,-108.0,239.0,1,right,K. Durant 26' 3PT  (3 PTS) (B. Griffin 1 AST),"[201142, 201933]",1610612751.0,BKN,,,,Durant,K. Durant,,,,,26.26,Made,,,,,3.0,B. Griffin,201933.0,1.0,,,,,,,,,,,
13,PT10M35.00S,2021-11-09T01:11:33.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,11.12023653088042,50.98039215686274,1610612741,3,3,2021-11-09T01:11:38Z,130000,-5.0,52.0,1,left,MISS N. Vucevic turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,5.22,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M33.00S,2021-11-09T01:11:35.8Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,3,3,2021-11-09T01:11:38Z,140000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M26.00S,2021-11-09T01:11:43.5Z,1,REGULAR,3pt,Jump Shot,[],201933,66.44218134034165,48.03921568627451,1610612751,3,3,2021-11-09T01:11:48Z,150000,-10.0,263.0,1,right,MISS B. Griffin 26' 3PT,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,26.31,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M22.00S,2021-11-09T01:11:47.5Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,3,3,2021-11-09T01:11:48Z,160000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M15.00S,2021-11-09T01:11:54.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,11.514454664914586,49.754901960784316,1610612741,3,3,2021-11-09T01:11:59Z,170000,1.0,56.0,1,left,MISS N. Vucevic floating Shot,[202696],1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,5.57,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M13.00S,2021-11-09T01:11:56.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,3,3,2021-11-09T01:11:59Z,180000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M07.00S,2021-11-09T01:12:04.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,3,3,2021-11-09T01:12:04Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT09M57.00S,2021-11-09T01:12:30.2Z,1,REGULAR,3pt,Jump Shot,[],203925,72.7496714848883,78.18627450980392,1610612751,3,3,2021-11-09T01:12:43Z,200000,141.0,204.0,1,right,MISS J. Harris 24' 3PT,[203925],1610612751.0,BKN,,,,Harris,J. Harris,,,,,24.77,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M54.00S,2021-11-09T01:12:33.2Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,3,3,2021-11-09T01:13:12Z,210000,,,0,,L. Ball REBOUND (Off:0 Def:2),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT09M52.00S,2021-11-09T01:12:42.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203897,5.995400788436268,50.98039215686274,1610612741,5,3,2021-11-09T01:14:04Z,220000,-5.0,4.0,1,left,Z. LaVine running DUNK (2 PTS) (L. Ball 1 AST),"[203897, 1628366]",1610612741.0,CHI,running,,,LaVine,Z. LaVine,,,,,0.63,Made,,,,,2.0,L. Ball,1628366.0,1.0,,,,,,,,,,,
24,PT09M40.00S,2021-11-09T01:12:53.5Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612751,5,3,2021-11-09T01:13:01Z,240000,,,0,,B. Brown step out-of-bounds TURNOVER (1 TO),[1628971],1610612751.0,BKN,step,,,Brown,B. Brown,,,,,,,,,,,,,,,202035.0,1.0,,,,,,,,,
