actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-04-01T00:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-01T00:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-01T00:11:00.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612746,0,0,2022-04-01T00:11:00Z,40000,,,0,,Jump Ball I. Zubac vs. N. Vucevic: Tip to Team (LAC),"[1627826, 202696]",1610612746.0,LAC,startperiod,Team (LAC),Zubac,1627826.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-04-01T00:11:20.2Z,1,REGULAR,2pt,Jump Shot,[],202694,9.149145860709593,77.69607843137256,1610612746,0,2,2022-04-01T00:11:31Z,70000,-138.0,34.0,1,left,M. Morris Sr. 14' step back Jump Shot (2 PTS),[202694],1610612746.0,LAC,step back,,,,,,14.25,Made,2.0,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-04-01T00:11:41.8Z,1,REGULAR,2pt,Jump Shot,[],202696,82.86793692509855,24.019607843137255,1610612741,2,2,2022-04-01T00:11:46Z,80000,-130.0,109.0,1,right,N. Vucevic 16' Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,,,,16.93,Made,2.0,Vucevic,N. Vucevic,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,,,
10,PT11M10.00S,2022-04-01T00:12:01.2Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612746,2,2,2022-04-01T00:12:17Z,100000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Morris Sr. 2 FT),"[201942, 202694]",1610612741.0,CHI,shooting,,,,,,,,,DeRozan,D. DeRozan,,,,204058.0,1.0,0.0,Morris Sr.,202694.0,,,,,,,,,,,
12,PT11M10.00S,2022-04-01T00:12:25.9Z,1,REGULAR,freethrow,1 of 2,[],202694,,,1610612746,2,2,2022-04-01T00:12:25Z,120000,,,0,,MISS M. Morris Sr. Free Throw 1 of 2,[202694],1610612746.0,LAC,,,,,,,,Missed,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-04-01T00:12:25.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,2,2,2022-04-01T00:12:25Z,130000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
14,PT11M10.00S,2022-04-01T00:12:42.9Z,1,REGULAR,freethrow,2 of 2,[],202694,,,1610612746,2,3,2022-04-01T00:12:42Z,140000,,,0,,M. Morris Sr. Free Throw 2 of 2 (3 PTS),[202694],1610612746.0,LAC,,,,,,,,Made,3.0,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-04-01T00:12:57.5Z,1,REGULAR,3pt,Jump Shot,[],202696,68.28186596583443,30.637254901960787,1610612741,5,3,2022-04-01T00:13:03Z,150000,-97.0,246.0,1,right,N. Vucevic 26' 3PT  (5 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,,,,26.41,Made,5.0,Vucevic,N. Vucevic,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,,,
17,PT10M31.00S,2022-04-01T00:13:22.8Z,1,REGULAR,3pt,Jump Shot,[],202704,32.40801576872536,49.754901960784316,1610612746,5,6,2022-04-01T00:13:27Z,170000,1.0,252.0,1,left,R. Jackson 25' 3PT  (3 PTS) (I. Zubac 1 AST),"[202704, 1627826]",1610612746.0,LAC,,,,,,,25.21,Made,3.0,Jackson,R. Jackson,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,,,
19,PT10M21.00S,2022-04-01T00:13:33.4Z,1,REGULAR,3pt,Jump Shot,[],202696,69.20170827858082,27.205882352941174,1610612741,8,6,2022-04-01T00:13:38Z,190000,-114.0,237.0,1,right,N. Vucevic 26' 3PT  (8 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,,,,26.3,Made,8.0,Vucevic,N. Vucevic,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,,,
21,PT10M01.00S,2022-04-01T00:13:52.4Z,1,REGULAR,3pt,Jump Shot,[],201587,6.1268068331143235,2.696078431372549,1610612746,8,9,2022-04-01T00:13:57Z,210000,237.0,5.0,1,left,N. Batum 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[201587, 202694]",1610612746.0,LAC,,,,,,,23.66,Made,3.0,Batum,N. Batum,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,,,
23,PT09M48.00S,2022-04-01T00:14:05.9Z,1,REGULAR,2pt,Jump Shot,[],201942,94.1688567674113,20.34313725490196,1610612741,8,9,2022-04-01T00:14:11Z,230000,-148.0,2.0,1,right,MISS D. DeRozan 14' Jump Shot,[201942],1610612741.0,CHI,,,,,,,14.83,Missed,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2022-04-01T00:14:07.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,8,9,2022-04-01T00:14:11Z,240000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M35.00S,2022-04-01T00:14:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,6.915243101182654,58.57843137254902,1610612746,8,11,2022-04-01T00:14:33Z,250000,-43.0,13.0,1,left,P. George driving floating bank Jump Shot (2 PTS),[202331],1610612746.0,LAC,driving floating bank,,,,,,4.47,Made,2.0,George,P. George,,,,,,,,,,,,,,,,,,,
26,PT09M18.00S,2022-04-01T00:14:35.6Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,8,11,2022-04-01T00:17:40Z,260000,,,0,,N. Vucevic bad pass TURNOVER (1 TO),"[202696, 1627826]",1610612741.0,CHI,,,,,,,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,1.0,Zubac,1627826.0,,,,
27,PT09M18.00S,2022-04-01T00:14:35.6Z,1,REGULAR,steal,,[],1627826,,,1610612746,8,11,2022-04-01T00:14:37Z,270000,,,0,,I. Zubac STEAL (1 STL),[1627826],1610612746.0,LAC,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,
28,PT09M03.00S,2022-04-01T00:14:52.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202694,15.325229960578188,42.40196078431372,1610612746,8,13,2022-04-01T00:14:56Z,280000,38.0,92.0,1,left,M. Morris Sr. 9' turnaround Jump Shot (5 PTS),[202694],1610612746.0,LAC,turnaround,,,,,,9.92,Made,5.0,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
29,PT08M37.00S,2022-04-01T00:15:18.0Z,1,REGULAR,2pt,Jump Shot,[],203897,78.26872536136662,21.568627450980394,1610612741,8,13,2022-04-01T00:15:24Z,290000,-142.0,152.0,1,right,MISS Z. LaVine 20' pullup Shot,[203897],1610612741.0,CHI,pullup,,,,,,20.8,Missed,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,
30,PT08M33.00S,2022-04-01T00:15:22.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612746,8,13,2022-04-01T00:15:24Z,300000,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612746.0,LAC,,,,,,,,,,Batum,N. Batum,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT08M27.00S,2022-04-01T00:15:30.0Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,8,13,2022-04-01T00:15:36Z,310000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,,,,,,,Jackson,R. Jackson,,,,202058.0,,,,,,,,,1.0,,,,,,
32,PT08M16.00S,2022-04-01T00:15:44.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630245,94.30026281208936,52.450980392156865,1610612741,8,13,2022-04-01T00:15:48Z,320000,12.0,1.0,1,right,MISS A. Dosunmu cutting Layup - blocked,"[1630245, 201587]",1610612741.0,CHI,cutting,,,,,,1.23,Missed,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,Batum,201587.0,,
33,PT08M16.00S,2022-04-01T00:15:44.1Z,1,REGULAR,block,,[],201587,,,1610612741,8,13,2022-04-01T00:15:46Z,330000,,,0,,N. Batum BLOCK (1 BLK),[201587],1610612746.0,LAC,,,,,,,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,
34,PT08M12.00S,2022-04-01T00:15:48.1Z,1,REGULAR,rebound,defensive,[],202694,,,1610612746,8,13,2022-04-01T00:15:48Z,340000,,,0,,M. Morris Sr. REBOUND (Off:0 Def:1),[202694],1610612746.0,LAC,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,
35,PT08M05.00S,2022-04-01T00:15:54.0Z,1,REGULAR,3pt,Jump Shot,[],202331,25.969119579500656,13.23529411764706,1610612746,8,13,2022-04-01T00:15:58Z,350000,184.0,192.0,1,left,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,,,,26.55,Missed,,George,P. George,,,,,,,,,,,,,,,,,,,
36,PT08M01.00S,2022-04-01T00:15:57.5Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,8,13,2022-04-01T00:15:57Z,360000,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,35.0,2.0,1.0,1.0,,,,,,,
