actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-20T01:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-20T01:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-20T01:10:34.8Z,1,REGULAR,jumpball,recovered,[],202738,,,1610612747,0,0,2021-12-20T01:10:34Z,40000,,,0,,Jump Ball D. Jordan vs. N. Vucevic: Tip to I. Thomas,"[202738, 201599, 202696]",1610612747.0,LAL,startperiod,I. Thomas,202738.0,Thomas,I. Thomas,Jordan,201599.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-20T01:10:46.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,93.11760840998686,52.450980392156865,1610612747,0,2,2021-12-20T01:10:50Z,70000,12.0,12.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (R. Westbrook 1 AST),"[201599, 201566]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,1.73,Made,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2021-12-20T01:11:11.6Z,1,REGULAR,3pt,Jump Shot,[],1628366,23.078186596583443,13.480392156862745,1610612741,0,2,2021-12-20T01:11:17Z,90000,183.0,164.0,1,left,MISS L. Ball 24' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,24.57,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-12-20T01:11:13.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,2,2021-12-20T01:11:17Z,100000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M18.00S,2021-12-20T01:11:20.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,2,2021-12-20T01:11:20Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2021-12-20T01:11:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,94.03745072273325,52.94117647058824,1610612747,0,2,2021-12-20T01:11:42Z,120000,15.0,4.0,1,right,MISS L. James driving Layup,[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,1.51,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2021-12-20T01:11:41.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2021-12-20T01:11:42Z,130000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M55.00S,2021-12-20T01:11:46.0Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202696,20.581471747700395,49.26470588235294,1610612741,2,2,2021-12-20T01:12:05Z,140000,4.0,141.0,1,left,N. Vucevic 14' Jump Shot (2 PTS) (L. Ball 1 AST),"[202696, 1628366]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,14.1,Made,2.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,,
16,PT10M44.00S,2021-12-20T01:11:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1628366,,,1610612747,2,2,2021-12-20T01:12:05Z,160000,,,0,,L. Ball shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1628366, 201566]",1610612741.0,CHI,shooting,,,Ball,L. Ball,,,,,,,,,,,,,,,1146.0,1.0,0.0,Westbrook,201566.0,,,,,
