actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-17T01:12:10.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-17T01:12:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-17T01:12:14.5Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-02-17T01:12:14Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Sabonis: Tip to J. Green,"[1629750, 202696, 1627734]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-02-17T01:12:35.4Z,1,REGULAR,3pt,Jump Shot,[],1629632,28.465834428383708,21.813725490196077,1610612741,0,0,2022-02-17T01:12:41Z,70000,141.0,215.0,1,left,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2022-02-17T01:12:37.2Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-02-17T01:12:37Z,80000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-17T01:12:45.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,0,2022-02-17T01:12:45Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2022-02-17T01:13:02.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,67.62483574244416,53.67647058823529,1610612758,0,3,2022-02-17T01:13:30Z,100000,18.0,252.0,1,right,D. Fox 25' 3PT pullup (3 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,25.25,Made,,,,,3.0,,,,,,,,,,,,,,
11,PT11M00.00S,2022-02-17T01:13:22.1Z,1,REGULAR,2pt,Jump Shot,[],201942,27.151773981603156,38.72549019607843,1610612741,0,3,2022-02-17T01:13:26Z,110000,56.0,203.0,1,left,MISS D. DeRozan 21' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,21.04,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-02-17T01:13:24.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,3,2022-02-17T01:13:26Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M37.00S,2022-02-17T01:13:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,94.56307490144546,61.76470588235294,1610612758,0,5,2022-02-17T01:13:53Z,130000,59.0,-1.0,1,right,H. Barnes fadeaway Jump Shot (2 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,fadeaway,,,Barnes,H. Barnes,,,,,5.88,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,
15,PT10M24.00S,2022-02-17T01:13:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,18.478975032851512,43.627450980392155,1610612741,0,5,2022-02-17T01:14:05Z,150000,32.0,121.0,1,left,MISS N. Vucevic 12' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,12.53,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M20.00S,2022-02-17T01:14:00.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,5,2022-02-17T01:14:00Z,160000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M12.00S,2022-02-17T01:14:09.0Z,1,REGULAR,2pt,Jump Shot,[],1628368,89.17542706964521,66.91176470588235,1610612758,0,7,2022-02-17T01:14:19Z,170000,85.0,49.0,1,right,D. Fox 9' turnaround fadeaway Jump Shot (5 PTS),[1628368],1610612758.0,SAC,turnaround fadeaway,,,Fox,D. Fox,,,,,9.79,Made,,,,,5.0,,,,,,,,,,,,,,
18,PT09M56.00S,2022-02-17T01:14:25.8Z,1,REGULAR,2pt,Jump Shot,[],201942,4.812746386333772,68.87254901960785,1610612741,2,7,2022-02-17T01:14:29Z,180000,-94.0,-7.0,1,left,D. DeRozan 9' turnaround Jump Shot (2 PTS),[201942],1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,9.47,Made,,,,,2.0,,,,,,,,,,,,,,
22,PT09M42.00S,2022-02-17T01:14:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.42969776609723,46.83670343137255,1610612758,2,7,2022-02-17T01:23:05Z,220000,-16.0,9.0,1,right,MISS D. Sabonis Layup,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,1.83,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2022-02-17T01:14:42.0Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,2,7,2022-02-17T01:14:44Z,230000,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
24,PT09M39.00S,2022-02-17T01:14:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,94.40999984741211,50.0,1610612758,2,9,2022-02-17T01:14:41Z,240000,0.0,0.0,1,right,D. Sabonis tip Layup (2 PTS),[1627734],1610612758.0,SAC,tip,,,Sabonis,D. Sabonis,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT09M25.00S,2022-02-17T01:14:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,14.273981603153747,49.50980392156863,1610612741,4,9,2022-02-17T01:16:36Z,250000,2.0,82.0,1,left,C. White 8' driving floating Jump Shot (2 PTS),[1629632],1610612741.0,CHI,driving floating,,,White,C. White,,,,,8.17,Made,,,,,2.0,,,,,,,,,,,,,,
