actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-24T00:10:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-24T00:10:17Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-24T00:10:19.8Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2021-10-24T00:10:19Z,40000,,,0,,Jump Ball I. Stewart vs. N. Vucevic: Tip to K. Hayes,"[1630165, 1630191, 202696]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Stewart,1630191.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-10-24T00:10:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.9060446780552,49.26470588235294,1610612765,0,2,2021-10-24T00:10:36Z,70000,-4.0,5.0,1,right,I. Stewart Layup (2 PTS) (K. Hayes 1 AST),"[1630191, 1630165]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,0.61,Made,2.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-10-24T00:10:53.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,13.485545335085414,45.83333333333333,1610612741,0,2,2021-10-24T00:10:58Z,90000,21.0,74.0,1,left,MISS N. Vucevic 7' step back Shot,[202696],1610612741.0,CHI,step back,,,Vucevic,N. Vucevic,,,,,7.72,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2021-10-24T00:10:55.8Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,2,2021-10-24T00:10:58Z,100000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M17.00S,2021-10-24T00:11:05.5Z,1,REGULAR,foul,offensive,[],1630191,,,1610612765,0,2,2021-10-24T00:11:13Z,110000,,,0,,I. Stewart off-the-ball offensive FOUL (1 PF),"[1630191, 201942]",1610612765.0,DET,off-the-ball,,,Stewart,I. Stewart,,,,,,,,,,,,,,,2003.0,1.0,0.0,DeRozan,201942.0,,,,,,
13,PT11M17.00S,2021-10-24T00:11:05.5Z,1,REGULAR,turnover,offensive foul,[],1630191,,,1610612765,0,2,2021-10-24T00:11:05Z,130000,,,0,,I. Stewart offensive foul TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,2003.0,,,,,1.0,,,,,
14,PT11M05.00S,2021-10-24T00:11:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628366,6.258212877792378,50.245098039215684,1610612741,0,2,2021-10-24T00:11:34Z,140000,-1.0,6.0,1,left,MISS L. Ball driving Layup - blocked,"[1628366, 203924]",1610612741.0,CHI,driving,,,Ball,L. Ball,,,,,0.64,Missed,,,,,,,,,,,,,,,Grant,203924.0,,,
16,PT11M05.00S,2021-10-24T00:11:29.7Z,1,REGULAR,block,,[],203924,,,1610612741,0,2,2021-10-24T00:11:37Z,145000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2021-10-24T00:11:32.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,0,2,2021-10-24T00:11:34Z,150000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M54.00S,2021-10-24T00:11:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,94.95729303547962,46.07843137254902,1610612765,0,4,2021-10-24T00:19:23Z,160000,-20.0,-5.0,1,right,I. Stewart Layup (4 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,2.03,Made,4.0,,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2021-10-24T00:11:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,6.652431011826544,52.450980392156865,1610612741,0,4,2021-10-24T00:11:55Z,170000,-12.0,10.0,1,left,MISS D. DeRozan driving Layup,[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,1.59,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M40.00S,2021-10-24T00:11:54.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,4,2021-10-24T00:11:55Z,190000,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,
21,PT10M36.00S,2021-10-24T00:11:57.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628402,97.05978975032852,98.0392156862745,1610612765,0,7,2021-10-24T00:12:03Z,200000,240.0,-25.0,1,right,F. Jackson 24' 3PT  (3 PTS) (K. Hayes 2 AST),"[1628402, 1630165]",1610612765.0,DET,,,,Jackson,F. Jackson,,,,,24.15,Made,3.0,K. Hayes,1630165.0,2.0,,,,,,,,,,,,,,,
23,PT10M14.00S,2021-10-24T00:12:19.3Z,1,REGULAR,2pt,Jump Shot,[],201942,5.863994743758213,23.284313725490197,1610612741,0,7,2021-10-24T00:12:24Z,220000,134.0,3.0,1,left,MISS D. DeRozan 13' step back Shot,[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,13.36,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M12.00S,2021-10-24T00:12:21.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,7,2021-10-24T00:12:24Z,230000,,,0,,S. Bey REBOUND (Off:0 Def:3),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,23.0,3.0,3.0,0.0,,,,,,,,,,,
25,PT10M05.00S,2021-10-24T00:12:28.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,85.62746386333771,49.01960784313725,1610612765,0,9,2021-10-24T00:12:33Z,240000,-5.0,83.0,1,right,S. Bey 8' driving floating Jump Shot (2 PTS),[1630180],1610612765.0,DET,driving floating,,,Bey,S. Bey,,,,,8.27,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2021-10-24T00:12:32.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,0,9,2021-10-24T00:12:32Z,250000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2021-10-24T00:15:38.4Z,1,REGULAR,2pt,Jump Shot,[],203897,23.73521681997372,33.33333333333333,1610612741,0,9,2021-10-24T00:15:43Z,260000,83.0,171.0,1,left,MISS Z. LaVine 18' Jump Shot,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,18.99,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2021-10-24T00:15:41.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,9,2021-10-24T00:15:43Z,270000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M35.00S,2021-10-24T00:15:55.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,79.188567674113,91.66666666666666,1610612765,0,9,2021-10-24T00:16:00Z,280000,208.0,143.0,1,right,MISS K. Hayes 25' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
