actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-07T00:10:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T00:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-07T00:10:18.9Z,1,REGULAR,jumpball,recovered,[],1629003,,,1610612755,0,0,2021-11-07T00:10:18Z,40000,,,0,,Jump Ball J. Embiid vs. N. Vucevic: Tip to S. Milton,"[1629003, 203954, 202696]",1610612755.0,PHI,startperiod,S. Milton,1629003.0,Milton,S. Milton,Embiid,203954.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-07T00:10:37.1Z,1,REGULAR,2pt,Jump Shot,[],203552,90.62089356110381,21.568627450980394,1610612755,0,0,2021-11-07T00:10:44Z,70000,-142.0,36.0,1,right,MISS S. Curry 14' Jump Shot,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,14.66,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-11-07T00:10:42.1Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2021-11-07T00:10:44Z,80000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-11-07T00:10:43.2Z,1,REGULAR,turnover,lost ball,[],203897,,,1610612741,0,0,2021-11-07T00:10:49Z,90000,,,0,,Z. LaVine lost ball TURNOVER (1 TO),"[203897, 1630194]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,1.0,Reed,1630194.0,,,,,,,,,,,,
10,PT11M32.00S,2021-11-07T00:10:43.2Z,1,REGULAR,steal,,[],1630194,,,1610612755,0,0,2021-11-07T00:10:46Z,100000,,,0,,P. Reed STEAL (1 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2021-11-07T00:10:52.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203954,89.43823915900131,76.47058823529412,1610612755,0,0,2021-11-07T00:10:58Z,110000,132.0,47.0,1,right,MISS J. Embiid 14' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,14.04,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2021-11-07T00:10:56.8Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,0,0,2021-11-07T00:10:58Z,120000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M06.00S,2021-11-07T00:11:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,18.2161629434954,49.754901960784316,1610612741,0,0,2021-11-07T00:11:13Z,130000,1.0,119.0,1,left,MISS N. Vucevic 11' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,11.87,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2021-11-07T00:11:11.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2021-11-07T00:11:13Z,140000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M00.00S,2021-11-07T00:11:16.6Z,1,REGULAR,turnover,double dribble,[],203954,,,1610612755,0,0,2021-11-07T00:11:30Z,150000,,,0,,J. Embiid double dribble TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,1.0,,,1662.0,,,,,,,,,,,
16,PT10M43.00S,2021-11-07T00:11:45.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202696,21.895532194480946,50.0,1610612741,0,0,2021-11-07T00:11:54Z,160000,0.0,153.0,1,left,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,15.33,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2021-11-07T00:11:49.6Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,0,0,2021-11-07T00:11:54Z,170000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
18,PT10M39.00S,2021-11-07T00:11:59.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629750,9.806176084099869,50.73529411764706,1610612741,0,0,2021-11-07T00:12:46Z,180000,-4.0,40.0,1,left,MISS J. Green tip Layup,[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,3.99,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2021-11-07T00:11:59.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,0,2021-11-07T00:12:46Z,190000,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2021-11-07T00:12:08.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612741,0,0,2021-11-07T00:12:08Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M33.00S,2021-11-07T00:12:11.0Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201942,28.597240473061763,36.51960784313725,1610612741,0,0,2021-11-07T00:12:15Z,210000,67.0,216.0,1,left,MISS D. DeRozan 22' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,22.66,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2021-11-07T00:12:14.0Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2021-11-07T00:12:15Z,220000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M22.00S,2021-11-07T00:12:22.0Z,1,REGULAR,3pt,Jump Shot,[],203954,67.36202365308804,64.70588235294117,1610612755,0,0,2021-11-07T00:12:28Z,230000,74.0,254.0,1,right,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,26.47,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2021-11-07T00:12:28.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,0,0,2021-11-07T00:12:28Z,240000,,,0,,Z. LaVine REBOUND (Off:0 Def:2),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
25,PT10M09.00S,2021-11-07T00:12:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,6.258212877792378,57.107843137254896,1610612741,2,0,2021-11-07T00:15:02Z,250000,-36.0,6.0,1,left,N. Vucevic floating Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,3.61,Made,,,,,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,,,
27,PT09M53.00S,2021-11-07T00:12:50.0Z,1,REGULAR,2pt,Jump Shot,[],203552,73.40670170827858,62.99019607843137,1610612755,2,2,2021-11-07T00:12:55Z,270000,65.0,197.0,1,right,S. Curry 20' step back Jump Shot (2 PTS) (S. Milton 1 AST),"[203552, 1629003]",1610612755.0,PHI,step back,,,Curry,S. Curry,,,,,20.79,Made,,,,,,,,,2.0,S. Milton,1629003.0,1.0,,,,,,,
29,PT09M34.00S,2021-11-07T00:13:10.3Z,1,REGULAR,2pt,Jump Shot,[],201942,8.09789750328515,11.27450980392157,1610612741,2,2,2021-11-07T00:13:15Z,290000,194.0,24.0,1,left,MISS D. DeRozan 19' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,19.5,Missed,,,,,,,,,,,,,,,,,,,
