actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-30T20:40:19.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T20:40:19Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-30T20:40:22.5Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2022-01-30T20:40:22Z,40000,,,0,,Jump Ball J. Nurkic vs. N. Vucevic: Tip to A. Simons,"[1629014, 203994, 202696]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Nurkic,203994.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-30T20:40:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.46057818659659,49.50980392156863,1610612757,0,2,2022-01-30T20:40:45Z,70000,-2.0,18.0,1,right,J. Nurkic driving Layup (2 PTS),[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,1.86,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2022-01-30T20:40:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,6.258212877792378,51.470588235294116,1610612741,2,2,2022-01-30T20:40:55Z,80000,-7.0,6.0,1,left,A. Dosunmu driving finger roll Layup (2 PTS),[1630245],1610612741.0,CHI,driving finger roll,,,Dosunmu,A. Dosunmu,,,,,0.97,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M04.00S,2022-01-30T20:41:15.1Z,1,REGULAR,turnover,lost ball,[],1629014,,,1610612757,2,2,2022-01-30T20:41:20Z,90000,,,0,,A. Simons lost ball TURNOVER (1 TO),"[1629014, 1630245]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,1.0,Dosunmu,1630245.0,,,,,,,,,,,,,,
10,PT11M04.00S,2022-01-30T20:41:15.1Z,1,REGULAR,steal,,[],1630245,,,1610612741,2,2,2022-01-30T20:41:17Z,100000,,,0,,A. Dosunmu STEAL (1 STL),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-01-30T20:41:18.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629750,5.732588699080158,50.98039215686274,1610612741,4,2,2022-01-30T20:42:03Z,110000,-5.0,1.0,1,left,J. Green cutting DUNK (2 PTS) (A. Dosunmu 1 AST),"[1629750, 1630245]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,0.51,Made,2.0,,,,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
13,PT10M41.00S,2022-01-30T20:41:37.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,92.9862023653088,55.392156862745104,1610612757,4,2,2022-01-30T20:41:41Z,130000,27.0,13.0,1,right,MISS J. Nurkic driving Layup,[203994],1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,3.01,Missed,,,,,,,,,,,,,,,,,,
14,PT10M39.00S,2022-01-30T20:41:39.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,2,2022-01-30T20:41:41Z,140000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M27.00S,2022-01-30T20:41:52.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,4.944152431011826,50.0,1610612741,6,2,2022-01-30T20:41:56Z,150000,0.0,-6.0,1,left,J. Green driving Layup (4 PTS) (D. DeRozan 1 AST),"[1629750, 201942]",1610612741.0,CHI,driving,,,Green,J. Green,,,,,0.6,Made,4.0,,,,D. DeRozan,201942.0,1.0,,,,,,,,,,,
17,PT10M14.00S,2022-01-30T20:42:04.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,83.13074901445466,59.068627450980394,1610612757,6,4,2022-01-30T20:42:08Z,170000,45.0,106.0,1,right,A. Simons 11' driving floating Jump Shot (2 PTS),[1629014],1610612757.0,POR,driving floating,,,Simons,A. Simons,,,,,11.54,Made,2.0,,,,,,,,,,,,,,,,,
18,PT09M55.00S,2022-01-30T20:42:23.1Z,1,REGULAR,2pt,Jump Shot,[],202696,10.726018396846255,69.36274509803921,1610612741,8,4,2022-01-30T20:42:27Z,180000,-97.0,48.0,1,left,N. Vucevic 10' floating Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,10.82,Made,2.0,,,,Z. LaVine,203897.0,1.0,,,,,,,,,,,
