actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-07T01:10:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-07T01:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-07T01:10:31.3Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2021-12-07T01:10:31Z,40000,,,0,,Jump Ball N. Jokic vs. N. Vucevic: Tip to M. Morris,"[1628420, 203999, 202696]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-07T01:10:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.64323258869908,47.30392156862745,1610612743,0,0,2021-12-07T01:11:49Z,70000,-13.0,7.0,1,right,MISS A. Gordon driving Layup - blocked,"[203932, 1627884]",1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,1.53,Missed,Jones Jr.,1627884.0,,,,,,,,,,,,,,,,,
11,PT11M44.00S,2021-12-07T01:10:46.2Z,1,REGULAR,block,,[],1627884,,,1610612743,0,0,2021-12-07T01:11:06Z,75000,,,0,,D. Jones Jr. BLOCK (1 BLK),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-07T01:10:47.2Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,0,0,2021-12-07T01:14:05Z,80000,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,
9,PT11M41.00S,2021-12-07T01:10:58.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203932,92.85479632063075,50.0,1610612743,0,0,2021-12-07T01:14:05Z,90000,0.0,15.0,1,right,MISS A. Gordon pullup Shot - blocked,"[203932, 1628366]",1610612743.0,DEN,pullup,,,Gordon,A. Gordon,,,,,1.47,Missed,Ball,1628366.0,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2021-12-07T01:10:58.8Z,1,REGULAR,block,,[],1628366,,,1610612743,0,0,2021-12-07T01:12:00Z,100000,,,0,,L. Ball BLOCK (1 BLK),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M41.00S,2021-12-07T01:10:58.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2021-12-07T01:15:47Z,110000,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
25,PT11M41.00S,2021-12-07T01:11:14.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612743,0,0,2021-12-07T01:15:47Z,120000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2021-12-07T01:11:29.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203115,72.35545335085413,22.54901960784314,1610612743,0,3,2021-12-07T01:15:47Z,130000,-137.0,207.0,1,right,W. Barton 24' 3PT  (3 PTS) (M. Morris 1 AST),"[203115, 1628420]",1610612743.0,DEN,,,,Barton,W. Barton,,,,,24.87,Made,,,,,,,3.0,M. Morris,1628420.0,1.0,,,,,,,,,
16,PT11M15.00S,2021-12-07T01:11:36.3Z,1,REGULAR,3pt,Jump Shot,[],203897,30.831143232588698,29.901960784313726,1610612741,0,3,2021-12-07T01:15:00Z,150000,100.0,237.0,1,left,MISS Z. LaVine 25' pullup 3PT,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,25.77,Missed,,,,,,,,,,,,,,,,,,,
