actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-22T01:10:21.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-22T01:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-22T01:10:23.7Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2021-11-22T01:10:23Z,40000,,,0,,Jump Ball N. Noel vs. T. Bradley: Tip to J. Randle,"[203944, 203457, 1628396]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Noel,203457.0,Bradley,1628396.0,,,,,,,,,,,,,,,,,,,,,
51,PT11M36.00S,2021-11-22T01:10:34.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.19776609724047,51.9607843137255,1610612752,0,0,2021-11-22T01:18:52Z,65000,10.0,21.0,1,right,MISS R. Barrett Layup,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,,
52,PT11M36.00S,2021-11-22T01:10:34.5Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,0,0,2021-11-22T01:18:52Z,67500,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-11-22T01:10:45.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629628,88.64980289093299,50.0,1610612752,0,0,2021-11-22T02:09:28Z,70000,0.0,54.0,1,right,MISS R. Barrett driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,5.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2021-11-22T01:10:46.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2021-11-22T02:09:28Z,80000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-22T01:10:51.9Z,1,REGULAR,foul,personal,[],1627936,,,1610612752,0,0,2021-11-22T01:11:07Z,90000,,,0,,A. Caruso loose ball personal FOUL (1 PF),"[1627936, 1629628]",1610612741.0,CHI,loose ball,,,Caruso,A. Caruso,,,,,,,,,,,2882.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,
11,PT11M27.00S,2021-11-22T01:11:11.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203095,94.03745072273325,47.05882352941176,1610612752,0,2,2021-11-22T02:09:36Z,110000,-15.0,4.0,1,right,E. Fournier cutting Layup (2 PTS) (N. Noel 1 AST),"[203095, 203457]",1610612752.0,NYK,cutting,,,Fournier,E. Fournier,,,,,1.51,Made,,,,,,,,,,2.0,N. Noel,203457.0,1.0,,,,,,
13,PT11M15.00S,2021-11-22T01:11:25.5Z,1,REGULAR,turnover,bad pass,[],1628366,,,1610612741,0,2,2021-11-22T01:11:45Z,130000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1628366, 203095]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,,,
14,PT11M15.00S,2021-11-22T01:11:25.5Z,1,REGULAR,steal,,[],203095,,,1610612752,0,2,2021-11-22T01:11:27Z,140000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
