actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-01-20T01:10:31.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T01:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-20T01:10:38.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2022-01-20T01:10:38Z,40000,,,0,,Jump Ball N. Vucevic vs. J. Allen: Tip to Team (CHI),"[202696, 1628386]",1610612741.0,CHI,startperiod,Team (CHI),Vucevic,202696.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-01-20T01:11:05.9Z,1,REGULAR,2pt,Jump Shot,[],202696,11.514454664914586,83.08823529411765,1610612741,0,0,2022-01-20T01:11:15Z,70000,-165.0,56.0,1,left,MISS N. Vucevic 17' Jump Shot,[202696],1610612741.0,CHI,,,,,,,17.45,Missed,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-01-20T01:11:08.9Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,0,0,2022-01-20T01:11:15Z,80000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,,,,,,Markkanen,L. Markkanen,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-01-20T01:11:27.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,94.1688567674113,49.50980392156863,1610612739,0,2,2022-01-20T01:11:32Z,90000,-2.0,2.0,1,right,L. Markkanen cutting DUNK (2 PTS) (J. Allen 1 AST),"[1628374, 1628386]",1610612739.0,CLE,cutting,,,,,,0.34,Made,Markkanen,L. Markkanen,,,,,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,
11,PT10M53.00S,2022-01-20T01:11:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,5.863994743758213,49.01960784313725,1610612741,2,2,2022-01-20T01:11:55Z,110000,5.0,3.0,1,left,N. Vucevic cutting Layup (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,cutting,,,,,,0.55,Made,Vucevic,N. Vucevic,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,
13,PT10M39.00S,2022-01-20T01:12:05.6Z,1,REGULAR,2pt,Jump Shot,[],1629636,80.89684625492772,76.47058823529412,1610612739,2,4,2022-01-20T01:12:09Z,130000,132.0,127.0,1,right,D. Garland 18' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,,,,18.35,Made,Garland,D. Garland,,,,,2.0,,,,,,,,,,,,,,
14,PT10M29.00S,2022-01-20T01:12:15.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,28.597240473061763,23.03921568627451,1610612741,5,4,2022-01-20T01:12:21Z,140000,135.0,216.0,1,left,C. White 25' 3PT  (3 PTS) (A. Dosunmu 1 AST),"[1629632, 1630245]",1610612741.0,CHI,,,,,,,25.49,Made,White,C. White,,,,,3.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
16,PT10M17.00S,2022-01-20T01:12:27.5Z,1,REGULAR,2pt,Jump Shot,[],1630596,76.2976346911958,58.82352941176471,1610612739,5,6,2022-01-20T01:12:37Z,160000,44.0,170.0,1,right,E. Mobley 17' Jump Shot (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,,,,,,,17.59,Made,Mobley,E. Mobley,,,,,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,
18,PT09M56.00S,2022-01-20T01:12:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628035,5.338370565045992,50.98039215686274,1610612741,5,6,2022-01-20T01:12:54Z,180000,-5.0,-2.0,1,left,MISS A. McKinnie driving DUNK - blocked,"[1628035, 1628386]",1610612741.0,CHI,driving,,,,,,0.54,Missed,McKinnie,A. McKinnie,,,,,,,,,Allen,1628386.0,,,,,,,,,
