actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-01-13T03:10:44.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T03:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-13T03:10:45.9Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2022-01-13T03:10:45Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Sharpe: Tip to L. Ball,"[1628366, 202696, 1630549]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Sharpe,1630549.0,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-13T03:11:02.5Z,1,REGULAR,2pt,Jump Shot,[],203897,23.73521681997372,77.69607843137256,1610612741,0,0,2022-01-13T03:11:06Z,70000,-138.0,171.0,1,left,MISS Z. LaVine 21' pullup Shot,[203897],1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,21.97,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-13T03:11:05.5Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,0,0,2022-01-13T03:11:06Z,80000,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-13T03:11:15.4Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612751,0,0,2022-01-13T03:11:24Z,90000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 201942]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,,
10,PT11M27.00S,2022-01-13T03:11:15.4Z,1,REGULAR,steal,,[],201942,,,1610612741,0,0,2022-01-13T03:11:17Z,100000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-01-13T03:11:23.1Z,1,REGULAR,turnover,out-of-bounds,[],1627884,,,1610612741,0,0,2022-01-13T03:11:57Z,110000,,,0,,D. Jones Jr. lost ball out-of-bounds TURNOVER (1 TO),[1627884],1610612741.0,CHI,lost ball,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,1.0,,,202058.0,,,,,,,,,,
12,PT11M24.00S,2022-01-13T03:11:42.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,0,0,2022-01-13T03:11:42Z,120000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M24.00S,2022-01-13T03:12:07.8Z,1,REGULAR,substitution,out,[],1627884,,,1610612751,0,0,2022-01-13T03:14:03Z,130000,,,0,,SUB out: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2022-01-13T03:12:07.8Z,1,REGULAR,substitution,in,[],1628035,,,1610612751,0,0,2022-01-13T03:14:03Z,140000,,,0,,SUB in: A. McKinnie,[1628035],1610612741.0,CHI,,,,McKinnie,A. McKinnie,,,,,,,,,,,,,,,,,,,,,,,,
