actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-23T00:13:28.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-23T00:13:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-23T00:13:33.0Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2021-10-23T00:13:33Z,40000,,,0,,Jump Ball N. Vucevic vs. J. Valanciunas: Tip to L. Ball,"[1628366, 202696, 202685]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-10-23T00:13:41.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628366,94.30026281208936,48.28431372549019,1610612741,2,0,2021-10-23T00:13:45Z,70000,-9.0,1.0,1,right,L. Ball driving Layup (2 PTS),[1628366],1610612741.0,CHI,driving,,,Ball,L. Ball,,,,,0.87,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-10-23T00:13:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,5.601182654402102,49.50980392156863,1610612740,2,0,2021-10-23T00:14:01Z,80000,2.0,0.0,1,left,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,Ingram,B. Ingram,,,,,0.25,Missed,,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-23T00:14:00.4Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,0,2021-10-23T00:14:00Z,90000,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M27.00S,2021-10-23T00:14:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202685,5.590000152587891,50.0,1610612740,2,0,2021-10-23T00:14:00Z,100000,0.0,0.0,1,left,MISS J. Valanciunas tip Layup,[202685],1610612740.0,NOP,tip,,,Valanciunas,J. Valanciunas,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2021-10-23T00:14:01.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,2,0,2021-10-23T00:14:01Z,110000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M20.00S,2021-10-23T00:14:07.6Z,1,REGULAR,2pt,Jump Shot,[],1630172,70.77858081471747,43.38235294117647,1610612741,2,0,2021-10-23T00:14:14Z,120000,-33.0,222.0,1,right,MISS P. Williams 22' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,22.47,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-10-23T00:14:10.6Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,2,0,2021-10-23T00:14:14Z,130000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M13.00S,2021-10-23T00:14:14.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630529,4.5499342969776615,50.245098039215684,1610612740,2,2,2021-10-23T00:17:08Z,140000,-1.0,-10.0,1,left,H. Jones driving reverse Layup (2 PTS) (D. Graham 1 AST),"[1630529, 1628984]",1610612740.0,NOP,driving reverse,,,Jones,H. Jones,,,,,0.98,Made,2.0,,,,,D. Graham,1628984.0,1.0,,,,,,,,,,
