actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-09T00:10:48.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-09T00:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-09T00:10:50.2Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2022-04-09T00:10:50Z,40000,,,0,,Jump Ball N. Vucevic vs. M. Plumlee: Tip to C. White,"[1629632, 202696, 203486]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-09T00:11:04.5Z,1,REGULAR,2pt,Jump Shot,[],201942,23.209592641261498,54.41176470588235,1610612741,2,0,2022-04-09T00:11:12Z,70000,-22.0,166.0,1,left,D. DeRozan 16' pullup Jump Shot (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.72,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-04-09T00:11:24.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,94.1688567674113,50.0,1610612766,2,2,2022-04-09T00:12:53Z,90000,0.0,2.0,1,right,M. Bridges cutting finger roll Layup (2 PTS) (L. Ball 1 AST),"[1628970, 1630163]",1610612766.0,CHA,cutting finger roll,,,Bridges,M. Bridges,,,,,0.23,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-04-09T00:11:42.5Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,2,2,2022-04-09T00:11:51Z,110000,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1629023]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,1.0,Washington,1629023.0,,,,,,,,,,,,
12,PT11M05.00S,2022-04-09T00:11:42.5Z,1,REGULAR,steal,,[],1629023,,,1610612766,2,2,2022-04-09T00:11:47Z,120000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2022-04-09T00:11:48.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630163,93.64323258869908,50.0,1610612766,2,4,2022-04-09T00:13:48Z,130000,0.0,7.0,1,right,L. Ball running DUNK (2 PTS) (P. Washington 1 AST),"[1630163, 1629023]",1610612766.0,CHA,running,,,Ball,L. Ball,,,,,0.73,Made,2.0,P. Washington,1629023.0,1.0,,,,,,,,,,,,,,,
15,PT10M38.00S,2022-04-09T00:12:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,2,4,2022-04-09T00:12:25Z,150000,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,,,,,,,1.0,,,201639.0,,,,,,,,,,,
16,PT10M26.00S,2022-04-09T00:12:31.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630163,88.83048620236531,56.30744485294118,1610612766,2,6,2022-04-09T00:15:22Z,160000,32.0,52.0,1,right,L. Ball 6' driving floating Jump Shot (4 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,6.12,Made,4.0,,,,,,,,,,,,,,,,,,
17,PT10M25.00S,2022-04-09T00:12:38.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,2,6,2022-04-09T00:12:38Z,170000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
