actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-10-29T00:11:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-29T00:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-29T00:11:26.5Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2021-10-29T00:11:26Z,40000,,,0,,Jump Ball N. Vucevic vs. M. Robinson: Tip to L. Ball,"[1628366, 202696, 1629011]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-29T00:11:41.9Z,1,REGULAR,3pt,Jump Shot,[],203897,24.26084099868594,88.48039215686273,1610612741,3,0,2021-10-29T00:11:48Z,70000,-192.0,176.0,1,left,Z. LaVine 26' 3PT  (3 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.05,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2021-10-29T00:12:03.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,93.64323258869908,50.49019607843137,1610612752,3,2,2021-10-29T00:12:09Z,90000,2.0,7.0,1,right,M. Robinson alley-oop DUNK (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,0.77,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
11,PT11M07.00S,2021-10-29T00:12:17.0Z,1,REGULAR,turnover,bad pass,[],1628366,,,1610612741,3,2,2021-10-29T00:12:20Z,110000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1628366, 202689]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,1.0,Walker,202689.0,,,,,,,,,,,,
12,PT11M07.00S,2021-10-29T00:12:17.0Z,1,REGULAR,steal,,[],202689,,,1610612752,3,2,2021-10-29T00:12:54Z,120000,,,0,,K. Walker STEAL (1 STL),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2021-10-29T00:12:23.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,73.40670170827858,16.666666666666664,1610612752,3,2,2021-10-29T00:16:01Z,130000,-167.0,197.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.84,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2021-10-29T00:12:26.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,2,2021-10-29T00:12:29Z,140000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M48.00S,2021-10-29T00:12:35.8Z,1,REGULAR,3pt,Jump Shot,[],202696,30.436925098554536,36.51960784313725,1610612741,6,2,2021-10-29T00:12:40Z,150000,67.0,234.0,1,left,N. Vucevic 24' 3PT  (3 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,24.31,Made,3.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,,
17,PT10M27.00S,2021-10-29T00:12:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,94.30026281208936,53.431372549019606,1610612752,6,2,2021-10-29T00:13:03Z,170000,17.0,1.0,1,right,MISS J. Randle driving Layup,[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,1.72,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2021-10-29T00:12:58.8Z,1,REGULAR,rebound,offensive,[],203944,,,1610612752,6,2,2021-10-29T00:13:03Z,180000,,,0,,J. Randle REBOUND (Off:1 Def:0),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,
19,PT10M24.00S,2021-10-29T00:12:58.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203944,94.40999984741211,50.0,1610612752,6,4,2021-10-29T00:12:58Z,190000,0.0,0.0,1,right,J. Randle putback Layup (2 PTS),[203944],1610612752.0,NYK,putback,,,Randle,J. Randle,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M08.00S,2021-10-29T00:13:15.2Z,1,REGULAR,3pt,Jump Shot,[],1628366,26.757555847568987,80.14705882352942,1610612741,6,4,2021-10-29T00:13:20Z,200000,-151.0,199.0,1,left,MISS L. Ball 24' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,24.96,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M06.00S,2021-10-29T00:13:17.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,4,2021-10-29T00:13:20Z,210000,,,0,,J. Randle REBOUND (Off:1 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,
22,PT09M57.00S,2021-10-29T00:13:28.7Z,1,REGULAR,foul,personal,[],1630172,,,1610612752,6,4,2021-10-29T00:13:48Z,220000,,,0,,P. Williams personal FOUL (1 PF),"[1630172, 203095]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,1627524.0,1.0,0.0,Fournier,203095.0,,,
24,PT09M48.00S,2021-10-29T00:13:53.0Z,1,REGULAR,2pt,Jump Shot,[],203095,91.01511169513797,25.49019607843137,1610612752,6,6,2021-10-29T00:13:58Z,240000,-123.0,32.0,1,right,E. Fournier 12' pullup Jump Shot (2 PTS),[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,12.66,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M35.00S,2021-10-29T00:14:06.2Z,1,REGULAR,3pt,Jump Shot,[],1628366,17.821944809461236,5.392156862745098,1610612741,6,6,2021-10-29T00:14:11Z,250000,223.0,115.0,1,left,MISS L. Ball 25' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.09,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M32.00S,2021-10-29T00:14:09.2Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,6,6,2021-10-29T00:14:11Z,260000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M27.00S,2021-10-29T00:14:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203095,93.77463863337714,47.30392156862745,1610612752,6,6,2021-10-29T00:14:22Z,270000,-13.0,6.0,1,right,MISS E. Fournier running Layup,[203095],1610612752.0,NYK,running,,,Fournier,E. Fournier,,,,,1.48,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M25.00S,2021-10-29T00:14:17.0Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,6,6,2021-10-29T00:14:22Z,280000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
