actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-27T01:12:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T01:12:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-27T01:12:56.1Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-02-27T01:12:56Z,40000,,,0,,Jump Ball N. Vucevic vs. S. Adams: Tip to J. Green,"[1629750, 202696, 203500]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2022-02-27T01:12:57.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,94.03745072273325,49.50980392156863,1610612741,2,0,2022-02-27T01:13:08Z,70000,-2.0,4.0,1,right,J. Green driving DUNK (2 PTS),[1629750],1610612741.0,CHI,driving,,,Green,J. Green,,,,,0.43,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-02-27T01:13:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,5.863994743758213,48.529411764705884,1610612763,2,0,2022-02-27T01:13:24Z,90000,7.0,3.0,1,left,MISS J. Jackson Jr. Layup,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,0.78,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2022-02-27T01:13:13.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,2,0,2022-02-27T01:13:24Z,100000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M38.00S,2022-02-27T01:13:19.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,0,2022-02-27T01:16:41Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2022-02-27T01:13:43.6Z,1,REGULAR,turnover,bad pass,[],203500,,,1610612763,2,0,2022-02-27T01:13:52Z,120000,,,0,,S. Adams bad pass TURNOVER (1 TO),"[203500, 201942]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,,,,,
13,PT11M32.00S,2022-02-27T01:13:43.6Z,1,REGULAR,steal,,[],201942,,,1610612741,2,0,2022-02-27T01:13:45Z,130000,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M20.00S,2022-02-27T01:13:55.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202696,70.90998685939553,45.588235294117645,1610612741,4,0,2022-02-27T01:14:07Z,140000,-22.0,221.0,1,right,N. Vucevic 22' Jump Shot (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,22.2,Made,2.0,,,,,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,
16,PT11M08.00S,2022-02-27T01:14:07.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,5.469776609724048,50.49019607843137,1610612763,4,0,2022-02-27T01:14:16Z,160000,-2.0,-1.0,1,left,MISS S. Adams DUNK,[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,0.27,Missed,,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2022-02-27T01:14:11.1Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,4,0,2022-02-27T01:14:16Z,170000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,16.0,,,,,,,1.0,0.0,1.0,,,,,,,,
18,PT11M04.00S,2022-02-27T01:14:11.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203500,5.590000152587891,50.0,1610612763,4,2,2022-02-27T01:14:11Z,180000,0.0,0.0,1,left,S. Adams putback DUNK (2 PTS),[203500],1610612763.0,MEM,putback,,,Adams,S. Adams,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
