actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-13T01:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-13T01:10:13.4Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-03-13T01:10:13Z,40000,,,0,,Jump Ball N. Vucevic vs. E. Mobley: Tip to J. Green,"[1629750, 202696, 1630596]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Mobley,1630596.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-03-13T01:10:23.6Z,1,REGULAR,turnover,out-of-bounds,[],201942,,,1610612741,0,0,2022-03-13T01:10:31Z,70000,,,0,,D. DeRozan bad pass out-of-bounds TURNOVER (1 TO),[201942],1610612741.0,CHI,bad pass,,,DeRozan,D. DeRozan,,,,,202053.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-03-13T01:10:48.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630596,81.553876478318,49.50980392156863,1610612739,0,2,2022-03-13T01:10:52Z,80000,-2.0,121.0,1,right,E. Mobley 12' pullup Jump Shot (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,,,12.09,Made,2.0,D. Garland,1629636.0,1.0,,,,,,,,,,,,,
10,PT11M12.00S,2022-03-13T01:11:06.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,5.732588699080158,49.50980392156863,1610612741,2,2,2022-03-13T01:11:13Z,100000,2.0,1.0,1,left,N. Vucevic driving Hook (2 PTS),[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,,,0.29,Made,2.0,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-03-13T01:11:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.95729303547962,52.69607843137255,1610612739,2,2,2022-03-13T01:11:24Z,110000,13.0,-5.0,1,right,MISS D. Garland driving Layup - blocked,"[1629636, 1630245]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,1.44,Missed,,,,,Dosunmu,1630245.0,,,,,,,,,,,
12,PT11M00.00S,2022-03-13T01:11:19.8Z,1,REGULAR,block,,[],1630245,,,1610612739,2,2,2022-03-13T01:11:22Z,120000,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-13T01:11:19.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,2,2,2022-03-13T01:11:24Z,130000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
14,PT11M00.00S,2022-03-13T01:11:27.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,2,2,2022-03-13T01:11:27Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2022-03-13T01:11:49.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201567,87.46714848883047,50.0,1610612739,2,2,2022-03-13T01:11:53Z,150000,0.0,65.0,1,right,MISS K. Love 6' driving floating Shot,[201567],1610612739.0,CLE,driving floating,,,Love,K. Love,,,,,,,6.53,Missed,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-03-13T01:11:51.0Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,2,2,2022-03-13T01:11:53Z,160000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M28.00S,2022-03-13T01:12:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,20.05584756898817,62.99019607843137,1610612741,2,2,2022-03-13T01:12:14Z,170000,-65.0,136.0,1,left,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,15.07,Missed,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2022-03-13T01:12:11.6Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,2,2,2022-03-13T01:12:14Z,180000,,,0,,K. Love REBOUND (Off:0 Def:1),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M20.00S,2022-03-13T01:12:18.4Z,1,REGULAR,foul,personal,[],1629750,,,1610612739,2,2,2022-03-13T01:12:43Z,190000,,,0,,J. Green personal FOUL (1 PF),"[1629750, 201567]",1610612741.0,CHI,,,,Green,J. Green,,,,,202053.0,,,,,,,,,,,,,,1.0,0.0,Love,201567.0,,,
21,PT10M08.00S,2022-03-13T01:12:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630596,94.43166885676742,50.245098039215684,1610612739,2,4,2022-03-13T01:13:38Z,210000,1.0,0.0,1,right,E. Mobley cutting DUNK (4 PTS) (D. Garland 2 AST),"[1630596, 1629636]",1610612739.0,CLE,cutting,,,Mobley,E. Mobley,,,,,,,0.12,Made,4.0,D. Garland,1629636.0,2.0,,,,,,,,,,,,,
23,PT09M58.00S,2022-03-13T01:13:08.2Z,1,REGULAR,2pt,Jump Shot,[],201942,22.158344283837057,52.69607843137255,1610612741,2,4,2022-03-13T01:13:13Z,230000,-13.0,156.0,1,left,MISS D. DeRozan 15' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,,,15.64,Missed,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2022-03-13T01:13:12.2Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,2,4,2022-03-13T01:13:13Z,240000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,
25,PT09M54.00S,2022-03-13T01:13:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629750,5.590000152587891,50.0,1610612741,4,4,2022-03-13T01:13:12Z,250000,0.0,0.0,1,left,J. Green putback Layup (2 PTS),[1629750],1610612741.0,CHI,putback,,,Green,J. Green,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,
26,PT09M36.00S,2022-03-13T01:13:31.2Z,1,REGULAR,2pt,Jump Shot,[],201567,94.43166885676742,74.01960784313727,1610612739,4,4,2022-03-13T01:13:37Z,260000,120.0,0.0,1,right,MISS K. Love 12' turnaround Shot,[201567],1610612739.0,CLE,turnaround,,,Love,K. Love,,,,,,,12.01,Missed,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2022-03-13T01:13:31.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,4,4,2022-03-13T01:13:37Z,270000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,
28,PT09M36.00S,2022-03-13T01:13:37.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,4,4,2022-03-13T01:13:37Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2022-03-13T01:13:49.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629731,94.03745072273325,50.49019607843137,1610612739,4,6,2022-03-13T01:13:54Z,290000,2.0,4.0,1,right,D. Wade DUNK (2 PTS) (D. Garland 3 AST),"[1629731, 1629636]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,0.43,Made,2.0,D. Garland,1629636.0,3.0,,,,,,,,,,,,,
31,PT09M15.00S,2022-03-13T01:14:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.193823915900131,55.88235294117647,1610612741,6,6,2022-03-13T01:14:15Z,310000,-29.0,90.0,1,left,N. Vucevic 9' Jump Shot (4 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,9.5,Made,4.0,C. White,1629632.0,1.0,,,,,,,,,,,,,
33,PT09M05.00S,2022-03-13T01:14:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.03745072273325,49.50980392156863,1610612739,6,6,2022-03-13T01:14:25Z,330000,-2.0,4.0,1,right,MISS D. Garland driving Layup - blocked,"[1629636, 1629750]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,0.43,Missed,,,,,Green,1629750.0,,,,,,,,,,,
34,PT09M05.00S,2022-03-13T01:14:18.9Z,1,REGULAR,block,,[],1629750,,,1610612739,6,6,2022-03-13T01:14:21Z,340000,,,0,,J. Green BLOCK (1 BLK),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2022-03-13T01:14:18.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,6,6,2022-03-13T01:14:25Z,350000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,
36,PT09M05.00S,2022-03-13T01:14:23.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,6,6,2022-03-13T01:14:23Z,360000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M01.00S,2022-03-13T01:14:37.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629636,96.13994743758212,9.558823529411764,1610612739,6,6,2022-03-13T01:14:43Z,370000,-202.0,-16.0,1,right,MISS D. Garland 20' Jump Shot,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,20.28,Missed,,,,,,,,,,,,,,,,,
38,PT08M59.00S,2022-03-13T01:14:39.6Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,6,6,2022-03-13T01:14:43Z,380000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,
40,PT08M44.00S,2022-03-13T01:14:54.5Z,1,REGULAR,turnover,bad pass,[],201942,,,1610612741,6,6,2022-03-13T01:14:59Z,400000,,,0,,D. DeRozan bad pass TURNOVER (2 TO),"[201942, 1630596]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,2.0,,,,,,,,,,,,,,,,,Mobley,1630596.0,
41,PT08M44.00S,2022-03-13T01:14:54.5Z,1,REGULAR,steal,,[],1630596,,,1610612739,6,6,2022-03-13T01:14:57Z,410000,,,0,,E. Mobley STEAL (1 STL),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M38.00S,2022-03-13T01:15:00.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630171,94.56307490144546,46.07843137254902,1610612739,6,6,2022-03-13T01:17:11Z,420000,-20.0,-1.0,1,right,MISS I. Okoro running Layup,[1630171],1610612739.0,CLE,running,,,Okoro,I. Okoro,,,,,,,1.96,Missed,,,,,,,,,,,,,,,,,
43,PT08M36.00S,2022-03-13T01:15:02.7Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,6,6,2022-03-13T01:15:05Z,430000,,,0,,J. Green REBOUND (Off:1 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,,,
44,PT08M28.00S,2022-03-13T01:15:13.9Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,6,6,2022-03-13T01:15:22Z,440000,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,202053.0,1.0,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2022-03-13T01:15:35.2Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612739,6,6,2022-03-13T01:15:45Z,450000,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Garland 2 FT),"[1630245, 1629636]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,2882.0,,,,,,,,,,,,,,1.0,0.0,Garland,1629636.0,,,
47,PT08M17.00S,2022-03-13T01:15:59.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629636,,,1610612739,6,7,2022-03-13T01:16:20Z,470000,,,0,,D. Garland Free Throw 1 of 2 (1 PTS),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
48,PT08M17.00S,2022-03-13T01:15:59.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629636,,,1610612739,6,7,2022-03-13T01:16:20Z,480000,,,0,,MISS D. Garland Free Throw 2 of 2,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,Missed,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2022-03-13T01:16:02.5Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,6,7,2022-03-13T01:16:20Z,490000,,,0,,J. Green REBOUND (Off:1 Def:2),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,48.0,3.0,2.0,1.0,,,,,,,
50,PT08M04.00S,2022-03-13T01:16:31.8Z,1,REGULAR,foul,offensive,[],202696,,,1610612741,6,7,2022-03-13T01:16:39Z,500000,,,0,,N. Vucevic off-the-ball offensive FOUL (1 PF),"[202696, 1629731]",1610612741.0,CHI,off-the-ball,,,Vucevic,N. Vucevic,,,,,1627961.0,,,,,,,,,,,,,,1.0,0.0,Wade,1629731.0,,,
52,PT08M04.00S,2022-03-13T01:16:31.8Z,1,REGULAR,turnover,offensive foul,[],202696,,,1610612741,6,7,2022-03-13T01:16:31Z,520000,,,0,,N. Vucevic offensive foul TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1627961.0,1.0,,,,,,,,,,,,,,,,,,,
53,PT07M54.00S,2022-03-13T01:16:56.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,68.67608409986859,33.088235294117645,1610612739,6,10,2022-03-13T01:17:03Z,530000,-85.0,242.0,1,right,D. Wade 25' 3PT  (5 PTS) (I. Okoro 1 AST),"[1629731, 1630171]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,25.63,Made,5.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,
55,PT07M42.00S,2022-03-13T01:17:09.0Z,1,REGULAR,2pt,Jump Shot,[],1630245,14.14257555847569,26.715686274509803,1610612741,8,10,2022-03-13T01:17:15Z,550000,116.0,80.0,1,left,A. Dosunmu 14' pullup Jump Shot (2 PTS),[1630245],1610612741.0,CHI,pullup,,,Dosunmu,A. Dosunmu,,,,,,,14.15,Made,2.0,,,,,,,,,,,,,,,,
56,PT07M33.00S,2022-03-13T01:17:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.43166885676742,52.94117647058824,1610612739,8,10,2022-03-13T01:22:31Z,552500,15.0,0.0,1,right,MISS D. Garland driving Layup - blocked,"[1629636, 202696]",1610612739.0,CLE,driving,,,Garland,D. Garland,,,,,,,1.47,Missed,,,,,Vucevic,202696.0,,,,,,,,,,,
57,PT07M33.00S,2022-03-13T01:17:20.5Z,1,REGULAR,block,,[],202696,,,1610612739,8,10,2022-03-13T01:17:23Z,553750,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M32.00S,2022-03-13T01:17:21.5Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,8,10,2022-03-13T01:22:31Z,554375,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,56.0,1.0,0.0,1.0,,,,,,,
59,PT07M32.00S,2022-03-13T01:17:26.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630596,94.40999984741211,50.0,1610612739,8,12,2022-03-13T01:22:31Z,555000,0.0,0.0,1,right,E. Mobley putback DUNK (6 PTS),[1630596],1610612739.0,CLE,putback,,,Mobley,E. Mobley,,,,,,,0.0,Made,6.0,,,,,,,,,,,,,,,,
60,PT07M16.00S,2022-03-13T01:17:35.5Z,1,REGULAR,3pt,Jump Shot,[],201942,5.601182654402102,94.36274509803921,1610612741,8,12,2022-03-13T01:17:40Z,600000,-222.0,0.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,22.18,Missed,,,,,,,,,,,,,,,,,
61,PT07M13.00S,2022-03-13T01:17:38.5Z,1,REGULAR,rebound,defensive,[],201567,,,1610612739,8,12,2022-03-13T01:17:40Z,610000,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,60.0,2.0,2.0,0.0,,,,,,,
62,PT07M01.00S,2022-03-13T01:17:49.8Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612739,8,12,2022-03-13T01:17:57Z,620000,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 202696]",1610612739.0,CLE,,,,Love,K. Love,,,,,,1.0,,,,,,,,,,,,,,,,,Vucevic,202696.0,
63,PT07M01.00S,2022-03-13T01:17:49.8Z,1,REGULAR,steal,,[],202696,,,1610612741,8,12,2022-03-13T01:17:57Z,630000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2022-03-13T01:17:58.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202696,27.283180026281208,78.43137254901961,1610612741,11,12,2022-03-13T01:18:02Z,640000,-142.0,204.0,1,left,N. Vucevic 24' 3PT  (7 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,24.87,Made,7.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,
66,PT06M31.00S,2022-03-13T01:18:23.7Z,1,REGULAR,turnover,traveling,[],1629636,,,1610612739,11,12,2022-03-13T01:18:30Z,660000,,,0,,D. Garland traveling TURNOVER (1 TO),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,1627961.0,1.0,,,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2022-03-13T01:18:30.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,11,12,2022-03-13T01:18:30Z,670000,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2022-03-13T01:21:03.3Z,1,REGULAR,substitution,out,[],201942,,,1610612741,11,12,2022-03-13T01:21:36Z,680000,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2022-03-13T01:21:03.3Z,1,REGULAR,substitution,out,[],201567,,,1610612741,11,12,2022-03-13T01:21:36Z,690000,,,0,,SUB out: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M31.00S,2022-03-13T01:21:03.3Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,11,12,2022-03-13T01:21:36Z,700000,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M31.00S,2022-03-13T01:21:03.3Z,1,REGULAR,substitution,in,[],1630205,,,1610612741,11,12,2022-03-13T01:21:36Z,710000,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,
