actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-11T01:10:12.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-11T01:10:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-11T01:10:15.7Z,1,REGULAR,jumpball,recovered,[],1627827,,,1610612742,0,0,2021-11-11T01:10:15Z,40000,,,0,,Jump Ball K. Porzingis vs. N. Vucevic: Tip to D. Finney-Smith,"[1627827, 204001, 202696]",1610612742.0,DAL,startperiod,D. Finney-Smith,1627827.0,Finney-Smith,D. Finney-Smith,Porzingis,204001.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-11T01:10:29.4Z,1,REGULAR,foul,personal,['2freethrow'],203897,,,1610612742,0,0,2021-11-11T01:10:39Z,70000,,,0,,Z. LaVine shooting personal FOUL (1 PF) (Porzingis 2 FT),"[203897, 204001]",1610612741.0,CHI,shooting,,,LaVine,Z. LaVine,,,,,2534.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-11-11T01:10:56.9Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612742,0,1,2021-11-11T01:10:56Z,90000,,,0,,K. Porzingis Free Throw 1 of 2 (1 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M44.00S,2021-11-11T01:11:12.6Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612742,0,2,2021-11-11T01:11:12Z,100000,,,0,,K. Porzingis Free Throw 2 of 2 (2 PTS),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M36.00S,2021-11-11T01:11:21.0Z,1,REGULAR,3pt,Jump Shot,[],1628366,29.122864651773984,27.205882352941174,1610612741,3,2,2021-11-11T01:11:27Z,110000,114.0,221.0,1,left,L. Ball 24' 3PT pullup (3 PTS),[1628366],1610612741.0,CHI,pullup,,,Ball,L. Ball,,,,,,,,,,Made,3.0,24.89,,,,,,,,,,,,,
12,PT11M16.00S,2021-11-11T01:11:40.8Z,1,REGULAR,3pt,Jump Shot,[],203939,69.99014454664915,72.30392156862744,1610612742,3,2,2021-11-11T01:11:48Z,120000,112.0,230.0,1,right,MISS D. Powell 25' 3PT,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,Missed,,25.52,,,,,,,,,,,,,
13,PT11M13.00S,2021-11-11T01:11:43.8Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,3,2,2021-11-11T01:11:48Z,130000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M05.00S,2021-11-11T01:11:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629750,4.812746386333772,97.79411764705883,1610612741,6,2,2021-11-11T01:11:57Z,140000,-239.0,-7.0,1,left,J. Green 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629750, 202696]",1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,Made,3.0,23.91,,,,,N. Vucevic,202696.0,1.0,,,,,,
16,PT10M55.00S,2021-11-11T01:12:07.8Z,1,REGULAR,violation,kicked ball,[],202696,,,1610612742,6,2,2021-11-11T01:13:00Z,160000,,,0,,N. Vucevic kicked ball VIOLATION,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,1193.0,,,,,,,,,,,,,,,,,,,,
