actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-12T01:12:16.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T01:12:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-12T01:12:21.0Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2022-02-12T01:12:21Z,40000,,,0,,Jump Ball N. Vucevic vs. K. Towns: Tip to D. DeRozan,"[201942, 202696, 1626157]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-02-12T01:12:43.2Z,1,REGULAR,2pt,Jump Shot,[],202696,7.835085413929041,76.22549019607843,1610612741,2,0,2022-02-12T01:13:30Z,70000,-131.0,21.0,1,left,N. Vucevic 13' turnaround Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,13.28,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-02-12T01:12:56.8Z,1,REGULAR,foul,personal,[],1630245,,,1610612750,2,0,2022-02-12T01:13:04Z,90000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1626156]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,1155.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,
11,PT11M15.00S,2022-02-12T01:13:14.4Z,1,REGULAR,3pt,Jump Shot,[],201976,73.27529566360053,14.950980392156863,1610612750,2,3,2022-02-12T01:13:19Z,110000,-175.0,199.0,1,right,P. Beverley 26' 3PT  (3 PTS) (K. Towns 1 AST),"[201976, 1626157]",1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,26.49,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-02-12T01:13:27.0Z,1,REGULAR,turnover,traveling,[],1629750,,,1610612741,2,3,2022-02-12T01:13:33Z,130000,,,0,,J. Green traveling TURNOVER (1 TO),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,201640.0,,,,,1.0,,,,,,,,,
14,PT10M47.00S,2022-02-12T01:13:56.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,63.9454664914586,45.588235294117645,1610612750,2,3,2022-02-12T01:14:02Z,140000,-22.0,286.0,1,right,MISS D. Russell 28' 3PT,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,28.73,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-02-12T01:14:01.0Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,2,3,2022-02-12T01:14:02Z,150000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT10M36.00S,2022-02-12T01:14:07.3Z,1,REGULAR,3pt,Jump Shot,[],203897,33.590670170827856,47.30392156862745,1610612741,2,3,2022-02-12T01:14:15Z,160000,13.0,263.0,1,left,MISS Z. LaVine 26' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,26.36,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2022-02-12T01:14:09.3Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,2,3,2022-02-12T01:14:21Z,170000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
