actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-13T01:12:20.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T01:12:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-13T01:12:26.4Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612760,0,0,2022-02-13T01:12:26Z,40000,,,0,,Jump Ball I. Roby vs. N. Vucevic: Tip to J. Giddey,"[1630581, 1629676, 202696]",1610612760.0,OKC,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Roby,1629676.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-13T01:12:32.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629676,92.85479632063075,49.01960784313725,1610612760,0,2,2022-02-13T01:12:36Z,70000,-5.0,15.0,1,right,I. Roby alley-oop DUNK (2 PTS) (J. Giddey 1 AST),"[1629676, 1630581]",1610612760.0,OKC,alley-oop,,,Roby,I. Roby,,,,,1.55,Made,2.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-02-13T01:12:56.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,12.434296977660972,49.01960784313725,1610612741,0,2,2022-02-13T01:13:00Z,90000,5.0,64.0,1,left,MISS N. Vucevic 6' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,6.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-02-13T01:12:57.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,2,2022-02-13T01:13:00Z,100000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M17.00S,2022-02-13T01:13:02.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629676,66.5735873850197,52.94117647058824,1610612760,0,2,2022-02-13T01:13:10Z,110000,15.0,262.0,1,right,MISS I. Roby 26' 3PT,[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,26.21,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2022-02-13T01:13:06.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,2,2022-02-13T01:13:10Z,120000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M02.00S,2022-02-13T01:13:17.3Z,1,REGULAR,3pt,Jump Shot,[],1628972,20.97568988173456,12.009803921568627,1610612741,0,2,2022-02-13T01:13:23Z,130000,190.0,145.0,1,left,MISS T. Brown Jr. 3PT,[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2022-02-13T01:13:20.3Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,0,2,2022-02-13T01:13:23Z,140000,,,0,,D. Bazley REBOUND (Off:0 Def:1),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M53.00S,2022-02-13T01:13:26.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630544,82.07950065703022,93.38235294117648,1610612760,0,2,2022-02-13T01:14:36Z,150000,217.0,116.0,1,right,MISS T. Mann 24' pullup 3PT,[1630544],1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M49.00S,2022-02-13T01:13:30.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,2,2022-02-13T01:13:34Z,160000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M43.00S,2022-02-13T01:13:38.0Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,0,2,2022-02-13T01:13:47Z,170000,,,0,,N. Vucevic lost ball out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,lost ball,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,2003.0,1.0,,,,,,,,,
18,PT10M22.00S,2022-02-13T01:14:02.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630581,93.51182654402102,47.794117647058826,1610612760,0,4,2022-02-13T01:15:30Z,180000,-11.0,8.0,1,right,J. Giddey cutting Layup (2 PTS) (I. Roby 1 AST),"[1630581, 1629676]",1610612760.0,OKC,cutting,,,Giddey,J. Giddey,,,,,1.39,Made,2.0,I. Roby,1629676.0,1.0,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-02-13T01:14:12.0Z,1,REGULAR,2pt,Jump Shot,[],201942,22.815374507227332,54.166666666666664,1610612741,0,4,2022-02-13T01:14:16Z,200000,-21.0,162.0,1,left,MISS D. DeRozan 16' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.33,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2022-02-13T01:14:14.0Z,1,REGULAR,rebound,defensive,[],1629676,,,1610612760,0,4,2022-02-13T01:14:16Z,210000,,,0,,I. Roby REBOUND (Off:0 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M00.00S,2022-02-13T01:14:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,67.49342969776609,69.36274509803921,1610612760,0,7,2022-02-13T01:16:07Z,220000,97.0,253.0,1,right,L. Dort 27' 3PT pullup (3 PTS) (D. Bazley 1 AST),"[1629652, 1629647]",1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,27.1,Made,3.0,D. Bazley,1629647.0,1.0,,,,,,,,,,,,,,,
24,PT09M39.00S,2022-02-13T01:14:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,5.338370565045992,52.69607843137255,1610612741,2,7,2022-02-13T01:14:48Z,240000,-13.0,-2.0,1,left,A. Dosunmu driving Layup (2 PTS),[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,1.37,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M27.00S,2022-02-13T01:14:58.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630581,87.07293035479631,51.9607843137255,1610612760,2,7,2022-02-13T01:15:04Z,250000,10.0,69.0,1,right,MISS J. Giddey 6' turnaround Hook,[1630581],1610612760.0,OKC,turnaround,,,Giddey,J. Giddey,,,,,6.97,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M25.00S,2022-02-13T01:15:00.3Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,7,2022-02-13T01:15:04Z,260000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,
27,PT09M16.00S,2022-02-13T01:15:09.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,13.091327201051248,45.09803921568628,1610612741,2,7,2022-02-13T01:15:13Z,270000,25.0,71.0,1,left,MISS C. White 7' driving floating Shot,[1629632],1610612741.0,CHI,driving floating,,,White,C. White,,,,,7.47,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M14.00S,2022-02-13T01:15:11.2Z,1,REGULAR,rebound,defensive,[],1629647,,,1610612760,2,7,2022-02-13T01:15:13Z,280000,,,0,,D. Bazley REBOUND (Off:0 Def:2),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,
29,PT08M57.00S,2022-02-13T01:15:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630544,88.91261498028909,48.77450980392157,1610612760,2,7,2022-02-13T01:15:31Z,290000,-6.0,52.0,1,right,MISS T. Mann driving floating Shot,[1630544],1610612760.0,OKC,driving floating,,,Mann,T. Mann,,,,,5.21,Missed,,,,,,,,,,,,,,,,,,,
30,PT08M54.00S,2022-02-13T01:15:30.1Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612760,2,7,2022-02-13T01:15:30Z,300000,,,0,,I. Roby REBOUND (Off:1 Def:1),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,,
31,PT08M54.00S,2022-02-13T01:15:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629676,94.40999984741211,50.0,1610612760,2,9,2022-02-13T01:15:30Z,310000,0.0,0.0,1,right,I. Roby tip Layup (4 PTS),[1629676],1610612760.0,OKC,tip,,,Roby,I. Roby,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
32,PT08M39.00S,2022-02-13T01:15:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612741,2,9,2022-02-13T01:15:54Z,320000,,,0,,L. Dort shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629652, 201942]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,,,,,,,,,,,2003.0,,1.0,0.0,DeRozan,201942.0,,,,,
34,PT08M39.00S,2022-02-13T01:16:10.3Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,3,9,2022-02-13T01:16:10Z,340000,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
35,PT08M39.00S,2022-02-13T01:16:27.9Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,4,9,2022-02-13T01:16:27Z,350000,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
36,PT08M28.00S,2022-02-13T01:16:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,86.15308804204993,51.225490196078425,1610612760,4,11,2022-02-13T01:16:49Z,360000,6.0,78.0,1,right,L. Dort 7' driving floating Jump Shot (5 PTS) (D. Bazley 2 AST),"[1629652, 1629647]",1610612760.0,OKC,driving floating,,,Dort,L. Dort,,,,,7.79,Made,5.0,D. Bazley,1629647.0,2.0,,,,,,,,,,,,,,,
38,PT08M14.00S,2022-02-13T01:16:54.2Z,1,REGULAR,2pt,Jump Shot,[],201942,19.267411300919843,73.77450980392157,1610612741,6,11,2022-02-13T01:16:58Z,380000,-119.0,129.0,1,left,D. DeRozan 17' pullup Jump Shot (4 PTS) (A. Dosunmu 1 AST),"[201942, 1630245]",1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,17.51,Made,4.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,,
40,PT08M01.00S,2022-02-13T01:17:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,87.46714848883047,50.0,1610612760,6,11,2022-02-13T01:21:40Z,400000,0.0,65.0,1,right,MISS D. Bazley 6' driving Layup,[1629647],1610612760.0,OKC,driving,,,Bazley,D. Bazley,,,,,6.53,Missed,,,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2022-02-13T01:17:08.6Z,1,REGULAR,rebound,defensive,[],1628972,,,1610612741,6,11,2022-02-13T01:17:08Z,410000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,
42,PT07M49.00S,2022-02-13T01:17:18.5Z,1,REGULAR,turnover,lost ball,[],201942,,,1610612741,6,11,2022-02-13T01:17:24Z,420000,,,0,,D. DeRozan lost ball TURNOVER (1 TO),"[201942, 1629676]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,1.0,,,,,Roby,1629676.0,,,
43,PT07M49.00S,2022-02-13T01:17:18.5Z,1,REGULAR,steal,,[],1629676,,,1610612760,6,11,2022-02-13T01:18:17Z,430000,,,0,,I. Roby STEAL (1 STL),[1629676],1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M44.00S,2022-02-13T01:17:23.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629647,92.85479632063075,49.01960784313725,1610612760,6,11,2022-02-13T01:17:28Z,440000,-5.0,15.0,1,right,MISS D. Bazley running Layup,[1629647],1610612760.0,OKC,running,,,Bazley,D. Bazley,,,,,1.55,Missed,,,,,,,,,,,,,,,,,,,
