actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-25T01:12:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-25T01:12:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-25T01:12:22.0Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-02-25T01:12:22Z,40000,,,0,,Jump Ball N. Vucevic vs. C. Capela: Tip to J. Green,"[1629750, 202696, 203991]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-25T01:12:37.4Z,1,REGULAR,2pt,Jump Shot,[],203897,29.38567674113009,49.01960784313725,1610612741,0,0,2022-02-25T01:12:43Z,70000,5.0,224.0,1,left,MISS Z. LaVine 22' Jump Shot,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,22.38,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-02-25T01:12:41.4Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-02-25T01:12:43Z,80000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-02-25T01:12:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,86.81011826544021,42.64705882352941,1610612737,0,0,2022-02-25T01:13:01Z,90000,-37.0,71.0,1,right,MISS D. Hunter 8' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,8.04,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-02-25T01:12:57.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-02-25T01:13:01Z,100000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2022-02-25T01:13:05.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.732588699080158,47.794117647058826,1610612741,2,0,2022-02-25T01:13:09Z,110000,11.0,1.0,1,left,D. DeRozan driving Layup (2 PTS),[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,1.11,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M06.00S,2022-02-25T01:13:12.5Z,1,REGULAR,turnover,bad pass,[],201568,,,1610612737,2,0,2022-02-25T01:13:17Z,120000,,,0,,D. Gallinari bad pass TURNOVER (1 TO),"[201568, 202696]",1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,1.0,Vucevic,202696.0,,,,,,,,,,,
13,PT11M06.00S,2022-02-25T01:13:12.5Z,1,REGULAR,steal,,[],202696,,,1610612741,2,0,2022-02-25T01:13:14Z,130000,,,0,,N. Vucevic STEAL (1 STL),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-02-25T01:13:16.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630245,5.601182654402102,49.50980392156863,1610612741,4,0,2022-02-25T01:14:22Z,140000,2.0,0.0,1,left,A. Dosunmu running DUNK (2 PTS) (Z. LaVine 1 AST),"[1630245, 203897]",1610612741.0,CHI,running,,,Dosunmu,A. Dosunmu,,,,,0.25,Made,,,,,2.0,,,,Z. LaVine,203897.0,1.0,,,,,,,,
16,PT10M41.00S,2022-02-25T01:13:36.3Z,1,REGULAR,2pt,Jump Shot,[],201568,75.50919842312747,34.80392156862745,1610612737,4,0,2022-02-25T01:13:43Z,160000,-76.0,178.0,1,right,MISS D. Gallinari 19' pullup Shot,[201568],1610612737.0,ATL,pullup,,,Gallinari,D. Gallinari,,,,,19.33,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2022-02-25T01:13:38.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,4,0,2022-02-25T01:13:43Z,170000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
18,PT10M39.00S,2022-02-25T01:13:43.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,4,0,2022-02-25T01:13:43Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M31.00S,2022-02-25T01:14:02.8Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,4,0,2022-02-25T01:14:09Z,190000,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,,,,,,,,1.0,,,,,,2004.0,,,,,,,
20,PT10M16.00S,2022-02-25T01:14:26.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201942,6.521024967148489,34.068627450980394,1610612741,6,0,2022-02-25T01:14:32Z,200000,80.0,9.0,1,left,D. DeRozan 8' driving bank Jump Shot (4 PTS),[201942],1610612741.0,CHI,driving bank,,,DeRozan,D. DeRozan,,,,,8.02,Made,,,,,4.0,,,,,,,,,,,,,,
21,PT10M03.00S,2022-02-25T01:14:39.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,64.20827858081472,42.64705882352941,1610612737,6,0,2022-02-25T01:14:45Z,210000,-37.0,284.0,1,right,MISS T. Young 28' 3PT,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,28.63,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2022-02-25T01:14:39.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,6,0,2022-02-25T01:15:33Z,220000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT09M54.00S,2022-02-25T01:14:49.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201942,25.969119579500656,48.03921568627451,1610612741,6,0,2022-02-25T01:16:28Z,230000,10.0,192.0,1,left,MISS D. DeRozan 19' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,19.19,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M51.00S,2022-02-25T01:14:52.4Z,1,REGULAR,rebound,offensive,[],201942,,,1610612741,6,0,2022-02-25T01:14:56Z,240000,,,0,,D. DeRozan REBOUND (Off:1 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
25,PT09M50.00S,2022-02-25T01:14:54.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201942,16.68856767411301,47.67156862745098,1610612741,8,0,2022-02-25T01:15:04Z,250000,12.0,104.0,1,left,D. DeRozan 10' bank Jump Shot (6 PTS),[201942],1610612741.0,CHI,bank,,,DeRozan,D. DeRozan,,,,,10.5,Made,,,,,6.0,,,,,,,,,,,,,,
26,PT09M31.00S,2022-02-25T01:15:11.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,85.3646517739816,4.6568627450980395,1610612737,8,0,2022-02-25T01:15:27Z,260000,-227.0,85.0,1,right,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,24.21,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M27.00S,2022-02-25T01:15:15.4Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,8,0,2022-02-25T01:15:27Z,270000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M17.00S,2022-02-25T01:15:26.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.258212877792378,47.794117647058826,1610612741,10,0,2022-02-25T01:20:55Z,280000,11.0,6.0,1,left,Z. LaVine driving finger roll Layup (2 PTS),[203897],1610612741.0,CHI,driving finger roll,,,LaVine,Z. LaVine,,,,,1.27,Made,,,,,2.0,,,,,,,,,,,,,,
29,PT09M17.00S,2022-02-25T01:15:31.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,10,0,2022-02-25T01:15:31Z,290000,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT08M59.00S,2022-02-25T01:18:44.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,93.51182654402102,50.73529411764706,1610612737,10,2,2022-02-25T01:19:41Z,300000,4.0,8.0,1,right,C. Capela alley-oop DUNK (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.93,Made,,,,,2.0,,,,T. Young,1629027.0,1.0,,,,,,,,
32,PT08M49.00S,2022-02-25T01:18:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612741,10,2,2022-02-25T01:19:09Z,320000,,,0,,D. Hunter shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1629631, 201942]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,DeRozan,201942.0,,,
34,PT08M49.00S,2022-02-25T01:19:19.7Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,11,2,2022-02-25T01:19:19Z,340000,,,0,,D. DeRozan Free Throw 1 of 2 (7 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Made,,,,,7.0,,,,,,,,,,,,,,
35,PT08M49.00S,2022-02-25T01:19:34.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,11,2,2022-02-25T01:19:34Z,350000,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,Missed,,,,,,,,,,,,,,,,,,,
36,PT08M46.00S,2022-02-25T01:19:35.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,2,2022-02-25T01:19:35Z,360000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
37,PT08M35.00S,2022-02-25T01:19:47.8Z,1,REGULAR,2pt,Jump Shot,[],201568,82.7365308804205,68.87254901960785,1610612737,11,2,2022-02-25T01:22:10Z,370000,94.0,110.0,1,right,MISS D. Gallinari 14' fadeaway Shot,[201568],1610612737.0,ATL,fadeaway,,,Gallinari,D. Gallinari,,,,,14.48,Missed,,,,,,,,,,,,,,,,,,,
38,PT08M32.00S,2022-02-25T01:19:49.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,11,2,2022-02-25T01:19:49Z,380000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
39,PT08M20.00S,2022-02-25T01:20:02.2Z,1,REGULAR,3pt,Jump Shot,[],1629750,33.196452036793694,38.72549019607843,1610612741,11,2,2022-02-25T01:20:12Z,390000,56.0,260.0,1,left,MISS J. Green 26' 3PT,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,26.56,Missed,,,,,,,,,,,,,,,,,,,
40,PT08M17.00S,2022-02-25T01:20:05.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,11,2,2022-02-25T01:20:12Z,400000,,,0,,C. Capela REBOUND (Off:0 Def:3),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
41,PT08M02.00S,2022-02-25T01:20:20.4Z,1,REGULAR,2pt,Jump Shot,[],201568,78.79434954007884,16.911764705882355,1610612737,11,4,2022-02-25T03:30:56Z,410000,-165.0,147.0,1,right,D. Gallinari 22' Jump Shot (2 PTS),[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,22.12,Made,,,,,2.0,,,,,,,,,,,,,,
42,PT07M52.00S,2022-02-25T01:20:30.2Z,1,REGULAR,3pt,Jump Shot,[],202696,27.020367936925098,18.872549019607842,1610612741,11,4,2022-02-25T01:20:39Z,420000,156.0,201.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.46,Missed,,,,,,,,,,,,,,,,,,,
43,PT07M49.00S,2022-02-25T01:20:33.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,11,4,2022-02-25T01:20:39Z,430000,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
44,PT07M41.00S,2022-02-25T01:20:40.6Z,1,REGULAR,2pt,Jump Shot,[],1629631,78.79434954007884,51.225490196078425,1610612737,11,4,2022-02-25T01:24:07Z,440000,6.0,147.0,1,right,MISS D. Hunter 14' driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,14.69,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M39.00S,2022-02-25T01:20:42.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,11,4,2022-02-25T01:21:07Z,450000,,,0,,D. DeRozan REBOUND (Off:1 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
46,PT07M33.00S,2022-02-25T01:20:51.5Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,11,4,2022-02-25T01:21:12Z,460000,,,0,,N. Vucevic bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,bad pass,,,Vucevic,N. Vucevic,,,,,,,,,,,,1.0,,,,,,1830.0,,,,,,,
