actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-06T20:42:11.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T20:42:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-06T20:42:14.9Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2022-02-06T20:42:15Z,40000,,,0,,Jump Ball J. Embiid vs. N. Vucevic: Tip to T. Harris,"[202699, 203954, 202696]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-06T20:42:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201980,93.24901445466492,50.0,1610612755,0,2,2022-02-06T20:42:43Z,70000,0.0,11.0,1,right,D. Green Layup (2 PTS) (S. Curry 1 AST),"[201980, 203552]",1610612755.0,PHI,,,,Green,D. Green,,,,,1.1,Made,2.0,S. Curry,203552.0,1.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-06T20:42:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,6.258212877792378,45.34313725490196,1610612741,0,2,2022-02-06T20:42:58Z,90000,23.0,6.0,1,left,MISS J. Green Layup - blocked,"[1629750, 201980]",1610612741.0,CHI,,,,Green,J. Green,,,,,2.41,Missed,,,,,Green,201980.0,,,,,,,,,,,,,
17,PT11M17.00S,2022-02-06T20:42:53.6Z,1,REGULAR,block,,[],201980,,,1610612741,0,2,2022-02-06T20:43:59Z,95000,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-02-06T20:42:55.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2022-02-06T20:42:58Z,100000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M11.00S,2022-02-06T20:42:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203954,93.38042049934296,51.225490196078425,1610612755,0,4,2022-02-06T20:43:07Z,110000,6.0,10.0,1,right,J. Embiid running Layup (2 PTS),[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,1.15,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M47.00S,2022-02-06T20:43:23.1Z,1,REGULAR,3pt,Jump Shot,[],1628972,27.414586070959263,20.34313725490196,1610612741,3,4,2022-02-06T20:43:29Z,120000,148.0,205.0,1,left,T. Brown Jr. 25' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1628972, 202696]",1610612741.0,CHI,,,,Brown Jr.,T. Brown Jr.,,,,,25.32,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
14,PT10M36.00S,2022-02-06T20:43:37.1Z,1,REGULAR,2pt,Jump Shot,[],203954,77.4802890932983,48.77450980392157,1610612755,3,6,2022-02-06T20:43:51Z,140000,-6.0,159.0,1,right,J. Embiid 15' fadeaway Jump Shot (4 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,15.93,Made,4.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,,
15,PT10M36.00S,2022-02-06T20:43:39.4Z,1,REGULAR,foul,personal,['1freethrow'],202696,,,1610612755,3,6,2022-02-06T20:44:02Z,150000,,,0,,N. Vucevic shooting personal FOUL (1 PF) (Embiid 1 FT),"[202696, 203954]",1610612741.0,CHI,shooting,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Embiid,203954.0,,,,
