actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-30T01:10:35.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T01:10:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-30T01:10:38.0Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-30T01:10:38Z,40000,,,0,,Jump Ball N. Richards vs. N. Vucevic: Tip to L. Ball,"[1630163, 1630208, 202696]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Richards,1630208.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-30T01:10:49.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.77463863337714,48.77450980392157,1610612766,0,0,2021-11-30T01:10:55Z,70000,-6.0,6.0,1,right,MISS L. Ball driving finger roll Layup,[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,0.86,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-30T01:10:51.2Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,0,0,2021-11-30T01:10:51Z,80000,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M34.00S,2021-11-30T01:11:00.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628970,74.85216819973719,83.33333333333334,1610612766,0,0,2021-11-30T01:11:05Z,90000,167.0,184.0,1,right,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.82,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-11-30T01:11:04.2Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,0,0,2021-11-30T01:11:05Z,100000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M24.00S,2021-11-30T01:11:10.0Z,1,REGULAR,2pt,Jump Shot,[],202696,16.113666228646515,72.79411764705883,1610612741,2,0,2021-11-30T01:13:48Z,110000,-114.0,99.0,1,left,N. Vucevic 15' Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,15.1,Made,,,,,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,
13,PT11M08.00S,2021-11-30T01:11:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,80.3712220762155,60.5392156862745,1610612766,2,2,2021-11-30T01:11:32Z,130000,53.0,132.0,1,right,G. Hayward 14' pullup Jump Shot (2 PTS),[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,14.21,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M43.00S,2021-11-30T01:11:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628366,2.8416557161629434,5.147058823529411,1610612741,5,2,2021-11-30T01:11:56Z,140000,224.0,-26.0,1,left,L. Ball 3PT  (3 PTS) (N. Vucevic 1 AST),"[1628366, 202696]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,22.58,Made,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
16,PT10M25.00S,2021-11-30T01:12:08.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,81.94809461235218,56.127450980392155,1610612766,5,2,2021-11-30T01:12:13Z,160000,31.0,117.0,1,right,MISS G. Hayward 12' turnaround fadeaway Shot,[202330],1610612766.0,CHA,turnaround fadeaway,,,Hayward,G. Hayward,,,,,12.11,Missed,,,,,,,,,,,,,,,,,,,
