actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-22T00:10:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-22T00:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-22T00:10:51.2Z,1,REGULAR,jumpball,recovered,[],203920,,,1610612761,0,0,2022-03-22T00:10:51Z,40000,,,0,,Jump Ball P. Achiuwa vs. N. Vucevic: Tip to K. Birch,"[203920, 1630173, 202696]",1610612761.0,TOR,startperiod,K. Birch,203920.0,Birch,K. Birch,Achiuwa,1630173.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-03-22T00:11:13.6Z,1,REGULAR,2pt,Jump Shot,[],1627832,78.66294349540078,27.205882352941174,1610612761,0,2,2022-03-22T00:12:34Z,70000,-114.0,148.0,1,right,F. VanVleet 18' pullup Jump Shot (2 PTS) (K. Birch 1 AST),"[1627832, 203920]",1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,18.69,Made,2.0,K. Birch,203920.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-22T00:11:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,14.14257555847569,50.0,1610612741,0,2,2022-03-22T00:11:48Z,90000,0.0,80.0,1,left,MISS A. Caruso 8' Jump Shot,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,8.04,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-22T00:11:27.8Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,0,2,2022-03-22T00:11:27Z,100000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M11.00S,2022-03-22T00:11:36.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,86.02168199737189,52.69607843137255,1610612761,0,2,2022-03-22T00:11:52Z,110000,13.0,79.0,1,right,MISS K. Birch 8' Jump Shot,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,8.0,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2022-03-22T00:11:36.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,2,2022-03-22T00:11:52Z,120000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
13,PT11M11.00S,2022-03-22T00:11:43.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,2,2022-03-22T00:11:43Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-03-22T00:11:56.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627832,95.74572930354796,4.166666666666666,1610612761,0,5,2022-03-22T00:12:02Z,140000,-229.0,-13.0,1,right,F. VanVleet 3PT  (5 PTS) (K. Birch 2 AST),"[1627832, 203920]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,22.95,Made,5.0,K. Birch,203920.0,2.0,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-03-22T00:12:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,14.931011826544022,57.107843137254896,1610612741,2,5,2022-03-22T00:12:25Z,160000,-36.0,88.0,1,left,D. DeRozan 9' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,9.48,Made,2.0,,,,,,,,,,,,,,,,,,
