actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-02T01:12:22.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-02T01:12:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-02T01:12:26.2Z,1,REGULAR,jumpball,recovered,[],1628976,,,1610612753,0,0,2022-02-02T01:12:26Z,40000,,,0,,Jump Ball M. Bamba vs. N. Vucevic: Tip to W. Carter Jr.,"[1628976, 1628964, 202696]",1610612753.0,ORL,startperiod,W. Carter Jr.,1628976.0,Carter Jr.,W. Carter Jr.,Bamba,1628964.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-02T01:12:40.1Z,1,REGULAR,turnover,traveling,[],1628964,,,1610612753,0,0,2022-02-02T01:12:45Z,70000,,,0,,M. Bamba traveling TURNOVER (1 TO),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,1148.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2022-02-02T01:13:21.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202696,88.5676741130092,36.54258578431372,1610612741,0,0,2022-02-02T01:13:28Z,80000,-67.0,55.0,1,right,MISS N. Vucevic 8' driving floating Shot,[202696],1610612741.0,CHI,driving floating,,,Vucevic,N. Vucevic,,,,,,,8.69,Missed,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-02-02T01:13:26.1Z,1,REGULAR,rebound,offensive,[],1629750,,,1610612741,0,0,2022-02-02T01:13:28Z,90000,,,0,,J. Green REBOUND (Off:1 Def:0),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M18.00S,2022-02-02T01:13:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629750,94.40999984741211,50.0,1610612741,0,0,2022-02-02T01:13:25Z,100000,0.0,0.0,1,right,MISS J. Green tip Layup,[1629750],1610612741.0,CHI,tip,,,Green,J. Green,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-02-02T01:13:26.5Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,0,2022-02-02T01:13:26Z,110000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M14.00S,2022-02-02T01:13:29.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628976,26.62614980289093,18.137254901960784,1610612753,0,3,2022-02-02T01:14:08Z,120000,159.0,198.0,1,left,W. Carter Jr. 25' 3PT running (3 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,,,25.4,Made,,,,,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,
14,PT10M59.00S,2022-02-02T01:13:44.9Z,1,REGULAR,3pt,Jump Shot,[],201942,92.72339027595268,4.901960784313726,1610612741,0,3,2022-02-02T01:13:50Z,140000,-225.0,16.0,1,right,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,22.61,Missed,,,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-02-02T01:13:48.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,3,2022-02-02T01:13:50Z,150000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
