actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-12T01:10:14.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-12T01:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-12T01:10:17.5Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2022-01-12T01:10:17Z,40000,,,0,,Jump Ball N. Vucevic vs. I. Stewart: Tip to L. Ball,"[1628366, 202696, 1630191]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-01-12T01:10:27.5Z,1,REGULAR,violation,kicked ball,[],1628977,,,1610612741,0,0,2022-01-12T01:10:42Z,70000,,,0,,H. Diallo kicked ball VIOLATION,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,101283.0,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-12T01:10:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.325229960578188,51.470588235294116,1610612741,2,0,2022-01-12T01:11:04Z,80000,-7.0,92.0,1,left,N. Vucevic 9' turnaround Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,9.19,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
10,PT11M17.00S,2022-01-12T01:11:14.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,85.49605781865965,96.56862745098039,1610612765,2,0,2022-01-12T01:14:55Z,100000,233.0,84.0,1,right,MISS S. Bey 24' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2022-01-12T01:11:16.6Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,2,0,2022-01-12T01:14:55Z,110000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M12.00S,2022-01-12T01:11:19.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,73.53810775295663,17.15686274509804,1610612765,2,3,2022-01-12T01:11:39Z,120000,-164.0,196.0,1,right,C. Cunningham 25' 3PT  (3 PTS) (K. Hayes 1 AST),"[1630595, 1630165]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,25.58,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,
14,PT11M01.00S,2022-01-12T01:11:30.1Z,1,REGULAR,3pt,Jump Shot,[],203897,28.991458607095925,30.392156862745097,1610612741,2,3,2022-01-12T01:11:47Z,140000,98.0,220.0,1,left,MISS Z. LaVine 24' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,24.08,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2022-01-12T01:11:30.1Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,3,2022-01-12T01:11:47Z,150000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M51.00S,2022-01-12T01:11:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,94.69448094612353,50.98039215686274,1610612765,2,5,2022-01-12T01:11:50Z,160000,5.0,-3.0,1,right,I. Stewart Layup (2 PTS) (S. Bey 1 AST),"[1630191, 1630180]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,0.55,Made,2.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,,
18,PT10M34.00S,2022-01-12T01:11:57.3Z,1,REGULAR,3pt,Jump Shot,[],1628366,27.808804204993432,78.43137254901961,1610612741,5,5,2022-01-12T01:12:05Z,180000,-142.0,209.0,1,left,L. Ball 25' 3PT  (3 PTS) (Z. LaVine 2 AST),"[1628366, 203897]",1610612741.0,CHI,,,,Ball,L. Ball,,,,,,25.27,Made,3.0,Z. LaVine,203897.0,2.0,,,,,,,,,,,,,,
20,PT10M16.00S,2022-01-12T01:12:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630191,92.85479632063075,50.245098039215684,1610612765,5,7,2022-01-12T01:12:27Z,200000,1.0,15.0,1,right,I. Stewart floating Jump Shot (4 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,floating,,,Stewart,I. Stewart,,,,,,1.47,Made,4.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
22,PT10M03.00S,2022-01-12T01:12:28.3Z,1,REGULAR,2pt,Jump Shot,[],202696,21.632720105124836,47.549019607843135,1610612741,5,7,2022-01-12T01:12:35Z,220000,12.0,151.0,1,left,MISS N. Vucevic 15' Jump Shot,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,15.13,Missed,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2022-01-12T01:12:31.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,5,7,2022-01-12T01:12:35Z,230000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M46.00S,2022-01-12T01:12:49.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,5,7,2022-01-12T01:12:49Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT09M39.00S,2022-01-12T01:13:07.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,84.57621550591328,57.107843137254896,1610612765,5,7,2022-01-12T01:13:17Z,250000,36.0,92.0,1,right,MISS H. Diallo 9' step back Shot,[1628977],1610612765.0,DET,step back,,,Diallo,H. Diallo,,,,,,9.91,Missed,,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2022-01-12T01:13:12.3Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,5,7,2022-01-12T01:13:12Z,260000,,,0,,I. Stewart REBOUND (Off:2 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,25.0,2.0,0.0,2.0,,,,,,,,,,
