actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-21T01:10:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-21T01:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-21T01:10:11.5Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2021-12-21T01:10:11Z,40000,,,0,,Jump Ball N. Vucevic vs. C. Wood: Tip to J. Green,"[1629750, 202696, 1626174]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2021-12-21T01:10:13.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629750,6.1268068331143235,50.49019607843137,1610612741,2,0,2021-12-21T01:10:19Z,70000,-2.0,5.0,1,left,J. Green driving DUNK (2 PTS),[1629750],1610612741.0,CHI,driving,,,Green,J. Green,,,,,0.57,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2021-12-21T01:10:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,92.46057818659659,47.30392156862745,1610612745,2,0,2021-12-21T01:10:41Z,80000,-13.0,18.0,1,right,MISS J. Tate driving Layup,[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,2.28,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-12-21T01:10:30.7Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,2,0,2021-12-21T01:10:41Z,90000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M27.00S,2021-12-21T01:10:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,5.601182654402102,53.18627450980392,1610612741,4,0,2021-12-21T01:10:53Z,100000,-16.0,0.0,1,left,D. DeRozan Layup (2 PTS) (A. Caruso 1 AST),"[201942, 1627936]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,1.59,Made,2.0,,,,,A. Caruso,1627936.0,1.0,,,,,,,,,,,
12,PT11M08.00S,2021-12-21T01:10:59.9Z,1,REGULAR,turnover,bad pass,[],201569,,,1610612745,4,0,2021-12-21T01:11:10Z,120000,,,0,,E. Gordon bad pass TURNOVER (1 TO),"[201569, 1628366]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,1.0,Ball,1628366.0,,,,,,,,
13,PT11M08.00S,2021-12-21T01:10:59.9Z,1,REGULAR,steal,,[],1628366,,,1610612741,4,0,2021-12-21T01:11:01Z,130000,,,0,,L. Ball STEAL (1 STL),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2021-12-21T01:11:03.7Z,1,REGULAR,foul,personal,[],1630256,,,1610612741,4,0,2021-12-21T01:12:28Z,140000,,,0,,J. Tate take personal FOUL (1 PF),"[1630256, 1628366]",1610612745.0,HOU,take,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Ball,1628366.0,,,
16,PT10M54.00S,2021-12-21T01:11:29.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,5.387647831800263,45.18229166666667,1610612741,6,0,2021-12-21T01:11:36Z,160000,24.0,-2.0,1,left,N. Vucevic driving Layup (2 PTS),[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,2.42,Made,2.0,,,,,,,,,,,,,,,,,,
18,PT10M38.00S,2021-12-21T01:11:54.9Z,1,REGULAR,turnover,out-of-bounds,[],1626174,,,1610612745,6,0,2021-12-21T01:12:02Z,180000,,,0,,C. Wood bad pass out-of-bounds TURNOVER (1 TO),[1626174],1610612745.0,HOU,bad pass,,,Wood,C. Wood,,,,,,,,,,,,,,,1.0,,,1627962.0,,,,,,,
