actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-08T01:10:36.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T01:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-08T01:10:39.7Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2022-01-08T01:10:39Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Gafford: Tip to L. Ball,"[1628366, 202696, 1629655]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-08T01:10:54.3Z,1,REGULAR,3pt,Jump Shot,[],203897,3.1044678055190538,97.54901960784314,1610612741,0,0,2022-01-08T01:11:00Z,70000,-238.0,-23.0,1,left,MISS Z. LaVine step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-08T01:10:56.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-01-08T01:11:00Z,80000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-08T01:11:15.0Z,1,REGULAR,2pt,Jump Shot,[],203484,88.25558475689881,78.18627450980392,1610612764,0,0,2022-01-08T01:11:21Z,90000,141.0,58.0,1,right,MISS K. Caldwell-Pope 15' pullup Shot,[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,15.23,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-01-08T01:11:18.0Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612741,0,0,2022-01-08T01:11:21Z,100000,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-01-08T01:11:23.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202696,32.53942181340342,50.245098039215684,1610612741,0,0,2022-01-08T01:11:29Z,110000,-1.0,253.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-01-08T01:11:27.7Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2022-01-08T01:11:29Z,120000,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M02.00S,2022-01-08T01:11:33.7Z,1,REGULAR,2pt,Jump Shot,[],1628398,94.56307490144546,84.80392156862744,1610612764,0,0,2022-01-08T01:11:55Z,130000,174.0,-1.0,1,right,MISS K. Kuzma 17' pullup Shot,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,17.4,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-01-08T01:11:35.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-01-08T01:11:41Z,140000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-01-08T01:11:40.6Z,1,REGULAR,foul,personal,['2freethrow'],203078,,,1610612741,0,0,2022-01-08T01:11:52Z,150000,,,0,,B. Beal shooting personal FOUL (1 PF) (Jones Jr. 2 FT),"[203078, 1627884]",1610612764.0,WAS,shooting,,,Beal,B. Beal,,,,,,,,,,,202058.0,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,,,
17,PT10M58.00S,2022-01-08T01:12:05.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627884,,,1610612741,1,0,2022-01-08T01:12:05Z,170000,,,0,,D. Jones Jr. Free Throw 1 of 2 (1 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
18,PT10M58.00S,2022-01-08T01:12:20.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627884,,,1610612741,2,0,2022-01-08T01:12:20Z,180000,,,0,,D. Jones Jr. Free Throw 2 of 2 (2 PTS),[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
19,PT10M46.00S,2022-01-08T01:12:37.3Z,1,REGULAR,turnover,traveling,[],1628398,,,1610612764,2,0,2022-01-08T01:12:42Z,190000,,,0,,K. Kuzma traveling TURNOVER (1 TO),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,202007.0,,,,,,1.0,,,,,,,,
