actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2021-10-31T00:11:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T00:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT12M00.00S,2021-10-31T00:11:25.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2021-10-31T00:11:52Z,25000,,,0,,TEAM delay-of-game VIOLATION,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-31T00:11:27.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2021-10-31T00:11:27Z,40000,,,0,,Jump Ball R. Gobert vs. N. Vucevic: Tip to R. O'Neale,"[1626220, 203497, 202696]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Gobert,203497.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-10-31T00:11:44.0Z,1,REGULAR,3pt,Jump Shot,[],204060,28.203022339027594,74.75490196078431,1610612762,0,0,2021-10-31T00:12:04Z,70000,-124.0,213.0,1,left,MISS J. Ingles 24' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,24.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-10-31T00:11:46.3Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,0,0,2021-10-31T00:11:46Z,80000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M21.00S,2021-10-31T00:12:03.1Z,1,REGULAR,2pt,Jump Shot,[],203897,76.2976346911958,65.68627450980392,1610612741,0,0,2021-10-31T00:12:13Z,90000,78.0,170.0,1,right,MISS Z. LaVine 18' fadeaway Shot,[203897],1610612741.0,CHI,fadeaway,,,LaVine,Z. LaVine,,,,,18.75,Missed,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2021-10-31T00:12:07.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2021-10-31T00:12:13Z,100000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2021-10-31T00:12:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,6.1268068331143235,52.94117647058824,1610612762,0,0,2021-10-31T00:12:23Z,110000,-15.0,5.0,1,left,MISS B. Bogdanovic driving Layup,[202711],1610612762.0,UTA,driving,,,Bogdanovic,B. Bogdanovic,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2021-10-31T00:12:21.3Z,1,REGULAR,rebound,offensive,[],203497,,,1610612762,0,0,2021-10-31T00:12:21Z,120000,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M02.00S,2021-10-31T00:12:21.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203497,5.590000152587891,50.0,1610612762,0,2,2021-10-31T00:12:21Z,130000,0.0,0.0,1,left,R. Gobert putback DUNK (2 PTS),[203497],1610612762.0,UTA,putback,,,Gobert,R. Gobert,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,
