actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-15T01:12:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-15T01:12:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-15T01:12:29.1Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-02-15T01:12:29Z,40000,,,0,,Jump Ball N. Vucevic vs. J. Poeltl: Tip to A. Dosunmu,"[1630245, 202696, 1627751]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-15T01:12:42.4Z,1,REGULAR,turnover,lost ball,[],1629750,,,1610612741,0,0,2022-02-15T01:12:46Z,70000,,,0,,J. Green lost ball TURNOVER (1 TO),"[1629750, 1627749]",1610612741.0,CHI,,,,Green,J. Green,,,,,1.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-15T01:12:42.4Z,1,REGULAR,steal,,[],1627749,,,1610612759,0,0,2022-02-15T01:20:43Z,80000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-02-15T01:12:57.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203926,91.14651773981603,51.225490196078425,1610612759,0,2,2022-02-15T01:13:02Z,90000,6.0,31.0,1,right,D. McDermott cutting finger roll Layup (2 PTS) (D. Murray 1 AST),"[203926, 1627749]",1610612759.0,SAS,cutting finger roll,,,McDermott,D. McDermott,,,,,,,,3.13,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
11,PT11M06.00S,2022-02-15T01:13:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,22.683968462549277,89.2156862745098,1610612741,3,2,2022-02-15T01:13:36Z,110000,-196.0,161.0,1,left,C. White 25' 3PT step back (3 PTS),[1629632],1610612741.0,CHI,step back,,,White,C. White,,,,,,,,25.35,Made,3.0,,,,,,,,,,,,,,
12,PT10M49.00S,2022-02-15T01:13:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,93.24901445466492,59.31372549019608,1610612759,3,2,2022-02-15T01:17:47Z,120000,47.0,11.0,1,right,MISS D. Vassell driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,,,,4.79,Missed,,,,,,,,,,,,,,,
13,PT10M47.00S,2022-02-15T01:13:39.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,2,2022-02-15T01:13:44Z,130000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT10M37.00S,2022-02-15T01:13:48.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,29.517082785808146,29.166666666666668,1610612741,6,2,2022-02-15T01:13:57Z,140000,104.0,225.0,1,left,C. White 24' 3PT  (6 PTS) (D. DeRozan 1 AST),"[1629632, 201942]",1610612741.0,CHI,,,,White,C. White,,,,,,,,24.8,Made,6.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,
16,PT10M22.00S,2022-02-15T01:14:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,92.85479632063075,49.754901960784316,1610612759,6,2,2022-02-15T01:14:06Z,160000,-1.0,15.0,1,right,MISS D. McDermott Layup,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,1.47,Missed,,,,,,,,,,,,,,,
17,PT10M21.00S,2022-02-15T01:14:03.9Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,6,2,2022-02-15T01:14:06Z,170000,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M10.00S,2022-02-15T01:14:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,5.601182654402102,51.9607843137255,1610612741,8,2,2022-02-15T01:14:19Z,180000,-10.0,0.0,1,left,C. White driving Layup (8 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,driving,,,White,C. White,,,,,,,,0.98,Made,8.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,
