actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-04-03T00:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T00:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-03T00:10:51.7Z,1,REGULAR,jumpball,recovered,[],1629622,,,1610612748,0,0,2022-04-03T00:10:51Z,40000,,,0,,Jump Ball B. Adebayo vs. N. Vucevic: Tip to M. Strus,"[1629622, 1628389, 202696]",1610612748.0,MIA,startperiod,M. Strus,1629622.0,Strus,M. Strus,Adebayo,1628389.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-03T00:11:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200782,87.91064388961892,62.71829044117647,1610612748,0,2,2022-04-03T00:11:38Z,70000,64.0,61.0,1,right,P. Tucker 8' floating Jump Shot (2 PTS) (K. Lowry 1 AST),"[200782, 200768]",1610612748.0,MIA,floating,,,Tucker,P. Tucker,,,,,8.82,Made,2.0,K. Lowry,200768.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-04-03T00:11:23.7Z,1,REGULAR,3pt,Jump Shot,[],203897,26.888961892247043,77.69607843137256,1610612741,3,2,2022-04-03T00:11:28Z,90000,-138.0,200.0,1,left,Z. LaVine 24' 3PT  (3 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,24.35,Made,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-04-03T00:11:39.9Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,3,2,2022-04-03T00:11:45Z,110000,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1627936]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,1.0,Caruso,1627936.0,,,,,,,,,,,,
12,PT11M09.00S,2022-04-03T00:11:39.9Z,1,REGULAR,steal,,[],1627936,,,1610612741,3,2,2022-04-03T00:11:42Z,120000,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-04-03T00:11:43.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630245,6.389618922470433,50.245098039215684,1610612741,5,2,2022-04-03T00:12:51Z,130000,-1.0,8.0,1,left,A. Dosunmu running finger roll Layup (2 PTS) (A. Caruso 1 AST),"[1630245, 1627936]",1610612741.0,CHI,running finger roll,,,Dosunmu,A. Dosunmu,,,,,0.77,Made,2.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-04-03T00:11:58.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,67.09921156373193,40.44117647058824,1610612748,5,2,2022-04-03T00:12:03Z,150000,-48.0,257.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,26.12,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-04-03T00:12:00.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,5,2,2022-04-03T00:12:03Z,160000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M40.00S,2022-04-03T00:12:08.1Z,1,REGULAR,3pt,Jump Shot,[],203897,32.14520367936925,50.0,1610612741,8,2,2022-04-03T00:12:15Z,170000,0.0,250.0,1,left,Z. LaVine 24' 3PT step back (6 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,24.97,Made,6.0,,,,,,,,,,,,,,,,,,
