actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-07T00:10:20.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T00:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-07T00:10:23.3Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-04-07T00:10:23Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Theis: Tip to A. Dosunmu,"[1630245, 202696, 1628464]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-04-07T00:10:39.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,87.33574244415243,44.11764705882353,1610612741,0,0,2022-04-07T00:16:15Z,70000,-29.0,67.0,1,right,MISS N. Vucevic 7' turnaround Hook,[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,7.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-04-07T00:10:41.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-04-07T00:10:43Z,80000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-04-07T00:10:58.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628464,5.469776609724048,50.98039215686274,1610612738,0,2,2022-04-07T00:11:03Z,90000,-5.0,-1.0,1,left,D. Theis cutting DUNK (2 PTS) (A. Horford 1 AST),"[1628464, 201143]",1610612738.0,BOS,cutting,,,Theis,D. Theis,,,,,0.5,Made,,,,,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,
11,PT11M07.00S,2022-04-07T00:11:13.3Z,1,REGULAR,3pt,Jump Shot,[],203897,95.6143232588699,97.79411764705883,1610612741,0,2,2022-04-07T00:11:18Z,110000,239.0,-11.0,1,right,MISS Z. LaVine step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,23.93,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2022-04-07T00:11:16.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,2,2022-04-07T00:11:18Z,120000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M56.00S,2022-04-07T00:11:24.2Z,1,REGULAR,3pt,Jump Shot,[],201143,27.677398160315374,21.323529411764707,1610612738,0,5,2022-04-07T00:11:30Z,130000,143.0,208.0,1,left,A. Horford 25' 3PT  (3 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.24,Made,,,,,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,
15,PT10M40.00S,2022-04-07T00:11:39.0Z,1,REGULAR,2pt,Jump Shot,[],201942,79.58278580814718,28.921568627450984,1610612741,2,5,2022-04-07T00:11:45Z,150000,-105.0,139.0,1,right,D. DeRozan 17' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,17.48,Made,,,,,2.0,,,,,,,,,,,,,,
16,PT10M22.00S,2022-04-07T00:11:57.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201143,11.908672798948752,49.50980392156863,1610612738,2,7,2022-04-07T00:12:04Z,160000,2.0,59.0,1,left,A. Horford Hook (5 PTS) (D. Theis 1 AST),"[201143, 1628464]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,5.95,Made,,,,,5.0,D. Theis,1628464.0,1.0,,,,,,,,,,,
