actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-23T01:10:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T01:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-23T01:10:32.1Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-11-23T01:10:32Z,40000,,,0,,Jump Ball M. Turner vs. T. Bradley: Tip to D. Sabonis,"[1627734, 1626167, 1628396]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Bradley,1628396.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2021-11-23T01:10:41.6Z,1,REGULAR,3pt,Jump Shot,[],203200,91.93495400788436,96.81372549019608,1610612754,0,3,2021-11-23T01:10:46Z,70000,234.0,23.0,1,right,J. Holiday 3PT  (3 PTS) (M. Brogdon 1 AST),"[203200, 1627763]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.53,Made,3.0,M. Brogdon,1627763.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2021-11-23T01:11:01.2Z,1,REGULAR,2pt,Jump Shot,[],201942,21.50131406044678,64.95098039215686,1610612741,2,3,2021-11-23T01:11:05Z,90000,-75.0,150.0,1,left,D. DeRozan 16' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,16.73,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M04.00S,2021-11-23T01:11:24.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,89.30683311432325,51.470588235294116,1610612754,2,3,2021-11-23T01:11:38Z,100000,7.0,48.0,1,right,MISS D. Sabonis turnaround Hook,[1627734],1610612754.0,IND,turnaround,,,Sabonis,D. Sabonis,,,,,4.86,Missed,,,,,,,,,,,,,,,,,,
11,PT11M03.00S,2021-11-23T01:11:25.4Z,1,REGULAR,rebound,defensive,[],1628366,,,1610612741,2,3,2021-11-23T01:11:38Z,110000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M54.00S,2021-11-23T01:11:34.7Z,1,REGULAR,3pt,Jump Shot,[],203897,32.933639947437584,42.8921568627451,1610612741,5,3,2021-11-23T01:12:23Z,120000,36.0,257.0,1,left,Z. LaVine 25' 3PT pullup (3 PTS) (L. Ball 1 AST),"[203897, 1628366]",1610612741.0,CHI,pullup,,,LaVine,Z. LaVine,,,,,25.95,Made,3.0,L. Ball,1628366.0,1.0,,,,,,,,,,,,,,
14,PT10M38.00S,2021-11-23T01:11:53.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,5,3,2021-11-23T01:11:53Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2021-11-23T01:12:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,88.38699080157687,50.73529411764706,1610612754,5,3,2021-11-23T01:13:47Z,150000,4.0,57.0,1,right,MISS M. Turner turnaround Shot,[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,5.68,Missed,,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2021-11-23T01:12:17.1Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612754,5,3,2021-11-23T01:12:26Z,160000,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
