actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-04T01:10:07.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T01:10:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-04T01:10:09.8Z,1,REGULAR,jumpball,recovered,[],1628366,,,1610612741,0,0,2022-01-04T01:10:09Z,40000,,,0,,Jump Ball N. Vucevic vs. M. Bamba: Tip to L. Ball,"[1628366, 202696, 1628964]",1610612741.0,CHI,startperiod,L. Ball,1628366.0,Ball,L. Ball,Vucevic,202696.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-04T01:10:30.4Z,1,REGULAR,3pt,Jump Shot,[],1628366,70.77858081471747,75.49019607843137,1610612741,0,0,2022-01-04T01:10:34Z,70000,127.0,222.0,1,right,MISS L. Ball 25' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-04T01:10:32.4Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612753,0,0,2022-01-04T01:10:34Z,80000,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-01-04T01:10:51.1Z,1,REGULAR,2pt,Jump Shot,[],204025,4.02431011826544,16.911764705882355,1610612753,0,0,2022-01-04T01:10:56Z,90000,165.0,-15.0,1,left,MISS T. Frazier 16' pullup Shot,[204025],1610612753.0,ORL,pullup,,,Frazier,T. Frazier,,,,,16.61,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-01-04T01:10:56.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2022-01-04T01:10:56Z,100000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-01-04T01:11:03.8Z,1,REGULAR,2pt,Jump Shot,[],201942,75.1149802890933,49.26470588235294,1610612741,0,0,2022-01-04T01:11:10Z,110000,-4.0,181.0,1,right,MISS D. DeRozan 18' step back Shot,[201942],1610612741.0,CHI,step back,,,DeRozan,D. DeRozan,,,,,18.14,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2022-01-04T01:11:07.8Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-01-04T01:14:47Z,120000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-01-04T01:11:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.915243101182654,47.05882352941176,1610612753,0,2,2022-01-04T01:11:24Z,130000,15.0,13.0,1,left,F. Wagner driving Layup (2 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,1.93,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT10M51.00S,2022-01-04T01:11:22.3Z,1,REGULAR,foul,personal,['1freethrow'],201942,,,1610612753,0,2,2022-01-04T01:11:28Z,140000,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Wagner 1 FT),"[201942, 1630532]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,,,,,,,,1628484.0,1.0,0.0,Wagner,1630532.0,,,,,,,,,
