actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-20T00:10:54.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-20T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-12-20T00:10:56.6Z,1,REGULAR,jumpball,recovered,[],1631170,,,1610612748,0,0,2025-12-20T00:10:56Z,40000,False,,,0,,Jump Ball K. Ware vs. N. Queta: Tip to J. Jaquez Jr.,"[1631170, 1642276, 1629674]",1610612748.0,MIA,startperiod,J. Jaquez Jr.,1631170.0,Jaquez Jr.,J. Jaquez Jr.,Ware,1642276.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-12-20T00:11:12.0Z,1,REGULAR,3pt,Jump Shot,[],1626181,29.122864651773984,71.56862745098039,1610612748,0,0,2025-12-20T00:12:06Z,70000,False,-108.0,221.0,1,left,MISS N. Powell 24' pullup 3PT,[1626181],1610612748.0,MIA,pullup,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-12-20T00:11:14.0Z,1,REGULAR,rebound,offensive,[],1642276,,,1610612748,0,0,2025-12-20T00:11:18Z,80000,False,,,0,,K. Ware REBOUND (Off:1 Def:0),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-12-20T00:11:21.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,11.514454664914586,42.40196078431372,1610612748,0,0,2025-12-20T00:11:34Z,90000,False,38.0,56.0,1,left,MISS B. Adebayo 6' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M38.00S,2025-12-20T00:11:22.3Z,1,REGULAR,rebound,offensive,[],1642857,,,1610612748,0,0,2025-12-20T00:11:34Z,100000,False,,,0,,K. Jakučionis REBOUND (Off:1 Def:0),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT11M32.00S,2025-12-20T00:11:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642276,28.86005256241787,16.911764705882355,1610612748,0,0,2025-12-20T00:12:26Z,125000,False,165.0,219.0,1,left,MISS K. Ware 27' 3PT,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
18,PT11M31.00S,2025-12-20T00:11:33.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2025-12-20T00:12:26Z,127500,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M26.00S,2025-12-20T00:11:36.9Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612738,0,0,2025-12-20T00:11:48Z,130000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Walsh 2 FT),"[1626181, 1641775]",1610612748.0,MIA,shooting,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627962.0,1.0,0.0,Walsh,1641775.0,,,,,,,,,
15,PT11M26.00S,2025-12-20T00:12:04.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641775,,,1610612738,1,0,2025-12-20T00:14:41Z,150000,False,,,0,,J. Walsh Free Throw 1 of 2 (1 PTS),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
