actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M42.00S,2025-12-16T00:14:31.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,3,5,2025-12-16T00:14:37Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,16.0,,,,,,,,,,,
19,PT10M27.00S,2025-12-16T00:14:54.0Z,1,REGULAR,3pt,Jump Shot,[],202699,23.209592641261498,88.97058823529412,1610612765,3,5,2025-12-16T00:15:00Z,190000,False,-195.0,166.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2025-12-16T00:14:55.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,5,2025-12-16T00:15:00Z,200000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M20.00S,2025-12-16T00:15:03.5Z,1,REGULAR,turnover,out-of-bounds,[],1641775,,,1610612738,3,5,2025-12-16T00:15:10Z,210000,False,,,0,,J. Walsh step out-of-bounds TURNOVER (1 TO),[1641775],1610612738.0,BOS,step,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,,202007.0,,,,,,,,,,,,1.0,,,,
22,PT10M07.00S,2025-12-16T00:15:22.7Z,1,REGULAR,2pt,Hook,['fromturnover'],1631105,12.959921156373195,31.372549019607842,1610612765,3,7,2025-12-16T00:15:27Z,220000,False,93.0,69.0,1,left,J. Duren 11' driving bank Hook (2 PTS),[1631105],1610612765.0,DET,driving bank,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,11.61,Made,2.0,,,,,,,,,,,,,,,,,
23,PT09M48.00S,2025-12-16T00:15:41.2Z,1,REGULAR,2pt,Jump Shot,[],1630202,78.9257555847569,66.42156862745098,1610612738,5,7,2025-12-16T00:15:49Z,230000,False,82.0,146.0,1,right,P. Pritchard 16' floating Jump Shot (2 PTS),[1630202],1610612738.0,BOS,floating,,,Pritchard,P. Pritchard,,,,,Mid-Range,16-24 Right Center,16.72,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2025-12-16T00:15:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,9.329829172141919,42.497702205882355,1610612765,5,7,2025-12-16T00:16:03Z,240000,False,38.0,35.0,1,left,MISS J. Duren driving Layup - blocked,"[1631105, 1629674]",1610612765.0,DET,driving,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.14,Missed,,,,,,,,,,,,,,,Queta,1629674.0,,
25,PT09M34.00S,2025-12-16T00:15:56.3Z,1,REGULAR,block,,[],1629674,,,1610612765,5,7,2025-12-16T00:15:58Z,250000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2025-12-16T00:15:57.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,5,7,2025-12-16T00:16:03Z,260000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,24.0,,,,,,,,,,,
28,PT09M31.00S,2025-12-16T00:16:17.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,15.588042049934298,4.411764705882353,1610612765,5,7,2025-12-16T00:16:23Z,280000,False,228.0,94.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right,24.65,Missed,,,,,,,,,,,,,,,,,,
