actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-23T00:13:03.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-23T00:13:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-23T00:13:07.2Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612750,0,0,2026-03-23T00:13:07Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Queta: Tip to A. Dosunmu,"[1630245, 203497, 1629674]",1610612750.0,MIN,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Gobert,203497.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-23T00:13:22.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,84.57621550591328,61.029411764705884,1610612750,0,0,2026-03-23T00:13:47Z,70000,False,55.0,92.0,1,right,MISS J. Randle 10' fadeaway Shot,[203944],1610612750.0,MIN,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,10.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-03-23T00:13:25.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2026-03-23T00:13:43Z,80000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-03-23T00:13:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,13.748357424441524,42.64705882352941,1610612738,0,0,2026-03-23T00:14:25Z,90000,False,37.0,77.0,1,left,MISS D. White 8' driving floating Shot - blocked,"[1628401, 1630245]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,8.51,Missed,,,,,Dosunmu,1630245.0,,,,,,,,,,,,
21,PT11M25.00S,2026-03-23T00:13:36.4Z,1,REGULAR,block,,[],1630245,,,1610612738,0,0,2026-03-23T00:15:08Z,95000,False,,,0,,A. Dosunmu BLOCK (1 BLK),[1630245],1610612750.0,MIN,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2026-03-23T00:13:36.4Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,0,0,2026-03-23T00:14:25Z,100000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M22.00S,2026-03-23T00:13:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628401,5.590000152587891,50.0,1610612738,2,0,2026-03-23T00:13:40Z,110000,False,0.0,0.0,1,left,D. White tip Layup (2 PTS),[1628401],1610612738.0,BOS,tip,,,White,D. White,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,2.0,,,,,,,,,,,
12,PT11M00.00S,2026-03-23T00:14:03.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,83.52496714848883,37.99019607843137,1610612750,2,2,2026-03-23T00:14:13Z,120000,False,-60.0,102.0,1,right,J. Randle 11' turnaround Jump Shot (2 PTS),[203944],1610612750.0,MIN,turnaround,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,11.87,Made,,,,,,,2.0,,,,,,,,,,,
13,PT10M42.00S,2026-03-23T00:14:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,17.559132720105126,52.94117647058824,1610612738,2,2,2026-03-23T00:14:37Z,130000,False,-15.0,113.0,1,left,MISS J. Brown 11' pullup Shot - blocked,"[1627759, 203497]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,11.36,Missed,,,,,Gobert,203497.0,,,,,,,,,,,,
14,PT10M42.00S,2026-03-23T00:14:22.3Z,1,REGULAR,block,,[],203497,,,1610612738,2,2,2026-03-23T00:14:24Z,140000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2026-03-23T00:14:25.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,2,2026-03-23T00:14:37Z,150000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M23.00S,2026-03-23T00:14:41.5Z,1,REGULAR,3pt,Jump Shot,[],203944,74.45795006570303,87.00980392156863,1610612750,2,2,2026-03-23T00:16:23Z,160000,False,185.0,188.0,1,right,MISS J. Randle 26' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
17,PT10M19.00S,2026-03-23T00:14:45.5Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,2,2,2026-03-23T00:14:55Z,170000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M09.00S,2026-03-23T00:14:53.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.440867279894875,48.77450980392157,1610612738,4,2,2026-03-23T00:15:00Z,180000,False,6.0,17.0,1,left,J. Brown driving Layup (2 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,2.0,,,,,,,,,,,
19,PT09M57.00S,2026-03-23T00:15:05.2Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612750,4,2,2026-03-23T00:15:10Z,190000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1628401]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,White,1628401.0,,,,,,,,
20,PT09M57.00S,2026-03-23T00:15:05.2Z,1,REGULAR,steal,,[],1628401,,,1610612738,4,2,2026-03-23T00:15:06Z,200000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2026-03-23T00:15:09.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630573,6.258212877792378,48.77450980392157,1610612738,6,2,2026-03-23T00:15:18Z,210000,False,6.0,6.0,1,left,S. Hauser running Layup (2 PTS) (J. Brown 1 AST),"[1630573, 1627759]",1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,2.0,,,,J. Brown,1627759.0,1.0,,,,,
24,PT09M29.00S,2026-03-23T00:15:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628978,88.25558475689881,40.44117647058824,1610612750,6,2,2026-03-23T00:20:43Z,230000,False,-48.0,58.0,1,right,MISS D. DiVincenzo 7' floating Shot,[1628978],1610612750.0,MIN,floating,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,7.51,Missed,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2026-03-23T00:15:36.1Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,6,2,2026-03-23T00:20:43Z,240000,False,,,0,,R. Gobert REBOUND (Off:1 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,
