actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-22T00:40:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-22T00:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-22T00:40:36.1Z,1,REGULAR,jumpball,recovered,[],1642856,,,1610612751,0,0,2025-11-22T00:40:36Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Queta: Tip to E. Dëmin,"[1642856, 1629651, 1629674]",1610612751.0,BKN,startperiod,E. Dëmin,1642856.0,Dëmin,E. Dëmin,Claxton,1629651.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-11-22T00:40:53.3Z,1,REGULAR,turnover,bad pass,[],1629611,,,1610612751,0,0,2025-11-22T00:40:58Z,70000,False,,,0,,T. Mann bad pass TURNOVER (1 TO),"[1629611, 1627759]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,Mid-Range,16-24 Left,1.0,Brown,1627759.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-11-22T00:40:53.3Z,1,REGULAR,steal,,[],1627759,,,1610612738,0,0,2025-11-22T00:40:55Z,80000,False,,,0,,J. Brown STEAL (1 STL),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-11-22T00:41:00.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,93.64323258869908,52.20588235294118,1610612738,2,0,2025-11-22T00:41:03Z,90000,False,11.0,7.0,1,right,J. Brown Layup (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,1.32,Made,2.0,,,,,,,,,,,,,,
10,PT11M20.00S,2025-11-22T00:41:13.9Z,1,REGULAR,2pt,Jump Shot,[],1642856,21.895532194480946,77.20588235294117,1610612751,2,0,2025-11-22T00:41:59Z,100000,False,-136.0,153.0,1,left,MISS E. Dëmin 20' step back Shot,[1642856],1610612751.0,BKN,step back,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Left Center,,,,20.49,Missed,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-11-22T00:41:14.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2025-11-22T00:41:19Z,110000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M11.00S,2025-11-22T00:41:21.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.88764783180025,67.15686274509804,1610612738,2,0,2025-11-22T00:42:13Z,120000,False,86.0,249.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,26.37,Missed,,,,,,,,,,,,,,,
13,PT11M10.00S,2025-11-22T00:41:22.4Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,2,0,2025-11-22T00:41:29Z,130000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M01.00S,2025-11-22T00:41:33.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,6.83311432325887,58.35631127450981,1610612751,2,0,2025-11-22T00:41:41Z,140000,False,-42.0,12.0,1,left,MISS M. Porter Jr. driving Layup,[1629008],1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,4.34,Missed,,,,,,,,,,,,,,,
15,PT11M00.00S,2025-11-22T00:41:34.3Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,2,0,2025-11-22T00:41:41Z,150000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
