actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-12T22:12:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-12T22:12:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-12T22:12:53.7Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2026-04-12T22:12:53Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. L. Garza: Tip to P. Banchero,"[1631094, 1628976, 1630568]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Garza,1630568.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2026-04-12T22:13:03.2Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,0,0,2026-04-12T22:13:12Z,70000,False,,,0,,P. Banchero offensive FOUL (1 PF),"[1631094, 1631248]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,200832.0,1.0,0.0,Scheierman,1631248.0,,,,,,,,,,,,,,,
9,PT11M52.00S,2026-04-12T22:13:03.2Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,0,0,2026-04-12T22:13:03Z,90000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,200832.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M42.00S,2026-04-12T22:13:22.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630568,70.38436268068331,74.75490196078431,1610612738,3,0,2026-04-12T22:13:27Z,100000,False,124.0,226.0,1,right,L. Garza 25' 3PT  (3 PTS) (B. Scheierman 1 AST),"[1630568, 1631248]",1610612738.0,BOS,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Right Center,,,,,,,25.76,Made,3.0,B. Scheierman,1631248.0,1.0,,,,,,,,
12,PT11M20.00S,2026-04-12T22:13:43.6Z,1,REGULAR,3pt,Jump Shot,[],1630532,31.750985545335087,24.264705882352942,1610612753,3,3,2026-04-12T22:14:04Z,120000,False,129.0,246.0,1,left,F. Wagner 27' 3PT pullup (3 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,27.76,Made,3.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,
14,PT11M07.00S,2026-04-12T22:13:56.5Z,1,REGULAR,3pt,Jump Shot,[],1630568,74.06373193166885,83.82352941176471,1610612738,3,3,2026-04-12T22:14:04Z,140000,False,169.0,191.0,1,right,MISS L. Garza 25' 3PT,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Right Center,,,,,,,25.53,Missed,,,,,,,,,,,,
15,PT11M06.00S,2026-04-12T22:13:57.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,3,3,2026-04-12T22:14:04Z,150000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M55.00S,2026-04-12T22:14:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,7.178055190538765,47.30392156862745,1610612753,3,5,2026-04-12T22:15:17Z,160000,False,13.0,15.0,1,left,P. Banchero Layup (2 PTS) (W. Carter Jr. 2 AST),"[1631094, 1628976]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,2.02,Made,2.0,W. Carter Jr.,1628976.0,2.0,,,,,,,,
18,PT10M41.00S,2026-04-12T22:14:22.5Z,1,REGULAR,3pt,Jump Shot,[],1631248,59.51667214191853,48.1234681372549,1610612738,6,5,2026-04-12T22:14:37Z,180000,False,-9.0,328.0,1,right,B. Scheierman 32' 3PT  (3 PTS) (J. Walsh 1 AST),"[1631248, 1641775]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,32.81,Made,3.0,J. Walsh,1641775.0,1.0,,,,,,,,
20,PT10M31.00S,2026-04-12T22:14:33.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,18.084756898817346,4.411764705882353,1610612753,6,5,2026-04-12T22:14:41Z,200000,False,228.0,117.0,1,left,MISS J. Suggs 25' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,25.64,Missed,,,,,,,,,,,,
21,PT10M30.00S,2026-04-12T22:14:34.4Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612738,6,5,2026-04-12T22:14:41Z,210000,False,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M20.00S,2026-04-12T22:14:47.7Z,1,REGULAR,turnover,out-of-bounds,[],1631199,,,1610612738,6,5,2026-04-12T22:15:02Z,220000,False,,,0,,R. Harper Jr. lost ball out-of-bounds TURNOVER (1 TO),[1631199],1610612738.0,BOS,lost ball,,,Harper Jr.,R. Harper Jr.,,,,,Mid-Range,16-24 Right,200832.0,,,,,1.0,,,,,,,,,,,,,,
23,PT10M11.00S,2026-04-12T22:15:09.7Z,1,REGULAR,turnover,lost ball,[],1630591,,,1610612753,6,5,2026-04-12T22:15:12Z,230000,False,,,0,,J. Suggs lost ball TURNOVER (1 TO),"[1630591, 1631199]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1.0,,,,,,,,,,,Harper Jr.,1631199.0,,
24,PT10M11.00S,2026-04-12T22:15:09.7Z,1,REGULAR,steal,,[],1631199,,,1610612738,6,5,2026-04-12T22:15:11Z,240000,False,,,0,,R. Harper Jr. STEAL (1 STL),[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2026-04-12T22:15:15.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631199,71.17279894875165,79.90196078431373,1610612738,6,5,2026-04-12T22:15:22Z,250000,False,150.0,218.0,1,right,MISS R. Harper Jr. 26' running 3PT,[1631199],1610612738.0,BOS,running,,,Harper Jr.,R. Harper Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,26.47,Missed,,,,,,,,,,,,
26,PT10M03.00S,2026-04-12T22:15:17.4Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,6,5,2026-04-12T22:15:22Z,260000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,
27,PT09M56.00S,2026-04-12T22:15:23.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,4.681340341655716,95.34313725490196,1610612753,6,8,2026-04-12T22:15:29Z,270000,False,-227.0,-8.0,1,left,F. Wagner 3PT running (6 PTS) (D. Bane 1 AST),"[1630532, 1630217]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,,,,,,,22.69,Made,6.0,D. Bane,1630217.0,1.0,,,,,,,,
29,PT09M41.00S,2026-04-12T22:15:38.3Z,1,REGULAR,3pt,Jump Shot,[],1631248,67.49342969776609,34.068627450980394,1610612738,6,8,2026-04-12T22:19:27Z,290000,False,-80.0,253.0,1,right,MISS B. Scheierman 26' pullup 3PT,[1631248],1610612738.0,BOS,pullup,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,26.54,Missed,,,,,,,,,,,,
30,PT09M40.00S,2026-04-12T22:15:39.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,6,8,2026-04-12T22:15:44Z,300000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M28.00S,2026-04-12T22:15:51.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,15.850854139290407,4.166666666666666,1610612753,6,8,2026-04-12T22:15:58Z,310000,False,229.0,96.0,1,left,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,24.87,Missed,,,,,,,,,,,,
32,PT09M26.00S,2026-04-12T22:15:53.8Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,6,8,2026-04-12T22:15:58Z,320000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
