actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-08T00:12:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-08T00:12:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-08T00:12:34.8Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2026-01-08T00:12:34Z,40000,False,,,0,,Jump Ball N. Queta vs. D. Holmes II: Tip to P. Pritchard,"[1630202, 1629674, 1641747]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Queta,1629674.0,Holmes II,1641747.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-01-08T00:12:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,18.2161629434954,45.588235294117645,1610612738,0,0,2026-01-08T00:12:52Z,70000,False,22.0,119.0,1,left,MISS D. White 12' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,12.07,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-01-08T00:12:46.3Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2026-01-08T00:12:52Z,80000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-01-08T00:13:06.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,80.3712220762155,40.44117647058824,1610612743,0,2,2026-01-08T00:13:10Z,90000,False,-48.0,132.0,1,right,J. Murray 14' driving floating Jump Shot (2 PTS),[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,14.04,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M01.00S,2026-01-08T00:13:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,7.440867279894875,43.38235294117647,1610612738,0,2,2026-01-08T00:13:36Z,100000,False,33.0,17.0,1,left,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2026-01-08T00:13:31.1Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,0,2,2026-01-08T00:13:36Z,110000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M42.00S,2026-01-08T00:13:48.8Z,1,REGULAR,2pt,Jump Shot,[],1627750,76.16622864651774,66.17647058823529,1610612743,0,2,2026-01-08T00:13:55Z,120000,False,81.0,172.0,1,right,MISS J. Murray 18' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,18.96,Missed,,,,,,,,,,,,,,,,,,
13,PT10M40.00S,2026-01-08T00:13:50.8Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,0,2,2026-01-08T00:13:55Z,130000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M34.00S,2026-01-08T00:13:56.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,31.750985545335087,71.81372549019608,1610612738,3,2,2026-01-08T00:14:03Z,140000,False,-109.0,246.0,1,left,J. Brown 26' 3PT running pullup (3 PTS),[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.91,Made,,,,,3.0,,,,,,,,,,,,,
