actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-10T00:12:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-10T00:12:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-10T00:12:33.2Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2026-01-10T00:12:33Z,40000,False,,,0,,Jump Ball N. Queta vs. S. Mamukelashvili: Tip to J. Brown,"[1627759, 1629674, 1630572]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Queta,1629674.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-01-10T00:12:55.3Z,1,REGULAR,foul,personal,['2freethrow'],1642266,,,1610612738,0,0,2026-01-10T00:13:06Z,70000,False,,,0,,J. Walter shooting personal FOUL (1 PF) (Brown 2 FT),"[1642266, 1627759]",1610612761.0,TOR,shooting,,,Walter,J. Walter,,,,,Mid-Range,8-16 Right,1148.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2026-01-10T00:13:18.4Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,1,0,2026-01-10T00:13:18Z,90000,False,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M37.00S,2026-01-10T00:13:35.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,2,0,2026-01-10T00:13:35Z,100000,False,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M12.00S,2026-01-10T00:14:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,80.1084099868594,42.15686274509804,1610612761,2,0,2026-01-10T00:14:09Z,110000,False,-39.0,134.0,1,right,MISS R. Barrett 14' turnaround fadeaway Shot,[1629628],1610612761.0,TOR,turnaround fadeaway,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,14.01,,,,,,,,,,,,
12,PT11M09.00S,2026-01-10T00:14:05.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,0,2026-01-10T00:14:05Z,120000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M58.00S,2026-01-10T00:14:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630202,27.283180026281208,82.84313725490196,1610612738,5,0,2026-01-10T00:14:22Z,130000,False,-164.0,204.0,1,left,P. Pritchard 26' 3PT  (3 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,26.19,,,,,J. Brown,1627759.0,1.0,,,,,
15,PT10M45.00S,2026-01-10T00:14:29.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,89.04402102496715,94.36274509803921,1610612761,5,3,2026-01-10T00:14:36Z,150000,False,222.0,50.0,1,right,I. Quickley 3PT  (3 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,22.75,,,,,R. Barrett,1629628.0,1.0,,,,,
17,PT10M29.00S,2026-01-10T00:14:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,5.601182654402102,42.64705882352941,1610612738,7,3,2026-01-10T00:14:49Z,170000,False,37.0,0.0,1,left,D. White driving Layup (2 PTS),[1628401],1610612738.0,BOS,driving,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.68,,,,,,,,,,,,
