actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-10T23:41:23.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T23:41:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-04-10T23:41:25.6Z,1,REGULAR,jumpball,recovered,[],1642847,,,1610612740,0,0,2026-04-10T23:41:25Z,40000,False,,,0,,Jump Ball K. Looney vs. N. Queta: Tip to J. Fears,"[1642847, 1626172, 1629674]",1610612740.0,NOP,startperiod,J. Fears,1642847.0,Fears,J. Fears,Looney,1626172.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-04-10T23:41:41.8Z,1,REGULAR,turnover,out-of-bounds,[],1629673,,,1610612740,0,0,2026-04-10T23:42:00Z,70000,False,,,0,,J. Poole lost ball out-of-bounds TURNOVER (1 TO),[1629673],1610612740.0,NOP,lost ball,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2026-04-10T23:42:06.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641775,29.25427069645204,26.47058823529412,1610612738,0,0,2026-04-10T23:42:13Z,80000,False,118.0,222.0,1,left,MISS J. Walsh 25' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,25.17,Missed,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2026-04-10T23:42:09.0Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,0,0,2026-04-10T23:42:13Z,90000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M18.00S,2026-04-10T23:42:13.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628401,7.046649145860711,96.81372549019608,1610612738,0,0,2026-04-10T23:42:19Z,100000,False,-234.0,14.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,,23.45,Missed,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2026-04-10T23:42:14.6Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612740,0,0,2026-04-10T23:42:19Z,110000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612740.0,NOP,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M08.00S,2026-04-10T23:42:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,92.50985545335085,42.271752450980394,1610612740,0,2,2026-04-10T23:50:26Z,120000,False,-39.0,18.0,1,right,D. Queen driving Layup (2 PTS) (J. Poole 1 AST),"[1642852, 1629673]",1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,4.25,Made,,,,,2.0,J. Poole,1629673.0,1.0,,,,,,,,,
14,PT10M47.00S,2026-04-10T23:42:45.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,34.11629434954008,65.93137254901961,1610612738,3,2,2026-04-10T23:42:52Z,140000,False,-80.0,268.0,1,left,D. White 27' 3PT pullup (3 PTS) (N. Queta 1 AST),"[1628401, 1629674]",1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Center,,27.98,Made,,,,,3.0,N. Queta,1629674.0,1.0,,,,,,,,,
16,PT10M37.00S,2026-04-10T23:42:54.9Z,1,REGULAR,3pt,Jump Shot,[],1642847,71.56701708278581,75.98039215686273,1610612740,3,2,2026-04-10T23:43:00Z,160000,False,130.0,215.0,1,right,MISS J. Fears 25' pullup 3PT,[1642847],1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,,25.1,Missed,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2026-04-10T23:42:55.9Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,3,2,2026-04-10T23:43:00Z,170000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Right Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M25.00S,2026-04-10T23:43:06.3Z,1,REGULAR,3pt,Jump Shot,[],1630573,32.933639947437584,36.76470588235294,1610612738,6,2,2026-04-10T23:43:10Z,180000,False,66.0,257.0,1,left,S. Hauser 26' 3PT  (3 PTS) (J. Brown 1 AST),"[1630573, 1627759]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,26.55,Made,,,,,3.0,J. Brown,1627759.0,1.0,,,,,,,,,
20,PT10M13.00S,2026-04-10T23:43:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,92.32917214191852,57.107843137254896,1610612740,6,4,2026-04-10T23:54:58Z,200000,False,36.0,20.0,1,right,J. Poole driving Layup (2 PTS) (J. Fears 1 AST),"[1629673, 1642847]",1610612740.0,NOP,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,4.06,Made,,,,,2.0,J. Fears,1642847.0,1.0,,,,,,,,,
22,PT10M07.00S,2026-04-10T23:43:25.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,32.013797634691194,32.84313725490196,1610612738,6,4,2026-04-10T23:43:33Z,220000,False,86.0,248.0,1,left,MISS D. White 26' pullup 3PT,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,26.28,Missed,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2026-04-10T23:43:26.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,6,4,2026-04-10T23:43:33Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,22.0,,,,,,,,,,,,,,,,
24,PT10M06.00S,2026-04-10T23:43:30.8Z,1,REGULAR,foul,personal,[],1629673,,,1610612738,6,4,2026-04-10T23:43:39Z,240000,False,,,0,,J. Poole loose ball personal FOUL (1 PF),"[1629673, 1629674]",1610612740.0,NOP,loose ball,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Queta,1629674.0,,,,
26,PT09M51.00S,2026-04-10T23:44:34.1Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,6,4,2026-04-10T23:44:34Z,260000,False,,,0,,Jump Ball J. Brown vs. M. Peavy: Tip to S. Hauser,"[1630573, 1627759, 1642877]",1610612738.0,BOS,heldball,S. Hauser,1630573.0,Hauser,S. Hauser,Brown,1627759.0,Peavy,1642877.0,,,,,,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2026-04-10T23:44:35.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,41.080814717477004,34.068627450980394,1610612738,9,4,2026-04-10T23:44:47Z,290000,False,80.0,334.0,1,left,D. White 34' 3PT  (6 PTS) (S. Hauser 1 AST),"[1628401, 1630573]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,34.31,Made,,,,,6.0,S. Hauser,1630573.0,1.0,,,,,,,,,
