actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-05T19:42:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-05T19:42:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-05T19:42:03.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2026-04-05T19:42:03Z,40000,False,,,0,,Jump Ball N. Queta vs. J. Poeltl: Tip to J. Brown,"[1627759, 1629674, 1627751]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Queta,1629674.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2026-04-05T19:42:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.258212877792378,52.94117647058824,1610612738,2,0,2026-04-05T19:42:12Z,70000,False,-15.0,6.0,1,left,J. Brown driving reverse Layup (2 PTS),[1627759],1610612738.0,BOS,driving reverse,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.6,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-04-05T19:42:23.4Z,1,REGULAR,2pt,Jump Shot,[],1627742,87.86136662286465,81.86274509803921,1610612761,2,0,2026-04-05T19:42:31Z,80000,False,159.0,62.0,1,right,MISS B. Ingram 17' fadeaway Shot,[1627742],1610612761.0,TOR,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Right,17.08,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-04-05T19:42:27.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,0,2026-04-05T19:42:27Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Mid-Range,16-24 Right,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M31.00S,2026-04-05T19:42:47.7Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,2,0,2026-04-05T20:07:16Z,110000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 1628401]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,1.0,White,1628401.0,,,,,,,,,,,,,
12,PT11M31.00S,2026-04-05T19:42:47.7Z,1,REGULAR,steal,,[],1628401,,,1610612738,2,0,2026-04-05T19:42:49Z,120000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2026-04-05T19:42:54.6Z,1,REGULAR,turnover,out-of-bounds,[],1630573,,,1610612738,2,0,2026-04-05T19:43:00Z,130000,False,,,0,,S. Hauser bad pass out-of-bounds TURNOVER (1 TO),[1630573],1610612738.0,BOS,bad pass,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,1.0,,,202058.0,,,,,,,,,,,,
14,PT11M14.00S,2026-04-05T19:43:14.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630567,93.24901445466492,56.372549019607845,1610612761,2,0,2026-04-05T19:43:18Z,140000,False,32.0,11.0,1,right,MISS S. Barnes driving Layup,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.37,Missed,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2026-04-05T19:43:16.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2026-04-05T19:43:18Z,150000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,
