actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-06T00:40:42.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-06T00:40:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-01-06T00:40:43.9Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2026-01-06T00:40:43Z,40000,False,,,0,,Jump Ball N. Queta vs. N. Vučević: Tip to P. Pritchard,"[1630202, 1629674, 202696]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Queta,1629674.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-01-06T00:41:23.1Z,1,REGULAR,2pt,Jump Shot,[],1627759,24.26084099868594,66.17647058823529,1610612738,0,0,2026-01-06T00:41:28Z,80000,False,-81.0,176.0,1,left,MISS J. Brown 19' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,19.33,Missed,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-01-06T00:41:26.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2026-01-06T00:41:28Z,90000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,16-24 Left Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M22.00S,2026-01-06T00:41:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630171,71.30420499342969,19.362745098039216,1610612741,0,0,2026-01-06T00:41:50Z,100000,False,-153.0,217.0,1,right,MISS I. Okoro 26' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,26.58,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-01-06T00:41:45.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2026-01-06T00:41:50Z,110000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M07.00S,2026-01-06T00:41:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630202,19.136005256241788,35.53921568627451,1610612738,0,0,2026-01-06T00:42:57Z,120000,False,72.0,127.0,1,left,MISS P. Pritchard 14' driving floating Shot,[1630202],1610612738.0,BOS,driving floating,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,14.65,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2026-01-06T00:42:00.3Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,0,0,2026-01-06T00:42:57Z,130000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M06.00S,2026-01-06T00:42:03.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629674,5.590000152587891,50.0,1610612738,0,0,2026-01-06T00:43:18Z,140000,False,0.0,0.0,1,left,MISS N. Queta tip Layup,[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
15,PT11M05.00S,2026-01-06T00:42:04.3Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,0,0,2026-01-06T00:43:18Z,150000,False,,,0,,N. Queta REBOUND (Off:2 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,14.0,2.0,0.0,2.0,,,,,,,,,,,,,,
16,PT11M05.00S,2026-01-06T00:42:04.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629674,5.590000152587891,50.0,1610612738,0,0,2026-01-06T00:44:17Z,160000,False,0.0,0.0,1,left,MISS N. Queta tip Layup,[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2026-01-06T00:42:05.3Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,0,0,2026-01-06T00:44:17Z,170000,False,,,0,,N. Queta REBOUND (Off:3 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,16.0,3.0,0.0,3.0,,,,,,,,,,,,,,
18,PT11M04.00S,2026-01-06T00:42:06.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629674,5.590000152587891,50.0,1610612738,2,0,2026-01-06T00:44:28Z,180000,False,0.0,0.0,1,left,N. Queta tip Layup (2 PTS),[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M40.00S,2026-01-06T00:42:44.4Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612741,2,0,2026-01-06T00:42:50Z,200000,False,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612741.0,CHI,bad pass,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,,,,,1628954.0,1.0,,,,,,,,,,,
21,PT10M25.00S,2026-01-06T00:43:01.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627759,11.383048620236531,65.93137254901961,1610612738,4,0,2026-01-06T00:43:09Z,210000,False,-80.0,55.0,1,left,J. Brown 9' driving floating Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,9.66,Made,,,,,2.0,,,P. Pritchard,1630202.0,1.0,,,,,,,,
23,PT10M05.00S,2026-01-06T00:43:21.4Z,1,REGULAR,3pt,Jump Shot,[],1641824,68.01905387647832,34.068627450980394,1610612741,4,3,2026-01-06T00:43:26Z,230000,False,-80.0,248.0,1,right,M. Buzelis 26' 3PT  (3 PTS) (N. Vučević 1 AST),"[1641824, 202696]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,26.06,Made,,,,,3.0,,,N. Vučević,202696.0,1.0,,,,,,,,
25,PT09M53.00S,2026-01-06T00:43:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,30.042706964520367,72.05882352941177,1610612738,4,3,2026-01-06T00:43:39Z,250000,False,-110.0,230.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,25.5,Missed,,,,,,,,,,,,,,,,,,
26,PT09M50.00S,2026-01-06T00:43:36.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,3,2026-01-06T00:43:39Z,260000,False,,,0,,N. Vučević REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,
27,PT09M44.00S,2026-01-06T00:43:43.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628989,94.1688567674113,45.83333333333333,1610612741,4,5,2026-01-06T00:46:35Z,270000,False,-21.0,2.0,1,right,K. Huerter running reverse Layup (2 PTS) (T. Jones 1 AST),"[1628989, 1630200]",1610612741.0,CHI,running reverse,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,2.09,Made,,,,,2.0,,,T. Jones,1630200.0,1.0,,,,,,,,
29,PT09M27.00S,2026-01-06T00:43:59.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,28.33442838370565,78.43137254901961,1610612738,4,5,2026-01-06T00:44:06Z,290000,False,-142.0,214.0,1,left,MISS P. Pritchard 25' step back 3PT,[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
30,PT09M25.00S,2026-01-06T00:44:01.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,5,2026-01-06T00:44:06Z,300000,False,,,0,,N. Vučević REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT09M20.00S,2026-01-06T00:44:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630200,92.72339027595268,45.588235294117645,1610612741,4,5,2026-01-06T00:44:18Z,310000,False,-22.0,16.0,1,right,MISS T. Jones running reverse Layup,[1630200],1610612741.0,CHI,running reverse,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,,,,,,,,,,,
32,PT09M18.00S,2026-01-06T00:44:09.4Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,4,5,2026-01-06T00:44:18Z,320000,False,,,0,,N. Queta REBOUND (Off:3 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,31.0,4.0,1.0,3.0,,,,,,,,,,,,,,
33,PT09M10.00S,2026-01-06T00:44:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629674,16.770696452036795,50.49019607843137,1610612738,4,5,2026-01-06T00:47:27Z,330000,False,-2.0,105.0,1,left,MISS N. Queta 10' floating Shot,[1629674],1610612738.0,BOS,floating,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Center,10.51,Missed,,,,,,,,,,,,,,,,,,
34,PT09M07.00S,2026-01-06T00:44:19.7Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,4,5,2026-01-06T00:44:21Z,340000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M56.00S,2026-01-06T00:44:30.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,79.71419185282524,93.38235294117648,1610612741,4,5,2026-01-06T00:44:40Z,350000,False,217.0,138.0,1,right,MISS K. Huerter 25' 3PT,[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Right Center,25.72,Missed,,,,,,,,,,,,,,,,,,
