actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-18T23:12:45.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-18T23:12:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-18T23:12:48.2Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2026-03-18T23:12:48Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. N. Queta: Tip to B. Podziemski,"[1641764, 204001, 1629674]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Porziņģis,204001.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-03-18T23:13:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630611,91.40932982917214,41.42156862745098,1610612744,0,0,2026-03-18T23:39:06Z,70000,False,-43.0,28.0,1,right,MISS G. Santos driving Layup,[1630611],1610612744.0,GSW,driving,,,Santos,G. Santos,,,,,In The Paint (Non-RA),0-8 Center,5.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-03-18T23:13:02.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2026-03-18T23:13:12Z,80000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2026-03-18T23:13:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,10.068988173455978,42.8921568627451,1610612738,0,0,2026-03-18T23:14:55Z,90000,False,36.0,42.0,1,left,MISS J. Tatum cutting Layup - blocked,"[1628369, 204001]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,5.51,Missed,,,,,Porziņģis,204001.0,,,,,,,,,,,,
10,PT11M26.00S,2026-03-18T23:13:17.6Z,1,REGULAR,block,,[],204001,,,1610612738,0,0,2026-03-18T23:13:19Z,100000,False,,,0,,K. Porziņģis BLOCK (1 BLK),[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2026-03-18T23:13:18.6Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,0,0,2026-03-18T23:13:29Z,110000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M24.00S,2026-03-18T23:13:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629674,7.178055190538765,52.69607843137255,1610612738,0,0,2026-03-18T23:13:42Z,120000,False,-13.0,15.0,1,left,MISS N. Queta putback Layup - blocked,"[1629674, 204001]",1610612738.0,BOS,putback,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,Porziņģis,204001.0,,,,,,,,,,,,
16,PT11M24.00S,2026-03-18T23:13:22.1Z,1,REGULAR,block,,[],204001,,,1610612738,0,0,2026-03-18T23:13:42Z,125000,False,,,0,,K. Porziņģis BLOCK (2 BLK),[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2026-03-18T23:13:23.1Z,1,REGULAR,rebound,defensive,[],1630611,,,1610612744,0,0,2026-03-18T23:13:42Z,130000,False,,,0,,G. Santos REBOUND (Off:0 Def:1),[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
