actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-12T00:41:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T00:41:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-12T00:41:41.9Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,0,0,2026-02-12T00:41:41Z,40000,False,,,0,,Jump Ball N. Queta vs. M. Buzelis: Tip to S. Hauser,"[1630573, 1629674, 1641824]",1610612738.0,BOS,startperiod,S. Hauser,1630573.0,Hauser,S. Hauser,Queta,1629674.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-02-12T00:41:58.0Z,1,REGULAR,turnover,lost ball,[],1629674,,,1610612738,0,0,2026-02-12T00:42:03Z,70000,False,,,0,,N. Queta lost ball TURNOVER (1 TO),"[1629674, 1641824]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Left,1.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-02-12T00:41:58.0Z,1,REGULAR,steal,,[],1641824,,,1610612741,0,0,2026-02-12T00:42:00Z,80000,False,,,0,,M. Buzelis STEAL (1 STL),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-02-12T00:42:05.3Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612741,0,0,2026-02-12T00:42:15Z,90000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Sexton 2 FT),"[1627759, 1629012]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,101284.0,1.0,0.0,Sexton,1629012.0,,,,,,,,,,,,
11,PT11M35.00S,2026-02-12T00:42:31.2Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629012,,,1610612741,0,1,2026-02-12T00:42:52Z,110000,False,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
12,PT11M35.00S,2026-02-12T00:42:31.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629012,,,1610612741,0,2,2026-02-12T00:42:52Z,120000,False,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,
13,PT11M24.00S,2026-02-12T00:43:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,8.754927726675426,43.627450980392155,1610612738,2,2,2026-02-12T00:43:08Z,130000,False,32.0,30.0,1,left,N. Queta cutting Layup (2 PTS) (D. White 1 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,4.37,D. White,1628401.0,1.0,,,,,,
15,PT11M10.00S,2026-02-12T00:43:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630172,73.14388961892247,79.16666666666666,1610612741,2,5,2026-02-12T00:43:21Z,150000,False,146.0,200.0,1,right,P. Williams 24' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1630172, 1641824]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,3.0,24.74,M. Buzelis,1641824.0,1.0,,,,,,
17,PT10M55.00S,2026-02-12T00:43:32.4Z,1,REGULAR,3pt,Jump Shot,[],1630573,27.94021024967148,20.833333333333336,1610612738,2,5,2026-02-12T00:43:41Z,170000,False,146.0,210.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,25.57,,,,,,,,,
18,PT10M53.00S,2026-02-12T00:43:34.4Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,2,5,2026-02-12T00:43:41Z,180000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
19,PT10M46.00S,2026-02-12T00:43:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,91.5407358738502,41.17647058823529,1610612741,2,5,2026-02-12T00:43:53Z,190000,False,-44.0,27.0,1,right,MISS M. Buzelis driving Layup - blocked,"[1641824, 1630573]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,5.17,,,,,,,,Hauser,1630573.0
22,PT10M46.00S,2026-02-12T00:43:42.4Z,1,REGULAR,block,,[],1630573,,,1610612741,2,5,2026-02-12T00:44:03Z,195000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2026-02-12T00:43:43.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,5,2026-02-12T00:43:53Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,19.0,,,,,
23,PT10M33.00S,2026-02-12T00:44:03.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,20.71287779237845,67.15686274509804,1610612738,4,5,2026-02-12T00:44:08Z,220000,False,-86.0,142.0,1,left,J. Brown 16' fadeaway Jump Shot (2 PTS),[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,,,,Made,2.0,16.61,,,,,,,,,
24,PT10M10.00S,2026-02-12T00:44:25.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,80.50262812089356,74.50980392156863,1610612741,4,5,2026-02-12T00:44:31Z,230000,False,123.0,131.0,1,right,MISS A. Simons 17' pullup Shot,[1629014],1610612741.0,CHI,pullup,,,Simons,A. Simons,,,,,Mid-Range,16-24 Right Center,,,,,,,,,Missed,,17.92,,,,,,,,,
25,PT10M09.00S,2026-02-12T00:44:26.6Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,4,5,2026-02-12T00:44:31Z,240000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,
26,PT09M52.00S,2026-02-12T00:44:44.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,27.808804204993432,23.03921568627451,1610612738,7,5,2026-02-12T00:44:47Z,250000,False,135.0,209.0,1,left,S. Hauser 24' 3PT  (3 PTS) (D. White 2 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,3.0,24.86,D. White,1628401.0,2.0,,,,,,
28,PT09M27.00S,2026-02-12T00:45:08.6Z,1,REGULAR,2pt,Jump Shot,[],1629014,91.98423127463863,25.513174019607842,1610612741,7,7,2026-02-12T00:45:13Z,270000,False,-122.0,23.0,1,right,A. Simons 12' fadeaway Jump Shot (2 PTS) (M. Buzelis 2 AST),"[1629014, 1641824]",1610612741.0,CHI,fadeaway,,,Simons,A. Simons,,,,,Mid-Range,8-16 Left,,,,,,,,,Made,2.0,12.45,M. Buzelis,1641824.0,2.0,,,,,,
