actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-13T00:41:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-13T00:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-13T00:41:03.4Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2025-11-13T00:41:03Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Queta: Tip to V. Williams Jr.,"[1631246, 1628991, 1629674]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Jackson Jr.,1628991.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-13T00:41:15.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,11.514454664914586,46.568627450980394,1610612763,0,0,2025-11-13T00:41:24Z,70000,False,17.0,56.0,1,left,MISS J. Jackson Jr. driving Hook,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-11-13T00:41:16.0Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,0,0,2025-11-13T00:41:24Z,80000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-11-13T00:41:26.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,80.3712220762155,40.19607843137255,1610612738,2,0,2025-11-13T00:41:32Z,90000,False,-49.0,132.0,1,right,J. Brown 14' turnaround Jump Shot (2 PTS),[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,14.08,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M15.00S,2025-11-13T00:41:43.9Z,1,REGULAR,3pt,Jump Shot,[],1642377,32.53942181340342,34.80392156862745,1610612763,2,0,2025-11-13T00:41:51Z,100000,False,76.0,253.0,1,left,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,26.46,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2025-11-13T00:41:45.9Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,2,0,2025-11-13T00:41:51Z,110000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M06.00S,2025-11-13T00:41:52.8Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,2,0,2025-11-13T00:41:56Z,120000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1628991]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,,,,
13,PT11M06.00S,2025-11-13T00:41:52.8Z,1,REGULAR,steal,,[],1628991,,,1610612763,2,0,2025-11-13T00:49:54Z,130000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2025-11-13T00:41:58.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628991,10.988830486202366,37.254901960784316,1610612763,2,0,2025-11-13T00:42:07Z,140000,False,64.0,51.0,1,left,MISS J. Jackson Jr. 8' running Layup - blocked,"[1628991, 1641775]",1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Right,8.15,Missed,,,,,,,,,Walsh,1641775.0,,,,,,,,
15,PT11M03.00S,2025-11-13T00:41:58.1Z,1,REGULAR,block,,[],1641775,,,1610612763,2,0,2025-11-13T00:42:00Z,150000,False,,,0,,J. Walsh BLOCK (1 BLK),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2025-11-13T00:41:59.1Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,2,0,2025-11-13T00:42:07Z,160000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M53.00S,2025-11-13T00:42:06.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641775,93.16688567674113,53.69944852941176,1610612738,4,0,2025-11-13T00:46:06Z,170000,False,18.0,12.0,1,right,J. Walsh running finger roll Layup (2 PTS) (D. White 1 AST),"[1641775, 1628401]",1610612738.0,BOS,running finger roll,,,Walsh,J. Walsh,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,2.0,,,,,,D. White,1628401.0,1.0,,,,,
19,PT10M39.00S,2025-11-13T00:42:19.3Z,1,REGULAR,3pt,Jump Shot,[],1631246,31.61957950065703,30.637254901960787,1610612763,4,0,2025-11-13T00:42:32Z,190000,False,97.0,245.0,1,left,MISS V. Williams Jr. 26' pullup 3PT,[1631246],1610612763.0,MEM,pullup,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
20,PT10M38.00S,2025-11-13T00:42:20.3Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,4,0,2025-11-13T00:42:32Z,200000,False,,,0,,J. Walsh REBOUND (Off:0 Def:2),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Right Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M33.00S,2025-11-13T00:42:27.9Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,4,0,2025-11-13T00:42:37Z,210000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 203484]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,
22,PT10M33.00S,2025-11-13T00:42:27.9Z,1,REGULAR,steal,,[],203484,,,1610612763,4,0,2025-11-13T00:42:29Z,220000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2025-11-13T00:42:38.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631246,30.305519053876477,25.0,1610612763,4,3,2025-11-13T00:47:08Z,230000,False,125.0,232.0,1,left,V. Williams Jr. 26' 3PT  (3 PTS) (J. Landale 1 AST),"[1631246, 1629111]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Above the Break 3,24+ Right Center,26.39,Made,,,,,3.0,,,,,,J. Landale,1629111.0,1.0,,,,,
25,PT10M02.00S,2025-11-13T00:42:58.2Z,1,REGULAR,foul,personal,['2freethrow'],203484,,,1610612738,4,3,2025-11-13T00:43:08Z,250000,False,,,0,,K. Caldwell-Pope shooting personal FOUL (1 PF) (White 2 FT),"[203484, 1628401]",1610612763.0,MEM,shooting,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,201245.0,1.0,0.0,White,1628401.0
27,PT10M02.00S,2025-11-13T00:43:28.6Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,5,3,2025-11-13T00:43:28Z,270000,False,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
28,PT10M02.00S,2025-11-13T00:43:48.0Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,6,3,2025-11-13T00:43:48Z,280000,False,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M43.00S,2025-11-13T00:44:08.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,13.485545335085414,34.31372549019608,1610612763,6,5,2025-11-13T00:47:51Z,290000,False,78.0,74.0,1,left,J. Landale 10' turnaround Hook (2 PTS) (K. Caldwell-Pope 1 AST),"[1629111, 203484]",1610612763.0,MEM,turnaround,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Right,10.8,Made,,,,,2.0,,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,
31,PT09M29.00S,2025-11-13T00:44:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630202,72.35545335085413,21.568627450980394,1610612738,9,5,2025-11-13T00:44:25Z,310000,False,-142.0,207.0,1,right,P. Pritchard 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.15,Made,,,,,3.0,,,,,,J. Brown,1627759.0,1.0,,,,,
33,PT09M10.00S,2025-11-13T00:44:42.2Z,1,REGULAR,turnover,bad pass,[],1629111,,,1610612763,9,5,2025-11-13T00:44:46Z,330000,False,,,0,,J. Landale bad pass TURNOVER (1 TO),"[1629111, 1629674]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Queta,1629674.0,,,,,,,,,,
34,PT09M10.00S,2025-11-13T00:44:42.2Z,1,REGULAR,steal,,[],1629674,,,1610612738,9,5,2025-11-13T00:44:44Z,340000,False,,,0,,N. Queta STEAL (1 STL),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2025-11-13T00:45:00.2Z,1,REGULAR,foul,personal,[],1631246,,,1610612738,9,5,2025-11-13T00:45:06Z,350000,False,,,0,,V. Williams Jr. personal FOUL (1 PF),"[1631246, 1629674]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,201638.0,1.0,0.0,Queta,1629674.0
37,PT08M46.00S,2025-11-13T00:45:25.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,82.86793692509855,62.5,1610612738,11,5,2025-11-13T00:45:30Z,370000,False,62.0,109.0,1,right,J. Brown 12' turnaround fadeaway Jump Shot (4 PTS),[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,12.52,Made,,,,,4.0,,,,,,,,,,,,,
38,PT08M38.00S,2025-11-13T00:45:35.3Z,1,REGULAR,foul,personal,[],1641775,,,1610612763,11,5,2025-11-13T00:45:43Z,380000,False,,,0,,J. Walsh personal FOUL (1 PF),"[1641775, 1628991]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Jackson Jr.,1628991.0
40,PT08M35.00S,2025-11-13T00:45:59.1Z,1,REGULAR,foul,offensive,[],1631246,,,1610612763,11,5,2025-11-13T00:46:11Z,400000,False,,,0,,V. Williams Jr. offensive FOUL (2 PF),"[1631246, 1628401]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,201638.0,2.0,0.0,White,1628401.0
42,PT08M35.00S,2025-11-13T00:45:59.1Z,1,REGULAR,turnover,offensive foul,[],1631246,,,1610612763,11,5,2025-11-13T00:45:59Z,420000,False,,,0,,V. Williams Jr. offensive foul TURNOVER (1 TO),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,,,,,,201638.0,,,,
43,PT08M35.00S,2025-11-13T00:46:10.0Z,1,REGULAR,substitution,out,[],1631246,,,1610612738,11,5,2025-11-13T00:46:12Z,430000,False,,,0,,SUB out: V. Williams Jr.,[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M35.00S,2025-11-13T00:46:10.0Z,1,REGULAR,substitution,in,[],1642285,,,1610612738,11,5,2025-11-13T00:46:12Z,440000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M24.00S,2025-11-13T00:47:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629674,92.59198423127464,58.57843137254902,1610612738,13,5,2025-11-13T00:47:25Z,460000,False,43.0,17.0,1,right,N. Queta cutting Layup (2 PTS) (P. Pritchard 1 AST),"[1629674, 1630202]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,2.0,,,,,,P. Pritchard,1630202.0,1.0,,,,,
48,PT08M13.00S,2025-11-13T00:47:33.2Z,1,REGULAR,3pt,Jump Shot,[],1642377,32.670827858081466,23.774509803921568,1610612763,13,8,2025-11-13T00:47:37Z,480000,False,131.0,255.0,1,left,J. Wells 28' 3PT  (3 PTS) (J. Landale 2 AST),"[1642377, 1629111]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,28.64,Made,,,,,3.0,,,,,,J. Landale,1629111.0,2.0,,,,,
50,PT08M01.00S,2025-11-13T00:47:45.2Z,1,REGULAR,3pt,Jump Shot,[],1630202,64.99671484888306,44.36274509803921,1610612738,13,8,2025-11-13T00:47:53Z,500000,False,-28.0,277.0,1,right,MISS P. Pritchard 27' pullup 3PT,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,27.79,Missed,,,,,,,,,,,,,,,,,,
51,PT07M59.00S,2025-11-13T00:47:47.2Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,13,8,2025-11-13T00:47:53Z,510000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,,,50.0,2.0,1.0,1.0,,,,,,,,,,,,,,
52,PT07M56.00S,2025-11-13T00:47:50.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,91.14651773981603,4.411764705882353,1610612738,16,8,2025-11-13T00:47:55Z,520000,False,-228.0,31.0,1,right,D. White 3PT step back (5 PTS) (N. Queta 1 AST),"[1628401, 1629674]",1610612738.0,BOS,step back,,,White,D. White,,,,,Left Corner 3,24+ Left,23.0,Made,,,,,5.0,,,,,,N. Queta,1629674.0,1.0,,,,,
54,PT07M41.00S,2025-11-13T00:48:05.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,18.347568988173457,5.147058823529411,1610612763,16,8,2025-11-13T00:48:14Z,540000,False,224.0,120.0,1,left,MISS J. Jackson Jr. 25' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,25.44,Missed,,,,,,,,,,,,,,,,,,
55,PT07M37.00S,2025-11-13T00:48:09.4Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,16,8,2025-11-13T00:48:14Z,550000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT07M30.00S,2025-11-13T00:48:15.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641775,86.67871222076215,4.166666666666666,1610612738,16,8,2025-11-13T00:48:24Z,560000,False,-229.0,73.0,1,right,MISS J. Walsh 24' 3PT,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Left Corner 3,24+ Left,24.05,Missed,,,,,,,,,,,,,,,,,,
57,PT07M29.00S,2025-11-13T00:48:16.9Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,16,8,2025-11-13T00:48:24Z,570000,False,,,0,,J. Landale REBOUND (Off:0 Def:1),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Left Corner 3,24+ Left,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT07M17.00S,2025-11-13T00:48:29.1Z,1,REGULAR,2pt,Jump Shot,[],1642377,23.340998685939553,64.2156862745098,1610612763,16,8,2025-11-13T00:51:45Z,580000,False,-71.0,167.0,1,left,MISS J. Wells 18' pullup Shot,[1642377],1610612763.0,MEM,pullup,,,Wells,J. Wells,,,,,Mid-Range,16-24 Left Center,18.14,Missed,,,,,,,,,,,,,,,,,,
59,PT07M16.00S,2025-11-13T00:48:30.1Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,16,8,2025-11-13T00:48:35Z,590000,False,,,0,,J. Walsh REBOUND (Off:0 Def:3),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,16-24 Left Center,,,58.0,3.0,3.0,0.0,,,,,,,,,,,,,,
60,PT07M06.00S,2025-11-13T00:48:40.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,68.15045992115637,70.58823529411765,1610612738,16,8,2025-11-13T00:48:45Z,600000,False,103.0,247.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,26.75,Missed,,,,,,,,,,,,,,,,,,
61,PT07M05.00S,2025-11-13T00:48:41.5Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612763,16,8,2025-11-13T00:48:45Z,610000,False,,,0,,J. Landale REBOUND (Off:0 Def:2),[1629111],1610612763.0,MEM,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Right Center,,,60.0,2.0,2.0,0.0,,,,,,,,,,,,,,
62,PT07M00.00S,2025-11-13T00:48:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642377,8.886333771353483,43.872549019607845,1610612763,16,8,2025-11-13T00:48:54Z,620000,False,31.0,31.0,1,left,MISS J. Wells running Layup - blocked,"[1642377, 1628401]",1610612763.0,MEM,running,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,4.36,Missed,,,,,,,,,White,1628401.0,,,,,,,,
63,PT07M00.00S,2025-11-13T00:48:46.7Z,1,REGULAR,block,,[],1628401,,,1610612763,16,8,2025-11-13T00:48:48Z,630000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M59.00S,2025-11-13T00:48:47.7Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,16,8,2025-11-13T00:48:54Z,640000,False,,,0,,N. Queta REBOUND (Off:1 Def:2),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,,
66,PT06M51.00S,2025-11-13T00:49:03.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,16,8,2025-11-13T00:49:03Z,660000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,out,[],1641775,,,1610612738,16,8,2025-11-13T00:51:51Z,670000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,out,[],203484,,,1610612738,16,8,2025-11-13T00:51:51Z,680000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,out,[],1628991,,,1610612738,16,8,2025-11-13T00:51:51Z,690000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612738,16,8,2025-11-13T00:51:51Z,700000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,in,[],1630583,,,1610612738,16,8,2025-11-13T00:51:51Z,710000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M51.00S,2025-11-13T00:51:27.7Z,1,REGULAR,substitution,in,[],1642907,,,1610612738,16,8,2025-11-13T00:51:51Z,720000,False,,,0,,SUB in: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M39.00S,2025-11-13T00:52:14.0Z,1,REGULAR,2pt,Jump Shot,[],1627759,76.95466491458606,39.46078431372549,1610612738,16,8,2025-11-13T00:52:57Z,730000,False,-53.0,164.0,1,right,MISS J. Brown 17' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,17.24,Missed,,,,,,,,,,,,,,,,,,
74,PT06M38.00S,2025-11-13T00:52:15.0Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,16,8,2025-11-13T00:52:21Z,740000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Mid-Range,16-24 Center,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT06M21.00S,2025-11-13T00:52:32.4Z,1,REGULAR,2pt,Jump Shot,[],1629111,26.231931668856767,32.84313725490196,1610612763,16,10,2025-11-13T00:52:52Z,750000,False,86.0,194.0,1,left,J. Landale 21' Jump Shot (4 PTS) (C. Coward 1 AST),"[1629111, 1642907]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,Mid-Range,16-24 Right Center,21.22,Made,,,,,4.0,,,,,,C. Coward,1642907.0,1.0,,,,,
76,PT06M04.00S,2025-11-13T00:52:48.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,94.30026281208936,49.754901960784316,1610612738,18,10,2025-11-13T00:52:59Z,760000,False,-1.0,1.0,1,right,N. Queta cutting DUNK (4 PTS) (D. White 2 AST),"[1629674, 1628401]",1610612738.0,BOS,cutting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.16,Made,,,,,4.0,,,,,,D. White,1628401.0,2.0,,,,,
79,PT05M41.00S,2025-11-13T00:53:13.4Z,1,REGULAR,2pt,Jump Shot,[],1629111,12.040078843626807,33.82352941176471,1610612763,18,10,2025-11-13T00:53:21Z,780000,False,81.0,61.0,1,left,MISS J. Landale 10' turnaround Shot - blocked,"[1629111, 1629674]",1610612763.0,MEM,turnaround,,,Landale,J. Landale,,,,,Mid-Range,8-16 Right,10.11,Missed,,,,,,,,,Queta,1629674.0,,,,,,,,
80,PT05M41.00S,2025-11-13T00:53:13.4Z,1,REGULAR,block,,[],1629674,,,1610612763,18,10,2025-11-13T00:53:15Z,790000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
81,PT05M40.00S,2025-11-13T00:53:14.4Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,18,10,2025-11-13T00:53:21Z,800000,False,,,0,,N. Queta REBOUND (Off:1 Def:3),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,,,79.0,4.0,3.0,1.0,,,,,,,,,,,,,,
82,PT05M31.00S,2025-11-13T00:53:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,94.30026281208936,54.65686274509803,1610612738,20,10,2025-11-13T00:53:28Z,810000,False,23.0,1.0,1,right,D. White driving finger roll Layup (7 PTS),[1628401],1610612738.0,BOS,driving finger roll,,,White,D. White,,,,,Restricted Area,0-8 Center,2.33,Made,,,,,7.0,,,,,,,,,,,,,
83,PT05M24.00S,2025-11-13T00:53:30.0Z,1,REGULAR,turnover,bad pass,[],1642907,,,1610612763,20,10,2025-11-13T00:53:33Z,820000,False,,,0,,C. Coward bad pass TURNOVER (1 TO),"[1642907, 1628401]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1.0,White,1628401.0,,,,,,,,,,
84,PT05M24.00S,2025-11-13T00:53:30.0Z,1,REGULAR,steal,,[],1628401,,,1610612738,20,10,2025-11-13T00:53:31Z,830000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
