actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-06T00:12:33.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T00:12:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-12-06T00:12:36.7Z,1,REGULAR,jumpball,recovered,[],1631222,,,1610612747,0,0,2025-12-06T00:12:36Z,40000,False,,,0,,Jump Ball D. Ayton vs. N. Queta: Tip to J. LaRavia,"[1631222, 1629028, 1629674]",1610612747.0,LAL,startperiod,J. LaRavia,1631222.0,LaRavia,J. LaRavia,Ayton,1629028.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-12-06T00:12:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630559,34.11629434954008,67.40196078431373,1610612747,0,0,2025-12-06T00:13:01Z,70000,False,-87.0,268.0,1,left,MISS A. Reaves 28' step back 3PT,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,28.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-06T00:12:52.9Z,1,REGULAR,rebound,defensive,[],1641775,,,1610612738,0,0,2025-12-06T00:13:01Z,80000,False,,,0,,J. Walsh REBOUND (Off:0 Def:1),[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-12-06T00:13:05.5Z,1,REGULAR,3pt,Jump Shot,[],1641775,79.97700394218134,5.637254901960785,1610612738,3,0,2025-12-06T00:13:15Z,90000,False,-222.0,136.0,1,right,J. Walsh 26' 3PT  (3 PTS) (D. White 1 AST),"[1641775, 1628401]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Above the Break 3,24+ Left Center,26.0,Made,,,,,3.0,D. White,1628401.0,1.0,,,,,,,,,,
11,PT11M10.00S,2025-12-06T00:13:21.8Z,1,REGULAR,3pt,Jump Shot,[],1629216,30.17411300919842,73.52941176470588,1610612747,3,3,2025-12-06T00:13:50Z,110000,False,-118.0,231.0,1,left,G. Vincent 25' 3PT pullup (3 PTS),[1629216],1610612747.0,LAL,pullup,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,25.93,Made,,,,,3.0,,,,,,,,,,,,,
12,PT10M46.00S,2025-12-06T00:13:45.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,91.67214191852825,52.20588235294118,1610612738,5,3,2025-12-06T00:13:50Z,120000,False,11.0,26.0,1,right,N. Queta alley-oop DUNK (2 PTS) (D. White 2 AST),"[1629674, 1628401]",1610612738.0,BOS,alley-oop,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,2.8,Made,,,,,2.0,D. White,1628401.0,2.0,,,,,,,,,,
14,PT10M30.00S,2025-12-06T00:14:01.4Z,1,REGULAR,2pt,Jump Shot,[],1629060,20.71287779237845,30.14705882352941,1610612747,5,3,2025-12-06T00:15:09Z,140000,False,99.0,142.0,1,left,MISS R. Hachimura 17' pullup Shot,[1629060],1610612747.0,LAL,pullup,,,Hachimura,R. Hachimura,,,,,Mid-Range,16-24 Right Center,17.34,Missed,,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2025-12-06T00:14:02.4Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612747,5,3,2025-12-06T00:14:09Z,150000,False,,,0,,D. Ayton REBOUND (Off:1 Def:0),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M27.00S,2025-12-06T00:14:13.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629028,9.674770039421814,67.64705882352942,1610612747,5,3,2025-12-06T00:14:24Z,160000,False,-88.0,38.0,1,left,MISS D. Ayton 9' turnaround Shot,[1629028],1610612747.0,LAL,turnaround,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,9.62,Missed,,,,,,,,,,,,,,,,,,
