actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-07T00:12:56.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-07T00:12:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-07T00:12:59.8Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,0,0,2026-03-07T00:12:59Z,40000,False,,,0,,Jump Ball N. Queta vs. D. Powell: Tip to S. Hauser,"[1630573, 1629674, 203939]",1610612738.0,BOS,startperiod,S. Hauser,1630573.0,Hauser,S. Hauser,Queta,1629674.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-07T00:13:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630573,69.46452036793693,79.16666666666666,1610612738,0,0,2026-03-07T00:13:16Z,70000,False,146.0,235.0,1,right,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,27.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-03-07T00:13:12.2Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,0,0,2026-03-07T00:13:12Z,80000,False,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-03-07T00:13:20.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628369,89.70105124835742,18.627450980392158,1610612738,0,0,2026-03-07T00:13:49Z,90000,False,-157.0,44.0,1,right,MISS J. Tatum 16' pullup Shot,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,16.3,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-03-07T00:13:23.3Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,0,0,2026-03-07T00:13:35Z,100000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2026-03-07T00:13:40.5Z,1,REGULAR,3pt,Jump Shot,[],203114,25.837713534822605,82.35294117647058,1610612742,0,0,2026-03-07T00:14:43Z,110000,False,-162.0,190.0,1,left,MISS K. Middleton 24' pullup 3PT,[203114],1610612742.0,DAL,pullup,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2026-03-07T00:13:42.5Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,0,0,2026-03-07T00:13:45Z,120000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M08.00S,2026-03-07T00:13:48.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,86.02168199737189,2.2058823529411766,1610612738,0,0,2026-03-07T00:15:08Z,130000,False,-239.0,79.0,1,right,MISS S. Hauser 25' running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,25.17,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2026-03-07T00:13:51.4Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,0,0,2026-03-07T00:13:51Z,140000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Left Corner 3,24+ Left,,,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,
