actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-29T23:12:34.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-29T23:12:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-29T23:12:35.6Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2025-10-29T23:12:35Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Queta: Tip to E. Mobley,"[1630596, 1628386, 1629674]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-10-29T23:12:48.6Z,1,REGULAR,2pt,Jump Shot,[],1630596,90.3580814717477,69.11764705882352,1610612739,0,2,2025-10-29T23:14:48Z,70000,False,96.0,38.0,1,right,E. Mobley 10' driving floating bank Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,driving floating bank,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,10.29,Made,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,,,,,,,
8,PT11M24.00S,2025-10-29T23:13:08.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,6.1268068331143235,77.45098039215686,1610612738,2,2,2025-10-29T23:13:13Z,80000,False,-137.0,5.0,1,left,J. Brown 13' pullup Jump Shot (2 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,13.74,Made,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,,,,,
12,PT11M07.00S,2025-10-29T23:13:45.5Z,1,REGULAR,foul,personal,[],1631169,,,1610612739,2,2,2025-10-29T23:13:51Z,110000,False,,,0,,J. Minott personal FOUL (1 PF),"[1631169, 1630596]",1610612738.0,BOS,,,,Minott,J. Minott,,,,,Mid-Range,16-24 Left Center,,,,,,,1629178.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,
14,PT11M01.00S,2025-10-29T23:14:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,88.78120893561103,37.99019607843137,1610612739,2,2,2025-10-29T23:14:11Z,130000,False,-60.0,53.0,1,right,MISS J. Allen 8' Layup - blocked,"[1628386, 1631169]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Left,8.01,Missed,,,,,,,,,,Minott,1631169.0,,,,,,,
15,PT11M01.00S,2025-10-29T23:14:05.0Z,1,REGULAR,block,,[],1631169,,,1610612739,2,2,2025-10-29T23:14:07Z,140000,False,,,0,,J. Minott BLOCK (1 BLK),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-10-29T23:14:08.0Z,1,REGULAR,rebound,defensive,[],1631169,,,1610612738,2,2,2025-10-29T23:14:11Z,150000,False,,,0,,J. Minott REBOUND (Off:0 Def:1),[1631169],1610612738.0,BOS,,,,Minott,J. Minott,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,
17,PT10M56.00S,2025-10-29T23:14:10.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631169,11.12023653088042,37.00980392156863,1610612738,4,2,2025-10-29T23:17:01Z,160000,False,65.0,52.0,1,left,J. Minott 8' running Layup (2 PTS),[1631169],1610612738.0,BOS,running,,,Minott,J. Minott,,,,,In The Paint (Non-RA),8-16 Right,8.32,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2025-10-29T23:14:25.3Z,1,REGULAR,3pt,Jump Shot,[],1629631,84.97043363994744,3.431372549019608,1610612739,4,2,2025-10-29T23:14:30Z,170000,False,-233.0,89.0,1,right,MISS D. Hunter 24' 3PT,[1629631],1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,24.92,Missed,,,,,,,,,,,,,,,,,,
