actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-28T00:40:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-28T00:40:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-28T00:40:48.6Z,1,REGULAR,jumpball,recovered,[],1642849,,,1610612751,0,0,2026-02-28T00:40:48Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Queta: Tip to N. Traore,"[1642849, 1629651, 1629674]",1610612751.0,BKN,startperiod,N. Traore,1642849.0,Traore,N. Traore,Claxton,1629651.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-02-28T00:40:58.8Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,0,0,2026-02-28T00:41:05Z,70000,False,,,0,,N. Traore bad pass TURNOVER (1 TO),"[1642849, 1629674]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,1.0,Queta,1629674.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2026-02-28T00:40:58.8Z,1,REGULAR,steal,,[],1629674,,,1610612738,0,0,2026-02-28T00:41:00Z,80000,False,,,0,,N. Queta STEAL (1 STL),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2026-02-28T00:41:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630573,94.03745072273325,51.470588235294116,1610612738,2,0,2026-02-28T00:41:10Z,90000,False,7.0,4.0,1,right,S. Hauser running Layup (2 PTS) (B. Scheierman 1 AST),"[1630573, 1631248]",1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,0.82,Made,2.0,B. Scheierman,1631248.0,1.0,,,,,,,,,,,
11,PT11M24.00S,2026-02-28T00:41:20.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,8.360709592641262,61.51960784313726,1610612751,2,2,2026-02-28T00:41:26Z,110000,False,-58.0,26.0,1,left,M. Porter Jr. 6' driving floating Jump Shot (2 PTS),[1629008],1610612751.0,BKN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.32,Made,2.0,,,,,,,,,,,,,,
12,PT11M08.00S,2026-02-28T00:41:36.5Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,2,2,2026-02-28T00:41:40Z,120000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1629008]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,1.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2026-02-28T00:41:36.5Z,1,REGULAR,steal,,[],1629008,,,1610612751,2,2,2026-02-28T00:41:37Z,130000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2026-02-28T00:41:41.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641730,27.151773981603156,79.90196078431373,1610612751,2,2,2026-02-28T00:45:14Z,140000,False,-150.0,203.0,1,left,MISS N. Clowney 25' running 3PT,[1641730],1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,25.19,Missed,,,,,,,,,,,,,,,
15,PT11M01.00S,2026-02-28T00:41:44.3Z,1,REGULAR,rebound,offensive,[],1641730,,,1610612751,2,2,2026-02-28T00:45:14Z,150000,False,,,0,,N. Clowney REBOUND (Off:1 Def:0),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,
