actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-25T23:40:48.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-25T23:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-25T23:40:50.8Z,1,REGULAR,jumpball,recovered,[],1631114,,,1610612760,0,0,2026-03-25T23:40:50Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. N. Queta: Tip to J. Williams,"[1631114, 1628392, 1629674]",1610612760.0,OKC,startperiod,J. Williams,1631114.0,Williams,J. Williams,Hartenstein,1628392.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-25T23:41:01.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,85.75886990801577,47.794117647058826,1610612760,0,0,2026-03-25T23:41:46Z,70000,False,-11.0,81.0,1,right,MISS C. Holmgren 8' turnaround fadeaway Shot,[1631096],1610612760.0,OKC,turnaround fadeaway,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),8-16 Center,8.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-03-25T23:41:03.5Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,0,0,2026-03-25T23:41:17Z,80000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-03-25T23:41:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,6.1268068331143235,48.529411764705884,1610612738,0,0,2026-03-25T23:42:37Z,90000,False,7.0,5.0,1,left,MISS N. Queta Layup,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.9,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-03-25T23:41:14.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2026-03-25T23:41:23Z,100000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M32.00S,2026-03-25T23:41:18.3Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,0,0,2026-03-25T23:41:28Z,110000,False,,,0,,L. Dort bad pass out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,bad pass,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
12,PT11M28.00S,2026-03-25T23:41:40.4Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,0,0,2026-03-25T23:41:47Z,120000,False,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,,,,,,,,,,
13,PT11M13.00S,2026-03-25T23:42:02.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,67.7562417871222,23.03921568627451,1610612760,0,3,2026-03-25T23:42:07Z,130000,False,-135.0,251.0,1,right,L. Dort 28' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,28.46,Made,,,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,
15,PT10M56.00S,2026-03-25T23:42:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630573,26.62614980289093,81.61764705882352,1610612738,3,3,2026-03-25T23:42:23Z,150000,False,-158.0,198.0,1,left,S. Hauser 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,25.32,Made,,,,,,,3.0,J. Tatum,1628369.0,1.0,,,,,,,,
17,PT10M44.00S,2026-03-25T23:42:31.0Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.20170827858082,23.284313725490197,1610612760,3,6,2026-03-25T23:43:42Z,170000,False,-134.0,237.0,1,right,L. Dort 27' 3PT pullup (6 PTS) (J. Williams 1 AST),"[1629652, 1631114]",1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,27.21,Made,,,,,,,6.0,J. Williams,1631114.0,1.0,,,,,,,,
19,PT10M24.00S,2026-03-25T23:42:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,24.26084099868594,12.990196078431374,1610612738,3,6,2026-03-25T23:42:56Z,190000,False,185.0,176.0,1,left,MISS D. White 25' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.51,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2026-03-25T23:42:51.9Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,3,6,2026-03-25T23:42:56Z,200000,False,,,0,,L. Dort REBOUND (Off:0 Def:2),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M05.00S,2026-03-25T23:43:11.8Z,1,REGULAR,3pt,Jump Shot,[],1628983,69.59592641261499,25.245098039215684,1610612760,3,9,2026-03-25T23:43:16Z,210000,False,-124.0,233.0,1,right,S. Gilgeous-Alexander 26' 3PT step back (3 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,26.41,Made,,,,,,,3.0,,,,,,,,,,,
22,PT09M56.00S,2026-03-25T23:43:19.4Z,1,REGULAR,3pt,Jump Shot,[],1630573,12.828515111695138,4.166666666666666,1610612738,3,9,2026-03-25T23:43:25Z,220000,False,229.0,68.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,23.91,Missed,,,,,,,,,,,,,,,,,,
23,PT09M55.00S,2026-03-25T23:43:20.4Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,3,9,2026-03-25T23:43:25Z,230000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Right Corner 3,24+ Right,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M42.00S,2026-03-25T23:43:34.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,87.46714848883047,47.30392156862745,1610612760,3,9,2026-03-25T23:43:43Z,240000,False,-13.0,65.0,1,right,MISS I. Hartenstein 6' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,6.67,Missed,,,,,,,,,,,,,,,,,,
25,PT09M40.00S,2026-03-25T23:43:36.1Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,3,9,2026-03-25T23:43:43Z,250000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M32.00S,2026-03-25T23:43:43.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630573,5.469776609724048,94.85294117647058,1610612738,3,9,2026-03-25T23:45:06Z,260000,False,-224.0,-1.0,1,left,MISS S. Hauser running 3PT,[1630573],1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2026-03-25T23:43:44.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,3,9,2026-03-25T23:43:51Z,270000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Left Corner 3,24+ Left,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M20.00S,2026-03-25T23:43:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628392,92.72339027595268,41.911764705882355,1610612760,3,9,2026-03-25T23:46:10Z,280000,False,-40.0,16.0,1,right,MISS I. Hartenstein cutting Layup - blocked,"[1628392, 1629674]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,4.34,Missed,,,,,,,,,,,Queta,1629674.0,,,,,,
29,PT09M20.00S,2026-03-25T23:43:55.4Z,1,REGULAR,block,,[],1629674,,,1610612760,3,9,2026-03-25T23:44:43Z,290000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M19.00S,2026-03-25T23:43:56.4Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,3,9,2026-03-25T23:44:03Z,300000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M08.00S,2026-03-25T23:44:07.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631114,76.82325886990802,8.823529411764707,1610612760,3,9,2026-03-25T23:44:13Z,310000,False,-206.0,165.0,1,right,MISS J. Williams 26' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,26.41,Missed,,,,,,,,,,,,,,,,,,
32,PT09M07.00S,2026-03-25T23:44:08.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,3,9,2026-03-25T23:44:13Z,320000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M58.00S,2026-03-25T23:44:18.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,5.338370565045992,96.81372549019608,1610612738,3,9,2026-03-25T23:44:27Z,330000,False,-234.0,-2.0,1,left,MISS S. Hauser 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,23.41,Missed,,,,,,,,,,,,,,,,,,
34,PT08M56.00S,2026-03-25T23:44:20.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,3,9,2026-03-25T23:44:27Z,340000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Left Corner 3,24+ Left,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M43.00S,2026-03-25T23:44:32.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,85.89027595269383,32.1078431372549,1610612760,3,11,2026-03-25T23:44:36Z,350000,False,-89.0,80.0,1,right,S. Gilgeous-Alexander 12' turnaround fadeaway Jump Shot (5 PTS),[1628983],1610612760.0,OKC,turnaround fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,12.01,Made,,,,,,,5.0,,,,,,,,,,,
36,PT08M16.00S,2026-03-25T23:44:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629674,5.913272010512484,45.46568627450981,1610612738,5,11,2026-03-25T23:45:06Z,360000,False,23.0,3.0,1,left,N. Queta reverse Layup (2 PTS) (D. White 1 AST),"[1629674, 1628401]",1610612738.0,BOS,reverse,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,2.29,Made,,,,,,,2.0,D. White,1628401.0,1.0,,,,,,,,
38,PT08M03.00S,2026-03-25T23:45:12.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,82.47371879106439,37.00980392156863,1610612760,5,11,2026-03-25T23:45:23Z,380000,False,-65.0,112.0,1,right,MISS J. Williams 12' fadeaway Shot,[1631114],1610612760.0,OKC,fadeaway,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,12.97,Missed,,,,,,,,,,,,,,,,,,
39,PT08M02.00S,2026-03-25T23:45:13.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,11,2026-03-25T23:45:23Z,390000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
44,PT07M57.00S,2026-03-25T23:45:16.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630573,9.937582128777924,47.794117647058826,1610612738,5,11,2026-03-25T23:46:03Z,395000,False,11.0,41.0,1,left,MISS S. Hauser running Layup - blocked,"[1630573, 1629652]",1610612738.0,BOS,running,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,4.24,Missed,,,,,,,,,,,Dort,1629652.0,,,,,,
45,PT07M57.00S,2026-03-25T23:45:16.0Z,1,REGULAR,block,,[],1629652,,,1610612738,5,11,2026-03-25T23:46:03Z,397500,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT07M56.00S,2026-03-25T23:45:17.0Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,5,11,2026-03-25T23:46:03Z,398750,False,,,0,,C. Holmgren REBOUND (Off:1 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,44.0,3.0,2.0,1.0,,,,,,,,,,,,,,
42,PT07M39.00S,2026-03-25T23:45:37.4Z,1,REGULAR,foul,personal,['2freethrow'],1630573,,,1610612760,5,11,2026-03-25T23:45:47Z,420000,False,,,0,,S. Hauser shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1630573, 1631096]",1610612738.0,BOS,shooting,,,Hauser,S. Hauser,,,,,Mid-Range,8-16 Left,,,,,,,2003.0,,,,,,,,1.0,0.0,Holmgren,1631096.0,,
47,PT07M39.00S,2026-03-25T23:46:18.0Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,5,11,2026-03-25T23:46:18Z,440000,False,,,0,,MISS C. Holmgren Free Throw 1 of 2,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT07M39.00S,2026-03-25T23:46:18.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,5,11,2026-03-25T23:46:18Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2026-03-25T23:46:37.2Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,5,12,2026-03-25T23:46:37Z,460000,False,,,0,,C. Holmgren Free Throw 2 of 2 (1 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
50,PT07M28.00S,2026-03-25T23:46:53.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,8.492115637319317,65.68627450980392,1610612738,5,12,2026-03-25T23:46:59Z,470000,False,-78.0,27.0,1,left,MISS J. Brown 8' turnaround bank Shot,[1627759],1610612738.0,BOS,turnaround bank,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,8.3,Missed,,,,,,,,,,,,,,,,,,
51,PT07M27.00S,2026-03-25T23:46:54.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,5,12,2026-03-25T23:46:59Z,480000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:3),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Left,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,,
52,PT07M19.00S,2026-03-25T23:47:01.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,92.9862023653088,49.754901960784316,1610612760,5,14,2026-03-25T23:47:06Z,490000,False,-1.0,13.0,1,right,I. Hartenstein alley-oop DUNK (2 PTS) (J. Williams 2 AST),"[1628392, 1631114]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,2.0,J. Williams,1631114.0,2.0,,,,,,,,
54,PT06M55.00S,2026-03-25T23:47:24.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,24.78646517739816,85.04901960784314,1610612738,5,14,2026-03-25T23:47:32Z,510000,False,-175.0,180.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
