actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-11T01:11:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-11T01:11:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-11T01:11:16.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612745,0,0,2021-12-11T01:11:16Z,40000,,,0,,Jump Ball C. Wood vs. B. Portis: Tip to Team (HOU),"[1626174, 1626171]",1610612745.0,HOU,startperiod,Team (HOU),Wood,1626174.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-11T01:11:37.7Z,1,REGULAR,3pt,Jump Shot,[],1629717,32.802233902759525,59.80392156862745,1610612745,3,0,2021-12-11T01:11:44Z,70000,-49.0,256.0,1,left,A. Brooks 26' 3PT pullup (3 PTS) (J. Tate 1 AST),"[1629717, 1630256]",1610612745.0,HOU,pullup,,,,,,26.05,Made,3.0,Brooks,A. Brooks,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-11T01:11:57.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.51182654402102,50.98039215686274,1610612749,3,2,2021-12-11T01:12:05Z,90000,5.0,8.0,1,right,G. Antetokounmpo driving finger roll Layup (2 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,driving finger roll,,,,,,0.98,Made,2.0,Antetokounmpo,G. Antetokounmpo,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
11,PT11M03.00S,2021-12-11T01:12:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,6.1268068331143235,49.01960784313725,1610612745,5,2,2021-12-11T01:12:28Z,110000,5.0,5.0,1,left,J. Tate Hook (2 PTS),[1630256],1610612745.0,HOU,,,,,,,0.71,Made,2.0,Tate,J. Tate,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2021-12-11T01:12:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,93.64323258869908,49.01960784313725,1610612749,5,4,2021-12-11T01:12:32Z,120000,-5.0,7.0,1,right,G. Antetokounmpo driving finger roll Layup (4 PTS),[203507],1610612749.0,MIL,driving finger roll,,,,,,0.88,Made,4.0,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,
13,PT10M36.00S,2021-12-11T01:12:46.6Z,1,REGULAR,3pt,Jump Shot,[],201569,28.86005256241787,17.647058823529413,1610612745,5,4,2021-12-11T01:12:54Z,130000,162.0,219.0,1,left,MISS E. Gordon 27' 3PT,[201569],1610612745.0,HOU,,,,,,,27.21,Missed,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,
14,PT10M34.00S,2021-12-11T01:12:48.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,4,2021-12-11T01:12:54Z,140000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,,,,,,,Antetokounmpo,G. Antetokounmpo,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M27.00S,2021-12-11T01:12:56.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,92.9862023653088,50.98039215686274,1610612749,5,4,2021-12-11T01:13:06Z,150000,5.0,13.0,1,right,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,,,,1.43,Missed,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2021-12-11T01:12:59.5Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,5,4,2021-12-11T01:13:06Z,160000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612745.0,HOU,,,,,,,,,,Brooks,A. Brooks,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
