actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-07T00:10:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-07T00:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-07T00:10:43.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-03-07T00:10:43Z,40000,,,0,,Jump Ball S. Adams vs. C. Wood: Tip to J. Morant,"[1629630, 203500, 1626174]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-07T00:10:54.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203500,92.19776609724047,53.18627450980392,1610612763,0,2,2022-03-07T00:11:00Z,70000,16.0,21.0,1,right,S. Adams driving DUNK (2 PTS),[203500],1610612763.0,MEM,driving,,,Adams,S. Adams,,,,,2.62,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-03-07T00:11:14.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630256,10.33180026281209,49.26470588235294,1610612745,0,2,2022-03-07T00:11:47Z,80000,4.0,45.0,1,left,MISS J. Tate driving bank Hook,[1630256],1610612745.0,HOU,driving bank,,,Tate,J. Tate,,,,,4.48,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-07T00:11:15.4Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2022-03-07T00:11:23Z,90000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M11.00S,2022-03-07T00:11:28.0Z,1,REGULAR,2pt,Jump Shot,[],1629630,74.32654402102497,46.568627450980394,1610612763,0,4,2022-03-07T00:11:36Z,100000,-17.0,189.0,1,right,J. Morant 18' step back Jump Shot (2 PTS),[1629630],1610612763.0,MEM,step back,,,Morant,J. Morant,,,,,18.96,Made,2.0,,,,,,,,,,,,,,,,,,
11,PT10M55.00S,2022-03-07T00:11:46.0Z,1,REGULAR,foul,personal,['2freethrow'],203500,,,1610612745,0,4,2022-03-07T00:12:06Z,110000,,,0,,S. Adams shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[203500, 1629645]",1610612763.0,MEM,shooting,,,Adams,S. Adams,,,,,,,,,,,,1830.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
13,PT10M55.00S,2022-03-07T00:12:12.2Z,1,REGULAR,freethrow,1 of 2,[],1629645,,,1610612745,1,4,2022-03-07T00:12:12Z,130000,,,0,,K. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-03-07T00:12:25.7Z,1,REGULAR,freethrow,2 of 2,[],1629645,,,1610612745,2,4,2022-03-07T00:12:25Z,140000,,,0,,K. Porter Jr. Free Throw 2 of 2 (2 PTS),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2022-03-07T00:12:42.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,91.5407358738502,53.67647058823529,1610612763,2,6,2022-03-07T00:12:47Z,150000,18.0,27.0,1,right,J. Jackson Jr. turnaround bank Hook (2 PTS) (S. Adams 1 AST),"[1628991, 203500]",1610612763.0,MEM,turnaround bank,,,Jackson Jr.,J. Jackson Jr.,,,,,3.27,Made,2.0,,,,,,,,,,S. Adams,203500.0,1.0,,,,,,
17,PT10M35.00S,2022-03-07T00:12:52.6Z,1,REGULAR,3pt,Jump Shot,[],1626174,33.327858081471746,49.01960784313725,1610612745,2,6,2022-03-07T00:13:04Z,170000,5.0,261.0,1,left,MISS C. Wood 26' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,26.08,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M33.00S,2022-03-07T00:12:54.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,6,2022-03-07T00:13:04Z,180000,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
170,PT10M20.00S,2022-03-07T00:13:02.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203500,90.09526938239159,34.31372549019608,1610612763,2,6,2022-03-07T00:51:10Z,185000,-78.0,41.0,1,right,MISS S. Adams 8' Hook - blocked,"[203500, 1629645]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,8.83,Missed,,,,,,,,,,,,,,Porter Jr.,1629645.0,,,,
171,PT10M20.00S,2022-03-07T00:13:02.4Z,1,REGULAR,block,,[],1629645,,,1610612763,2,6,2022-03-07T00:38:23Z,187500,,,0,,K. Porter Jr. BLOCK (1 BLK),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT10M19.00S,2022-03-07T00:13:03.4Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,2,6,2022-03-07T00:38:23Z,188750,,,0,,S. Adams REBOUND (Off:1 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,,170.0,2.0,1.0,1.0,,,,,,,,,,,,,,
19,PT10M18.00S,2022-03-07T00:13:12.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,2,6,2022-03-07T00:13:12Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2022-03-07T00:13:33.7Z,1,REGULAR,turnover,out-of-bounds,[],1629630,,,1610612763,2,6,2022-03-07T00:13:40Z,200000,,,0,,J. Morant bad pass out-of-bounds TURNOVER (1 TO),[1629630],1610612763.0,MEM,bad pass,,,Morant,J. Morant,,,,,,,,,,,,1830.0,,,,,,,,,,1.0,,,
21,PT10M04.00S,2022-03-07T00:13:45.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630224,6.258212877792378,50.245098039215684,1610612745,4,6,2022-03-07T00:13:52Z,210000,-1.0,6.0,1,left,J. Green driving Layup (2 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,0.64,Made,2.0,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2022-03-07T00:13:59.5Z,1,REGULAR,2pt,Jump Shot,[],1630217,88.64980289093299,20.588235294117645,1610612763,4,8,2022-03-07T00:14:06Z,220000,-147.0,54.0,1,right,D. Bane 15' step back Jump Shot (2 PTS) (S. Adams 2 AST),"[1630217, 203500]",1610612763.0,MEM,step back,,,Bane,D. Bane,,,,,15.68,Made,2.0,,,,,,,,,,S. Adams,203500.0,2.0,,,,,,
24,PT09M36.00S,2022-03-07T00:14:11.9Z,1,REGULAR,3pt,Jump Shot,[],1626174,34.37910643889619,39.46078431372549,1610612745,7,8,2022-03-07T00:14:19Z,240000,53.0,271.0,1,left,C. Wood 27' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,27.58,Made,3.0,,,,,,,,,,K. Porter Jr.,1629645.0,1.0,,,,,,
26,PT09M24.00S,2022-03-07T00:14:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,89.56964520367937,46.07843137254902,1610612763,7,8,2022-03-07T00:15:03Z,260000,-20.0,46.0,1,right,MISS J. Morant driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,4.95,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2022-03-07T00:14:24.3Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,7,8,2022-03-07T00:14:36Z,270000,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M15.00S,2022-03-07T00:14:33.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,33.327858081471746,70.83333333333334,1610612745,7,8,2022-03-07T00:14:44Z,280000,-104.0,261.0,1,left,MISS K. Porter Jr. 28' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,28.08,Missed,,,,,,,,,,,,,,,,,,,
