actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-30T01:10:59.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-30T01:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-30T01:11:02.9Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2021-11-30T01:11:02Z,40000,,,0,,Jump Ball C. Wood vs. J. Robinson-Earl: Tip to K. Porter Jr.,"[1629645, 1626174, 1630526]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-30T01:11:15.5Z,1,REGULAR,3pt,Jump Shot,[],1626174,68.15045992115637,66.17647058823529,1610612745,3,0,2021-11-30T01:11:22Z,70000,81.0,247.0,1,right,C. Wood 25' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1626174, 1629645]",1610612745.0,HOU,,,,Wood,C. Wood,,,,,25.98,Made,3.0,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-11-30T01:11:41.3Z,1,REGULAR,3pt,Jump Shot,[],1630526,31.488173455978973,35.78431372549019,1610612760,3,0,2021-11-30T01:11:50Z,90000,71.0,243.0,1,left,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.37,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-11-30T01:11:46.3Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,3,0,2021-11-30T01:11:50Z,100000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M05.00S,2021-11-30T01:11:54.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630526,32.802233902759525,47.30392156862745,1610612760,3,0,2021-11-30T01:11:58Z,110000,13.0,256.0,1,left,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,25.62,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2021-11-30T01:11:56.0Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,3,0,2021-11-30T01:11:58Z,120000,,,0,,C. Wood REBOUND (Off:0 Def:1),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M57.00S,2021-11-30T01:12:02.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626174,93.38042049934296,53.18627450980392,1610612745,5,0,2021-11-30T01:12:09Z,130000,16.0,10.0,1,right,C. Wood driving Layup (5 PTS) (J. Tate 1 AST),"[1626174, 1630256]",1610612745.0,HOU,driving,,,Wood,C. Wood,,,,,1.86,Made,5.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,,
15,PT10M37.00S,2021-11-30T01:12:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,32.013797634691194,51.225490196078425,1610612760,5,0,2021-11-30T01:12:25Z,150000,-6.0,248.0,1,left,MISS J. Giddey 24' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2021-11-30T01:12:23.9Z,1,REGULAR,rebound,defensive,[],1626174,,,1610612745,5,0,2021-11-30T01:12:25Z,160000,,,0,,C. Wood REBOUND (Off:0 Def:2),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,
