actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-03T01:11:04.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-03T01:11:04Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-03T01:11:06.9Z,1,REGULAR,jumpball,recovered,[],202711,,,1610612762,0,0,2022-03-03T01:11:07Z,40000,,,0,,Jump Ball R. Gobert vs. C. Wood: Tip to B. Bogdanovic,"[202711, 203497, 1626174]",1610612762.0,UTA,startperiod,B. Bogdanovic,202711.0,Bogdanovic,B. Bogdanovic,Gobert,203497.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-03T01:11:20.2Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612762,0,0,2022-03-03T01:11:25Z,70000,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1626174]",1610612762.0,UTA,,,,Bogdanovic,B. Bogdanovic,,,,,1.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-03-03T01:11:20.2Z,1,REGULAR,steal,,[],1626174,,,1610612745,0,0,2022-03-03T01:11:22Z,80000,,,0,,C. Wood STEAL (1 STL),[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-03T01:11:39.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629726,27.94021024967148,13.480392156862745,1610612745,3,0,2022-03-03T01:11:45Z,90000,183.0,210.0,1,left,G. Mathews 27' 3PT  (3 PTS) (J. Green 1 AST),"[1629726, 1630224]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,,27.84,Made,3.0,J. Green,1630224.0,1.0,,,,,,,,,,,,
11,PT11M07.00S,2022-03-03T01:11:56.5Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612762,3,0,2022-03-03T01:12:02Z,110000,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1629645]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,1.0,Porter Jr.,1629645.0,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2022-03-03T01:11:56.5Z,1,REGULAR,steal,,[],1629645,,,1610612745,3,0,2022-03-03T01:11:59Z,120000,,,0,,K. Porter Jr. STEAL (1 STL),[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-03-03T01:12:06.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629645,33.459264126149804,38.23529411764706,1610612745,3,0,2022-03-03T01:12:17Z,130000,59.0,262.0,1,left,MISS K. Porter Jr. 26' step back 3PT,[1629645],1610612745.0,HOU,step back,,,Porter Jr.,K. Porter Jr.,,,,,,,,26.85,Missed,,,,,,,,,,,,,,,,
14,PT10M56.00S,2022-03-03T01:12:07.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612762,3,0,2022-03-03T01:12:17Z,140000,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M46.00S,2022-03-03T01:12:23.7Z,1,REGULAR,turnover,3-second-violation,[],203497,,,1610612762,3,0,2022-03-03T01:12:44Z,150000,,,0,,R. Gobert 3-second-violation TURNOVER (1 TO),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,1.0,,,,,,,,,,,,,1204.0,,,,,,,
