actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-02T00:11:07.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T00:11:07Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-02T00:11:10.3Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2022-04-02T00:11:10Z,40000,,,0,,Jump Ball D. Jones vs. U. Garuba: Tip to H. Barnes,"[203084, 1627745, 1630586]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Jones,1627745.0,Garuba,1630586.0,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2022-04-02T00:11:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.7529566360052655,43.481924019607845,1610612758,0,2,2022-04-02T00:11:26Z,70000,33.0,20.0,1,left,H. Barnes driving Layup (2 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,3.85,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-04-02T00:11:31.8Z,1,REGULAR,2pt,Jump Shot,[],1629645,77.66097240473061,64.53354779411765,1610612745,0,2,2022-04-02T00:11:54Z,80000,73.0,157.0,1,right,MISS K. Porter Jr. 17' pullup Shot,[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,17.35,Missed,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-04-02T00:11:35.8Z,1,REGULAR,rebound,offensive,[],1630586,,,1610612745,0,2,2022-04-02T00:11:38Z,90000,,,0,,U. Garuba REBOUND (Off:1 Def:0),[1630586],1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M29.00S,2022-04-02T00:11:40.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630256,92.72339027595268,49.26470588235294,1610612745,2,2,2022-04-02T00:12:22Z,100000,-4.0,16.0,1,right,J. Tate driving Layup (2 PTS) (K. Porter Jr. 1 AST),"[1630256, 1629645]",1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,1.63,Made,2.0,,,,,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,
12,PT11M29.00S,2022-04-02T00:11:43.3Z,1,REGULAR,foul,personal,['1freethrow'],1627745,,,1610612745,2,2,2022-04-02T00:11:54Z,120000,,,0,,D. Jones shooting personal FOUL (1 PF) (Tate 1 FT),"[1627745, 1630256]",1610612758.0,SAC,shooting,,,Jones,D. Jones,,,,,,,,,,,,,,,204059.0,1.0,0.0,Tate,1630256.0,,,,,
14,PT11M29.00S,2022-04-02T00:12:02.2Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630256,,,1610612745,3,2,2022-04-02T00:12:02Z,140000,,,0,,J. Tate Free Throw 1 of 1 (3 PTS),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
15,PT11M17.00S,2022-04-02T00:12:15.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,5.732588699080158,48.03921568627451,1610612758,3,4,2022-04-02T00:12:19Z,150000,10.0,1.0,1,left,D. Jones cutting DUNK (2 PTS) (J. Holiday 1 AST),"[1627745, 203200]",1610612758.0,SAC,cutting,,,Jones,D. Jones,,,,,0.99,Made,2.0,,,,,J. Holiday,203200.0,1.0,,,,,,,,,,
17,PT10M59.00S,2022-04-02T00:12:33.5Z,1,REGULAR,turnover,bad pass,[],1630586,,,1610612745,3,4,2022-04-02T00:13:45Z,170000,,,0,,U. Garuba bad pass TURNOVER (1 TO),"[1630586, 203200]",1610612745.0,HOU,,,,Garuba,U. Garuba,,,,,,,,,,,,,,,,,,,,1.0,Holiday,203200.0,,
18,PT10M59.00S,2022-04-02T00:12:33.5Z,1,REGULAR,steal,,[],203200,,,1610612758,3,4,2022-04-02T00:12:35Z,180000,,,0,,J. Holiday STEAL (1 STL),[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M52.00S,2022-04-02T00:12:39.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203084,23.866622864651774,11.27450980392157,1610612758,3,7,2022-04-02T00:14:44Z,190000,194.0,172.0,1,left,H. Barnes 25' 3PT running (5 PTS) (D. Mitchell 1 AST),"[203084, 1630558]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,25.88,Made,5.0,,,,,D. Mitchell,1630558.0,1.0,,,,,,,,,,
