actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-17T01:10:36.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-17T01:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-17T01:10:40.6Z,1,REGULAR,jumpball,recovered,[],201565,,,1610612752,0,0,2021-12-17T01:10:40Z,40000,,,0,,Jump Ball N. Noel vs. D. Theis: Tip to D. Rose,"[201565, 203457, 1628464]",1610612752.0,NYK,startperiod,D. Rose,201565.0,Rose,D. Rose,Noel,203457.0,Theis,1628464.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-17T01:10:59.7Z,1,REGULAR,3pt,Jump Shot,[],203944,6.783837056504599,2.941176470588235,1610612752,0,0,2021-12-17T01:11:07Z,70000,235.0,11.0,1,left,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-17T01:11:00.7Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612745,0,0,2021-12-17T01:11:07Z,80000,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2021-12-17T01:11:19.0Z,1,REGULAR,3pt,Jump Shot,[],1629726,94.43166885676742,2.696078431372549,1610612745,0,0,2021-12-17T01:11:26Z,90000,-237.0,0.0,1,right,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,23.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2021-12-17T01:11:20.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,0,0,2021-12-17T01:11:26Z,100000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT10M59.00S,2021-12-17T01:11:36.5Z,1,REGULAR,turnover,bad pass,[],202692,,,1610612752,0,0,2021-12-17T01:11:41Z,110000,,,0,,A. Burks bad pass TURNOVER (1 TO),"[202692, 1629717]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,1.0,Brooks,1629717.0,,,,,,,,,,,
12,PT10M59.00S,2021-12-17T01:11:36.5Z,1,REGULAR,steal,,[],1629717,,,1610612745,0,0,2021-12-17T01:11:38Z,120000,,,0,,A. Brooks STEAL (1 STL),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2021-12-17T01:11:50.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628464,92.72339027595268,47.549019607843135,1610612745,0,0,2021-12-17T01:11:59Z,130000,-12.0,16.0,1,right,MISS D. Theis driving finger roll Layup,[1628464],1610612745.0,HOU,driving finger roll,,,Theis,D. Theis,,,,,2.01,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2021-12-17T01:11:50.5Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,0,0,2021-12-17T01:11:59Z,140000,,,0,,N. Noel REBOUND (Off:0 Def:1),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M37.00S,2021-12-17T01:11:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201565,6.389618922470433,48.03921568627451,1610612752,0,0,2021-12-17T01:12:29Z,150000,10.0,8.0,1,left,MISS D. Rose driving Layup,[201565],1610612752.0,NYK,driving,,,Rose,D. Rose,,,,,1.24,Missed,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2021-12-17T01:11:58.3Z,1,REGULAR,rebound,offensive,[],201565,,,1610612752,0,0,2021-12-17T01:12:05Z,160000,,,0,,D. Rose REBOUND (Off:1 Def:0),[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
17,PT10M31.00S,2021-12-17T01:12:04.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,32.670827858081466,38.970588235294116,1610612752,0,3,2021-12-17T01:12:15Z,170000,55.0,255.0,1,left,J. Randle 26' 3PT  (3 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.05,Made,,,,,,,,3.0,E. Fournier,203095.0,1.0,,,,,,,
19,PT10M16.00S,2021-12-17T01:12:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629717,94.82588699080158,95.09803921568627,1610612745,3,3,2021-12-17T01:12:25Z,190000,225.0,-4.0,1,right,A. Brooks 3PT  (3 PTS) (J. Tate 1 AST),"[1629717, 1630256]",1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,22.55,Made,,,,,,,,3.0,J. Tate,1630256.0,1.0,,,,,,,
21,PT09M52.00S,2021-12-17T01:12:42.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,15.456636005256241,51.71568627450981,1610612752,3,5,2021-12-17T01:13:27Z,210000,-9.0,93.0,1,left,E. Fournier 9' fadeaway Jump Shot (2 PTS) (D. Rose 1 AST),"[203095, 201565]",1610612752.0,NYK,fadeaway,,,Fournier,E. Fournier,,,,,9.32,Made,,,,,,,,2.0,D. Rose,201565.0,1.0,,,,,,,
23,PT09M41.00S,2021-12-17T01:12:54.1Z,1,REGULAR,3pt,Jump Shot,[],201569,71.30420499342969,74.26470588235294,1610612745,3,5,2021-12-17T01:14:06Z,230000,121.0,217.0,1,right,MISS E. Gordon 24' pullup 3PT,[201569],1610612745.0,HOU,pullup,,,Gordon,E. Gordon,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
24,PT09M40.00S,2021-12-17T01:12:55.1Z,1,REGULAR,rebound,defensive,[],203457,,,1610612752,3,5,2021-12-17T01:13:01Z,240000,,,0,,N. Noel REBOUND (Off:0 Def:2),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M33.00S,2021-12-17T01:13:07.6Z,1,REGULAR,foul,offensive,[],203457,,,1610612752,3,5,2021-12-17T01:13:18Z,250000,,,0,,N. Noel offensive FOUL (1 PF),"[203457, 1630256]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,202049.0,1.0,0.0,Tate,1630256.0,,
27,PT09M33.00S,2021-12-17T01:13:07.6Z,1,REGULAR,turnover,offensive foul,[],203457,,,1610612752,3,5,2021-12-17T01:13:07Z,270000,,,0,,N. Noel offensive foul TURNOVER (1 TO),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,1.0,,,,,,,202049.0,,,,,,
28,PT09M19.00S,2021-12-17T01:13:34.6Z,1,REGULAR,foul,personal,[],203457,,,1610612745,3,5,2021-12-17T01:13:48Z,280000,,,0,,N. Noel personal FOUL (2 PF),"[203457, 201569]",1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,202049.0,2.0,0.0,Gordon,201569.0,,
30,PT09M19.00S,2021-12-17T01:13:55.2Z,1,REGULAR,substitution,out,[],203457,,,1610612745,3,5,2021-12-17T01:14:09Z,300000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M19.00S,2021-12-17T01:13:55.2Z,1,REGULAR,substitution,in,[],1629011,,,1610612745,3,5,2021-12-17T01:14:09Z,310000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
32,PT09M10.00S,2021-12-17T01:14:22.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630256,93.77463863337714,48.77450980392157,1610612745,5,5,2021-12-17T01:14:27Z,320000,-6.0,6.0,1,right,J. Tate driving Layup (2 PTS),[1630256],1610612745.0,HOU,driving,,,Tate,J. Tate,,,,,0.86,Made,,,,,,,,2.0,,,,,,,,,,
