actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-11T01:10:41.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-11T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-11T01:10:45.3Z,1,REGULAR,jumpball,recovered,[],1629645,,,1610612745,0,0,2022-02-11T01:10:45Z,40000,,,0,,Jump Ball C. Wood vs. P. Achiuwa: Tip to K. Porter Jr.,"[1629645, 1626174, 1630173]",1610612745.0,HOU,startperiod,K. Porter Jr.,1629645.0,Porter Jr.,K. Porter Jr.,Wood,1626174.0,Achiuwa,1630173.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-11T01:10:59.2Z,1,REGULAR,3pt,Jump Shot,[],1629645,93.24901445466492,3.9215686274509802,1610612745,3,0,2022-02-11T01:11:05Z,70000,-230.0,11.0,1,right,K. Porter Jr. 3PT  (3 PTS) (J. Tate 1 AST),"[1629645, 1630256]",1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,23.07,Made,3.0,J. Tate,1630256.0,1.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-02-11T01:11:24.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627783,6.258212877792378,48.28431372549019,1610612761,3,2,2022-02-11T01:11:29Z,90000,9.0,6.0,1,left,P. Siakam cutting DUNK (2 PTS) (P. Achiuwa 1 AST),"[1627783, 1630173]",1610612761.0,TOR,cutting,,,Siakam,P. Siakam,,,,,1.07,Made,2.0,P. Achiuwa,1630173.0,1.0,,,,,,,,,,,,,,,
11,PT11M03.00S,2022-02-11T01:11:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629645,65.65374507227332,48.28431372549019,1610612745,6,2,2022-02-11T01:11:59Z,110000,-9.0,270.0,1,right,K. Porter Jr. 27' 3PT pullup (6 PTS),[1629645],1610612745.0,HOU,pullup,,,Porter Jr.,K. Porter Jr.,,,,,27.05,Made,6.0,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2022-02-11T01:11:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1629645,,,1610612761,6,2,2022-02-11T01:12:14Z,120000,,,0,,K. Porter Jr. shooting personal FOUL (1 PF) (Siakam 2 FT),"[1629645, 1627783]",1610612745.0,HOU,shooting,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,204058.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,,
14,PT10M56.00S,2022-02-11T01:12:21.8Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,6,2,2022-02-11T01:12:21Z,140000,,,0,,MISS P. Siakam Free Throw 1 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-02-11T01:12:21.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,6,2,2022-02-11T01:12:21Z,150000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,
16,PT10M56.00S,2022-02-11T01:12:41.0Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,6,3,2022-02-11T01:12:41Z,160000,,,0,,P. Siakam Free Throw 2 of 2 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2022-02-11T01:12:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,94.1688567674113,50.49019607843137,1610612745,8,3,2022-02-11T01:13:17Z,170000,2.0,2.0,1,right,K. Porter Jr. driving finger roll Layup (8 PTS),[1629645],1610612745.0,HOU,driving finger roll,,,Porter Jr.,K. Porter Jr.,,,,,0.34,Made,8.0,,,,,,,,,,,,,,,,,,
